timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,41.50,31.49,100.48,0.18,-0.28,0.83
10,41.60,31.44,100.22,0.17,-0.32,0.83
20,41.66,30.24,100.01,0.16,-0.35,0.83
30,41.53,28.54,98.96,0.15,-0.39,0.82
40,41.63,28.48,98.17,0.14,-0.41,0.80
50,41.78,28.55,97.99,0.13,-0.43,0.80
60,42.37,28.59,97.77,0.11,-0.46,0.79
70,42.92,27.88,96.84,0.06,-0.49,0.79
80,43.17,26.85,96.10,0.03,-0.53,0.78
90,43.53,25.99,95.25,0.01,-0.55,0.77
100,43.40,25.37,95.00,0.01,-0.57,0.75
110,43.18,24.69,94.60,0.04,-0.58,0.73
120,42.86,24.32,93.88,0.05,-0.59,0.71
130,42.80,23.50,92.94,0.05,-0.61,0.70
140,43.21,21.86,91.85,0.04,-0.63,0.68
150,43.64,20.29,90.78,0.01,-0.64,0.66
160,44.05,19.05,89.53,-0.01,-0.65,0.63
170,44.55,18.56,88.86,-0.04,-0.65,0.59
180,45.31,18.25,89.22,-0.06,-0.66,0.56
190,45.83,17.84,89.35,-0.09,-0.67,0.53
200,46.15,18.25,89.29,-0.12,-0.68,0.50
210,46.74,17.75,89.02,-0.16,-0.70,0.48
220,47.30,16.45,89.04,-0.17,-0.71,0.45
230,47.52,15.43,88.33,-0.17,-0.72,0.41
240,47.76,14.86,87.79,-0.15,-0.71,0.36
250,48.32,14.77,88.19,-0.14,-0.71,0.31
260,48.81,14.99,87.89,-0.17,-0.72,0.27
270,49.59,15.95,87.88,-0.24,-0.75,0.24
280,49.67,16.38,86.33,-0.33,-0.77,0.22
290,49.92,16.40,85.19,-0.40,-0.79,0.20
300,50.16,15.71,83.95,-0.44,-0.79,0.17
310,50.17,15.07,82.34,-0.45,-0.79,0.13
320,50.39,15.53,81.28,-0.44,-0.78,0.08
330,50.55,16.00,80.42,-0.45,-0.77,0.05
340,50.62,16.24,79.89,-0.47,-0.77,0.02
350,51.09,15.75,79.72,-0.50,-0.76,0.00
360,51.35,15.18,79.59,-0.53,-0.76,-0.02
370,51.74,14.74,79.41,-0.54,-0.75,-0.05
380,52.03,14.26,78.87,-0.56,-0.73,-0.07
390,52.33,13.97,78.28,-0.58,-0.73,-0.10
