timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,34.77,44.58,92.27,0.26,0.37,0.56
10,35.20,43.23,93.42,0.29,0.37,0.61
20,35.82,41.51,93.80,0.30,0.36,0.64
30,36.18,40.11,94.66,0.32,0.35,0.67
40,36.69,39.08,95.11,0.33,0.33,0.69
50,37.31,38.42,95.16,0.36,0.32,0.71
60,38.02,38.24,95.41,0.37,0.31,0.72
70,38.46,38.39,96.23,0.38,0.29,0.74
80,39.03,38.01,98.05,0.39,0.27,0.76
90,40.00,37.20,100.21,0.41,0.25,0.78
100,40.40,36.38,101.91,0.42,0.22,0.79
110,41.16,35.85,103.71,0.42,0.18,0.80
120,41.60,35.88,105.05,0.41,0.13,0.81
130,41.96,35.99,105.12,0.40,0.07,0.83
140,42.06,36.43,104.12,0.40,0.03,0.84
150,41.84,36.84,103.10,0.39,-0.02,0.86
160,41.78,36.80,102.25,0.39,-0.05,0.88
170,41.90,35.83,102.33,0.38,-0.09,0.91
180,42.39,33.81,102.70,0.38,-0.13,0.93
190,42.59,30.98,102.09,0.37,-0.17,0.95
200,42.72,28.64,101.39,0.37,-0.21,0.94
210,42.88,27.74,101.07,0.35,-0.24,0.92
220,43.38,27.83,100.33,0.33,-0.27,0.91
230,43.27,29.28,100.41,0.30,-0.31,0.90
240,43.47,29.42,100.73,0.27,-0.34,0.92
250,43.55,28.64,101.22,0.25,-0.37,0.93
260,44.06,27.38,101.02,0.24,-0.40,0.93
270,44.83,26.51,100.58,0.21,-0.43,0.93
280,45.60,25.52,99.76,0.18,-0.46,0.92
290,46.23,24.90,99.27,0.15,-0.49,0.90
300,46.20,25.20,98.99,0.13,-0.52,0.88
310,46.56,26.47,98.87,0.12,-0.54,0.86
320,46.81,26.67,99.01,0.11,-0.57,0.87
330,46.86,25.51,98.51,0.09,-0.60,0.88
340,47.76,23.54,98.35,0.06,-0.62,0.89
350,47.59,21.11,97.47,0.02,-0.66,0.88
360,48.39,19.66,97.34,-0.02,-0.68,0.87
370,48.63,17.94,95.84,-0.05,-0.71,0.85
380,49.13,15.87,95.65,-0.08,-0.72,0.84
390,49.49,12.71,95.57,-0.10,-0.74,0.81
400,49.59,10.12,95.18,-0.12,-0.76,0.76
410,49.94,8.53,95.14,-0.14,-0.77,0.70
420,50.21,8.88,95.65,-0.18,-0.79,0.64
430,50.37,9.70,95.51,-0.24,-0.82,0.60
440,49.86,9.42,94.27,-0.30,-0.86,0.57
450,49.56,8.50,93.66,-0.36,-0.88,0.52
460,49.67,8.46,92.70,-0.42,-0.90,0.47
470,49.34,9.54,92.10,-0.50,-0.93,0.42
480,49.17,10.51,90.27,-0.56,-0.95,0.39
490,49.11,10.07,88.35,-0.61,-0.97,0.36
500,49.02,9.25,86.22,-0.65,-0.98,0.32
510,48.84,8.48,83.35,-0.67,-0.98,0.27
520,49.08,7.67,80.89,-0.68,-0.97,0.23
530,48.86,7.14,79.21,-0.71,-0.96,0.18
540,49.09,6.91,77.55,-0.74,-0.94,0.13
550,49.02,6.43,75.68,-0.77,-0.93,0.08
560,48.98,6.18,73.92,-0.79,-0.90,0.03
570,49.46,5.67,71.44,-0.80,-0.87,-0.01
580,50.01,5.87,70.55,-0.83,-0.83,-0.05
590,50.57,5.96,70.09,-0.88,-0.80,-0.09
600,50.88,6.86,69.71,-0.93,-0.78,-0.12
610,51.29,6.76,69.05,-0.97,-0.76,-0.15
620,51.31,5.78,68.45,-0.99,-0.73,-0.20
630,51.55,5.53,67.54,-0.99,-0.69,-0.25
640,52.01,6.55,66.63,-0.98,-0.65,-0.31
650,52.38,8.16,66.61,-0.98,-0.61,-0.36
660,52.72,9.76,66.47,-1.00,-0.58,-0.39
670,53.27,10.61,65.87,-1.01,-0.55,-0.42
680,53.85,11.48,65.32,-1.02,-0.52,-0.44
690,54.41,11.81,65.38,-1.01,-0.49,-0.45
700,54.88,10.59,65.19,-1.01,-0.46,-0.46
710,54.62,8.07,64.30,-1.01,-0.43,-0.48
720,53.98,5.94,62.96,-1.01,-0.40,-0.54
730,53.77,5.96,62.21,-1.00,-0.35,-0.60
740,54.05,8.62,62.61,-1.00,-0.31,-0.65
750,53.87,11.61,62.29,-1.00,-0.28,-0.68
760,54.00,13.03,60.73,-1.01,-0.26,-0.68
770,53.91,12.95,59.27,-1.02,-0.22,-0.68
780,54.10,12.50,58.17,-1.01,-0.16,-0.68
790,54.53,12.12,57.71,-1.01,-0.11,-0.69
800,54.98,11.06,57.50,-0.99,-0.06,-0.70
810,55.07,9.96,57.98,-0.99,-0.01,-0.73
820,55.43,10.13,58.28,-0.98,0.03,-0.77
830,54.99,11.32,57.35,-0.97,0.08,-0.80
840,54.07,12.62,56.50,-0.97,0.12,-0.82
850,52.70,13.55,56.39,-0.97,0.18,-0.84
860,51.97,14.91,57.04,-0.94,0.24,-0.87
870,51.90,17.33,58.19,-0.90,0.30,-0.88
880,51.85,19.77,59.98,-0.88,0.35,-0.88
890,51.98,21.84,61.32,-0.86,0.39,-0.87
900,52.01,22.07,61.06,-0.83,0.43,-0.85
910,51.42,21.88,60.96,-0.79,0.48,-0.85
920,51.24,23.02,60.99,-0.76,0.53,-0.86
930,50.63,25.63,60.75,-0.73,0.58,-0.87
940,49.53,27.60,61.17,-0.71,0.63,-0.86
950,48.98,29.75,62.74,-0.69,0.67,-0.86
960,49.05,32.69,63.83,-0.64,0.72,-0.85
970,49.44,35.63,64.65,-0.59,0.77,-0.82
980,49.80,38.44,65.88,-0.53,0.82,-0.79
990,50.10,39.81,67.90,-0.47,0.86,-0.73
