timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,34.40,35.47,109.71,0.70,-0.07,0.91
10,34.68,37.10,110.40,0.69,-0.11,0.90
20,35.00,38.88,112.73,0.65,-0.16,0.90
30,35.21,39.41,115.45,0.59,-0.23,0.93
40,35.58,38.93,116.49,0.53,-0.31,0.96
50,35.96,38.09,114.87,0.48,-0.39,0.99
60,36.80,36.87,113.36,0.43,-0.45,1.02
70,37.88,34.89,113.44,0.38,-0.51,1.04
80,38.48,31.52,114.58,0.33,-0.59,1.05
90,38.60,28.34,113.90,0.29,-0.67,1.03
100,38.83,26.18,112.56,0.26,-0.73,0.98
110,39.52,25.40,111.82,0.23,-0.78,0.93
120,39.88,25.89,110.55,0.21,-0.85,0.87
130,40.10,27.59,108.22,0.20,-0.90,0.81
140,39.84,29.47,105.62,0.19,-0.94,0.78
150,39.75,30.80,102.72,0.18,-0.98,0.76
160,39.61,32.11,100.97,0.15,-1.00,0.76
170,39.42,31.71,100.01,0.11,-1.03,0.77
180,39.35,30.69,98.78,0.06,-1.06,0.76
190,40.10,28.42,96.71,0.02,-1.09,0.75
200,39.83,26.64,94.12,-0.01,-1.11,0.71
210,40.43,26.60,93.12,-0.01,-1.10,0.65
220,41.43,27.14,91.80,-0.00,-1.10,0.62
230,41.89,28.23,89.83,-0.02,-1.11,0.60
240,42.66,28.86,87.21,-0.05,-1.11,0.60
250,43.12,27.68,85.72,-0.11,-1.08,0.62
260,44.76,24.41,86.97,-0.18,-1.08,0.64
270,45.67,22.28,88.06,-0.23,-1.09,0.64
280,46.36,20.86,87.48,-0.22,-1.09,0.63
290,47.16,17.83,87.35,-0.20,-1.08,0.60
300,48.06,14.97,86.41,-0.19,-1.07,0.56
310,48.67,13.79,85.75,-0.22,-1.06,0.50
320,49.65,12.69,86.10,-0.29,-1.06,0.44
330,50.32,12.40,86.33,-0.37,-1.08,0.38
340,50.73,13.47,86.50,-0.43,-1.10,0.32
350,51.72,14.78,87.53,-0.49,-1.11,0.29
360,52.85,14.66,87.66,-0.52,-1.13,0.27
370,52.65,14.29,85.49,-0.55,-1.17,0.23
380,51.87,14.70,82.28,-0.58,-1.18,0.18
390,51.97,15.78,81.11,-0.62,-1.18,0.13
400,51.98,17.54,80.77,-0.65,-1.18,0.09
410,51.62,18.40,79.07,-0.67,-1.19,0.06
420,51.34,19.29,76.51,-0.68,-1.19,0.03
430,51.72,19.64,75.56,-0.69,-1.17,0.01
440,52.22,18.07,74.65,-0.71,-1.16,0.00
450,52.28,16.83,72.83,-0.74,-1.15,-0.03
