timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,32.85,48.55,105.91,0.48,0.44,0.87
10,33.45,47.79,107.33,0.55,0.40,0.89
20,33.59,47.47,107.73,0.61,0.36,0.91
30,33.73,47.37,108.33,0.64,0.32,0.94
40,34.03,47.45,107.75,0.66,0.26,0.97
50,34.15,47.35,107.75,0.65,0.22,1.00
60,34.46,47.35,108.84,0.63,0.17,1.03
70,34.85,47.55,110.40,0.58,0.11,1.06
80,35.29,47.03,111.67,0.52,0.03,1.11
90,35.42,46.08,111.04,0.48,-0.04,1.15
100,35.41,45.12,110.53,0.48,-0.09,1.18
110,35.96,43.37,110.47,0.49,-0.14,1.21
120,35.96,41.22,110.52,0.51,-0.18,1.23
130,36.09,39.34,110.42,0.52,-0.23,1.22
140,36.10,38.41,110.35,0.51,-0.28,1.21
150,36.16,37.58,110.06,0.47,-0.34,1.21
160,36.28,37.37,110.56,0.42,-0.40,1.20
170,37.03,37.88,111.21,0.35,-0.46,1.20
180,37.34,38.60,111.36,0.29,-0.53,1.20
190,37.55,38.66,110.46,0.24,-0.60,1.22
200,37.77,37.47,110.34,0.19,-0.65,1.24
210,38.22,35.35,109.57,0.15,-0.71,1.24
220,38.24,33.60,107.64,0.14,-0.77,1.23
230,38.25,32.64,104.94,0.13,-0.81,1.22
240,38.65,31.58,103.68,0.13,-0.83,1.20
250,39.33,30.64,102.86,0.12,-0.85,1.17
260,40.02,29.37,101.98,0.12,-0.88,1.14
270,40.99,27.09,100.87,0.11,-0.89,1.11
280,41.72,25.26,102.13,0.10,-0.91,1.07
290,42.54,25.73,102.27,0.08,-0.95,1.03
300,43.21,26.99,101.86,0.06,-0.98,1.00
310,43.39,27.53,101.56,0.03,-1.02,0.98
320,43.87,27.81,99.76,-0.03,-1.04,0.98
330,43.27,26.45,100.20,-0.13,-1.09,1.00
340,43.28,24.15,98.78,-0.22,-1.13,1.01
350,43.38,22.52,97.63,-0.30,-1.16,0.99
360,43.67,21.64,96.19,-0.37,-1.20,0.98
370,44.15,19.03,94.34,-0.41,-1.22,0.96
380,45.19,15.55,93.49,-0.44,-1.24,0.92
390,45.37,13.42,90.96,-0.47,-1.27,0.86
400,45.95,11.83,88.03,-0.49,-1.27,0.80
410,46.81,10.30,86.79,-0.50,-1.26,0.75
420,47.49,8.34,85.23,-0.53,-1.27,0.69
430,47.59,4.67,82.69,-0.56,-1.27,0.62
440,47.42,2.41,80.33,-0.61,-1.26,0.51
450,48.20,3.74,79.99,-0.69,-1.24,0.41
460,48.50,7.45,80.77,-0.78,-1.24,0.33
470,48.58,10.08,80.08,-0.85,-1.25,0.30
480,48.32,11.09,77.76,-0.90,-1.25,0.28
490,47.98,10.46,75.97,-0.95,-1.24,0.26
500,47.73,8.10,73.62,-0.98,-1.22,0.22
510,47.66,6.76,70.92,-0.99,-1.19,0.16
520,47.74,6.62,69.18,-0.99,-1.15,0.09
530,47.93,7.15,67.68,-0.98,-1.11,0.03
540,48.78,8.17,65.95,-0.97,-1.06,-0.02
550,49.80,8.89,64.88,-0.96,-1.01,-0.06
560,50.52,8.08,64.85,-0.96,-0.97,-0.09
570,52.04,6.55,64.39,-0.97,-0.94,-0.12
580,52.36,6.20,63.57,-1.00,-0.91,-0.17
590,52.60,6.81,62.42,-1.04,-0.87,-0.23
600,53.53,7.06,62.49,-1.08,-0.83,-0.27
610,54.69,6.64,63.05,-1.10,-0.80,-0.32
620,55.13,7.82,62.41,-1.11,-0.77,-0.37
630,55.20,8.98,61.52,-1.11,-0.73,-0.41
640,55.99,9.32,60.63,-1.09,-0.69,-0.44
650,57.09,9.81,59.53,-1.07,-0.65,-0.47
660,57.31,9.72,58.87,-1.07,-0.62,-0.51
670,57.21,9.20,58.40,-1.05,-0.57,-0.55
680,57.04,9.33,57.65,-1.05,-0.53,-0.59
690,56.70,11.33,57.70,-1.07,-0.49,-0.63
700,56.48,12.58,57.93,-1.12,-0.46,-0.64
710,56.40,12.62,57.17,-1.20,-0.45,-0.63
720,55.94,11.68,55.82,-1.30,-0.44,-0.64
730,55.36,10.68,54.93,-1.35,-0.40,-0.65
740,54.80,9.79,53.70,-1.36,-0.36,-0.69
750,54.53,10.14,51.71,-1.36,-0.30,-0.72
760,54.04,9.30,49.96,-1.36,-0.24,-0.76
770,54.17,8.32,49.89,-1.35,-0.16,-0.80
780,54.54,7.22,50.57,-1.31,-0.09,-0.86
790,55.48,6.70,51.63,-1.27,-0.02,-0.94
800,55.96,7.13,54.55,-1.25,0.03,-1.01
810,55.79,9.87,55.87,-1.26,0.06,-1.08
820,55.85,13.29,56.46,-1.25,0.10,-1.14
830,55.31,18.33,57.55,-1.25,0.13,-1.18
840,54.81,23.23,57.18,-1.23,0.16,-1.19
850,53.78,25.63,55.19,-1.21,0.19,-1.17
860,53.17,25.55,52.70,-1.20,0.22,-1.16
870,52.96,24.18,51.47,-1.18,0.28,-1.16
880,52.72,23.88,51.40,-1.16,0.34,-1.20
890,51.64,25.94,51.40,-1.15,0.38,-1.25
900,50.89,29.61,50.77,-1.13,0.43,-1.27
910,50.27,31.73,51.06,-1.11,0.49,-1.27
920,50.80,32.18,51.81,-1.07,0.55,-1.27
930,50.83,33.49,52.64,-1.02,0.60,-1.27
940,50.97,34.53,52.85,-0.98,0.64,-1.25
950,51.06,32.88,51.74,-0.94,0.69,-1.23
960,50.80,30.50,50.80,-0.88,0.76,-1.23
970,50.40,28.41,51.87,-0.82,0.83,-1.24
980,50.35,25.55,53.04,-0.76,0.90,-1.28
990,49.96,24.68,54.67,-0.74,0.96,-1.35
