timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,38.86,27.61,107.32,0.14,-0.64,0.85
10,38.71,27.48,105.06,0.12,-0.68,0.82
20,39.67,26.77,104.02,0.11,-0.71,0.79
30,40.00,27.25,103.82,0.09,-0.75,0.77
40,40.20,27.80,103.32,0.06,-0.79,0.74
50,40.87,27.78,103.30,0.03,-0.82,0.73
60,41.04,26.33,103.01,-0.01,-0.87,0.73
70,41.08,24.52,100.31,-0.04,-0.91,0.70
80,41.14,23.56,98.69,-0.05,-0.92,0.66
90,41.68,23.89,98.44,-0.05,-0.93,0.63
100,42.63,23.57,98.30,-0.04,-0.95,0.60
110,43.14,23.06,97.34,-0.01,-0.97,0.56
120,43.44,22.66,95.92,0.03,-0.98,0.53
130,43.78,21.33,94.55,0.09,-0.98,0.49
140,44.25,20.86,93.32,0.13,-0.98,0.44
150,44.49,21.19,92.93,0.12,-0.98,0.41
160,44.23,22.50,92.31,0.06,-0.99,0.38
170,45.09,25.20,91.98,-0.06,-1.00,0.37
180,44.65,26.68,92.90,-0.22,-1.05,0.41
190,44.36,25.85,91.35,-0.35,-1.10,0.44
200,45.01,23.58,89.83,-0.44,-1.11,0.44
210,46.02,20.79,89.28,-0.49,-1.12,0.43
220,46.95,18.28,87.65,-0.50,-1.12,0.39
230,47.80,16.01,86.11,-0.48,-1.12,0.34
240,48.34,14.60,85.55,-0.45,-1.11,0.28
250,48.86,14.03,84.20,-0.43,-1.10,0.22
260,49.28,14.25,82.66,-0.43,-1.10,0.16
270,49.58,15.00,80.71,-0.46,-1.10,0.10
280,49.79,16.98,79.49,-0.50,-1.09,0.05
290,50.02,18.87,78.95,-0.55,-1.09,0.02
300,50.35,19.93,78.91,-0.60,-1.08,0.02
310,51.34,20.17,78.69,-0.65,-1.08,0.02
320,51.98,18.92,78.11,-0.71,-1.09,0.03
330,52.12,16.20,77.28,-0.76,-1.10,0.02
340,52.57,13.66,76.22,-0.78,-1.09,-0.02
350,52.95,12.36,75.11,-0.79,-1.07,-0.07
