timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,32.42,33.60,106.65,0.42,0.09,0.72
10,33.04,32.26,108.11,0.44,0.04,0.73
20,33.65,31.11,109.12,0.45,-0.01,0.72
30,34.03,31.11,109.93,0.45,-0.06,0.71
40,34.04,31.65,110.73,0.43,-0.11,0.70
50,34.14,32.17,111.57,0.42,-0.17,0.70
60,34.61,33.46,112.49,0.40,-0.22,0.71
70,34.93,34.19,113.99,0.37,-0.29,0.73
80,35.02,33.00,113.97,0.33,-0.36,0.76
90,35.31,30.33,112.82,0.28,-0.44,0.77
100,35.28,29.10,111.36,0.25,-0.49,0.76
110,35.49,28.70,110.33,0.23,-0.54,0.75
120,35.79,28.01,109.69,0.23,-0.59,0.74
130,36.26,27.41,108.44,0.23,-0.63,0.72
140,36.20,27.55,106.68,0.24,-0.68,0.70
150,36.06,27.86,104.55,0.22,-0.72,0.69
160,36.11,28.43,102.99,0.20,-0.75,0.68
170,36.26,29.75,102.17,0.16,-0.77,0.66
180,36.39,31.16,102.22,0.12,-0.79,0.66
190,36.71,33.12,102.17,0.09,-0.82,0.67
200,37.41,34.36,101.78,0.07,-0.84,0.69
210,37.40,33.80,101.88,0.06,-0.87,0.71
220,37.55,32.04,101.98,0.06,-0.90,0.73
230,37.91,29.68,101.39,0.06,-0.92,0.74
240,38.79,28.19,99.86,0.06,-0.93,0.72
250,39.47,27.62,98.38,0.04,-0.95,0.71
260,39.63,26.81,97.00,0.01,-0.97,0.70
270,40.04,24.99,95.42,-0.01,-0.99,0.68
280,40.48,24.17,94.05,-0.02,-0.99,0.65
290,40.87,23.62,93.41,-0.02,-0.99,0.62
300,41.57,23.66,93.66,-0.04,-0.99,0.59
310,42.31,24.05,94.08,-0.08,-1.00,0.58
320,42.72,23.90,93.68,-0.13,-1.02,0.58
330,43.04,22.62,93.15,-0.19,-1.04,0.57
340,43.52,20.88,92.37,-0.22,-1.05,0.55
350,44.50,19.46,91.56,-0.24,-1.06,0.53
360,45.01,18.09,90.18,-0.25,-1.07,0.50
370,45.60,16.44,88.88,-0.28,-1.07,0.46
380,46.20,16.39,88.59,-0.30,-1.06,0.41
390,47.06,17.35,88.81,-0.33,-1.07,0.36
400,47.56,17.97,87.67,-0.34,-1.08,0.33
410,48.10,18.23,87.06,-0.35,-1.08,0.30
420,48.38,17.50,86.50,-0.36,-1.08,0.27
430,48.78,16.89,86.23,-0.37,-1.08,0.25
440,49.25,16.72,85.57,-0.42,-1.09,0.22
450,49.52,16.27,85.10,-0.49,-1.11,0.20
460,49.81,14.20,82.88,-0.57,-1.13,0.18
470,49.86,11.34,81.19,-0.63,-1.13,0.15
480,50.41,8.76,79.76,-0.66,-1.13,0.09
490,50.33,8.34,77.50,-0.69,-1.13,0.02
500,50.13,9.63,75.30,-0.71,-1.11,-0.05
510,50.01,11.52,72.81,-0.75,-1.09,-0.09
520,50.34,11.42,71.27,-0.79,-1.06,-0.11
530,50.55,10.50,69.99,-0.83,-1.04,-0.14
540,50.93,9.83,69.28,-0.85,-1.00,-0.18
550,51.03,10.06,68.41,-0.87,-0.97,-0.23
560,51.40,10.77,67.62,-0.89,-0.94,-0.28
570,51.76,11.81,67.39,-0.93,-0.91,-0.31
580,51.94,12.54,66.63,-0.97,-0.88,-0.34
590,52.15,12.41,65.95,-0.99,-0.85,-0.36
600,52.19,12.04,64.64,-1.01,-0.82,-0.40
610,52.03,12.16,62.58,-1.01,-0.78,-0.44
620,51.90,13.20,61.12,-1.01,-0.72,-0.49
630,52.09,14.98,61.22,-1.00,-0.67,-0.52
640,52.30,16.56,61.10,-1.00,-0.62,-0.54
650,52.36,17.48,60.87,-1.03,-0.58,-0.56
660,52.58,17.55,60.06,-1.05,-0.54,-0.57
670,52.16,17.41,58.91,-1.08,-0.50,-0.57
680,51.96,18.13,57.54,-1.12,-0.46,-0.59
690,51.74,18.78,55.99,-1.16,-0.40,-0.59
700,51.45,18.06,55.33,-1.18,-0.35,-0.59
710,51.69,17.07,53.97,-1.18,-0.28,-0.60
720,51.91,15.84,52.02,-1.19,-0.22,-0.62
730,52.35,15.58,50.94,-1.20,-0.15,-0.64
740,52.46,14.82,50.15,-1.21,-0.08,-0.67
750,52.83,14.01,49.21,-1.20,-0.01,-0.71
760,53.04,14.30,48.78,-1.18,0.07,-0.77
770,53.24,16.44,48.94,-1.15,0.16,-0.83
780,53.38,19.66,49.56,-1.12,0.24,-0.87
790,53.65,22.82,50.28,-1.11,0.31,-0.89
800,53.12,26.37,50.90,-1.12,0.37,-0.88
810,52.51,27.69,50.74,-1.14,0.44,-0.85
820,51.75,26.27,49.73,-1.15,0.50,-0.83
830,51.18,24.83,48.84,-1.14,0.58,-0.84
840,50.63,25.33,48.72,-1.12,0.67,-0.88
850,50.26,27.53,49.40,-1.08,0.75,-0.91
860,50.25,30.42,51.00,-1.03,0.84,-0.93
870,50.27,33.82,53.24,-0.98,0.91,-0.93
880,50.55,36.96,55.88,-0.92,0.98,-0.91
890,50.55,38.60,57.27,-0.85,1.02,-0.87
900,50.25,39.50,58.76,-0.79,1.08,-0.83
910,50.52,40.31,61.29,-0.73,1.14,-0.78
920,51.38,40.09,63.93,-0.66,1.18,-0.74
930,51.81,38.95,67.00,-0.60,1.21,-0.71
940,52.06,38.40,69.62,-0.54,1.24,-0.69
950,52.22,38.24,71.98,-0.49,1.26,-0.68
960,52.35,39.33,74.16,-0.44,1.27,-0.68
970,52.23,41.10,75.93,-0.40,1.27,-0.67
980,52.05,43.32,77.06,-0.35,1.27,-0.65
990,51.70,45.73,77.84,-0.31,1.26,-0.62
