timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,42.11,35.72,100.11,0.26,-0.43,1.05
10,42.05,34.49,99.32,0.23,-0.47,1.05
20,41.89,33.52,98.30,0.20,-0.51,1.05
30,41.53,32.01,97.16,0.19,-0.54,1.04
40,41.36,30.36,95.88,0.19,-0.56,1.02
50,41.53,29.52,94.98,0.19,-0.58,0.99
60,41.92,28.64,94.14,0.19,-0.59,0.97
70,42.59,26.44,93.34,0.19,-0.60,0.96
80,43.39,24.08,93.33,0.18,-0.62,0.92
90,43.37,22.47,92.33,0.17,-0.64,0.88
100,43.60,22.12,91.57,0.17,-0.65,0.83
110,43.74,22.72,91.43,0.17,-0.65,0.78
120,44.27,23.68,91.05,0.15,-0.67,0.76
130,44.85,23.81,90.34,0.08,-0.69,0.75
140,45.12,23.37,90.45,-0.04,-0.72,0.74
150,45.49,21.53,90.02,-0.15,-0.75,0.73
160,45.75,20.42,88.68,-0.23,-0.78,0.70
170,45.83,20.18,87.59,-0.28,-0.79,0.66
180,46.25,20.11,86.36,-0.29,-0.80,0.63
190,46.49,19.55,84.79,-0.25,-0.79,0.58
200,47.37,18.71,83.91,-0.20,-0.78,0.53
210,47.83,17.73,82.98,-0.16,-0.77,0.49
220,48.23,16.93,82.04,-0.14,-0.76,0.45
230,48.71,15.85,81.05,-0.16,-0.74,0.40
240,49.07,15.47,80.76,-0.21,-0.74,0.37
250,49.35,15.60,80.97,-0.31,-0.74,0.34
260,49.46,15.65,81.33,-0.44,-0.75,0.32
270,49.98,15.57,81.87,-0.57,-0.77,0.31
280,49.82,14.36,80.72,-0.66,-0.79,0.29
290,49.58,12.61,78.53,-0.70,-0.79,0.24
300,49.31,11.61,76.72,-0.69,-0.77,0.18
310,49.53,11.26,75.22,-0.67,-0.75,0.12
320,49.68,11.15,74.39,-0.65,-0.72,0.06
330,50.22,12.03,74.38,-0.67,-0.70,-0.00
340,50.54,13.12,74.41,-0.70,-0.69,-0.05
