timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,31.34,40.48,108.29,0.57,0.03,1.05
10,31.09,40.50,106.92,0.59,0.00,1.01
20,31.59,41.97,108.14,0.56,-0.03,0.97
30,31.90,44.41,110.70,0.47,-0.09,0.97
40,31.67,46.08,113.09,0.37,-0.17,0.98
50,31.91,45.43,115.34,0.31,-0.24,1.00
60,31.43,44.31,116.71,0.27,-0.33,1.01
70,31.58,43.05,116.43,0.27,-0.39,1.02
80,32.26,40.71,116.40,0.26,-0.46,1.03
90,33.11,38.15,114.27,0.25,-0.53,1.02
100,33.54,35.22,112.59,0.22,-0.60,1.00
110,33.40,33.04,110.41,0.20,-0.66,0.96
120,33.67,31.19,108.65,0.22,-0.70,0.91
130,33.92,30.98,107.57,0.22,-0.73,0.86
140,33.86,31.72,106.51,0.18,-0.78,0.81
150,33.48,32.68,105.61,0.10,-0.83,0.79
160,33.47,33.75,104.31,-0.02,-0.87,0.77
170,33.70,34.09,103.63,-0.14,-0.94,0.79
180,33.72,33.69,100.94,-0.25,-1.01,0.80
190,34.01,32.91,97.17,-0.32,-1.04,0.79
200,34.60,31.87,95.61,-0.34,-1.05,0.77
210,35.68,29.89,94.64,-0.32,-1.05,0.75
220,36.69,28.01,93.17,-0.29,-1.04,0.72
230,37.37,25.87,92.78,-0.28,-1.04,0.67
240,39.21,25.18,91.76,-0.27,-1.02,0.61
250,40.83,24.66,92.72,-0.28,-1.01,0.57
260,41.71,25.18,92.47,-0.32,-1.04,0.54
270,43.08,24.49,92.10,-0.35,-1.05,0.51
280,44.35,23.62,92.79,-0.40,-1.06,0.49
290,45.23,22.21,94.86,-0.44,-1.08,0.45
300,46.01,22.69,97.07,-0.46,-1.10,0.39
310,46.23,24.18,97.80,-0.49,-1.14,0.35
320,46.00,25.11,97.05,-0.52,-1.17,0.32
330,46.51,25.30,95.62,-0.57,-1.21,0.29
340,46.68,25.18,94.36,-0.63,-1.24,0.27
350,47.06,25.53,93.06,-0.70,-1.27,0.24
360,47.36,26.48,92.58,-0.77,-1.30,0.22
370,47.51,26.10,90.95,-0.83,-1.32,0.21
380,47.62,24.69,88.57,-0.88,-1.35,0.20
390,47.55,22.99,85.50,-0.95,-1.37,0.17
400,47.44,21.05,82.86,-1.01,-1.37,0.13
410,47.98,19.78,81.77,-1.05,-1.37,0.09
420,48.50,19.64,80.87,-1.07,-1.37,0.03
430,48.78,20.32,79.56,-1.09,-1.37,-0.03
440,48.41,21.41,76.78,-1.12,-1.37,-0.06
450,48.23,22.34,74.29,-1.15,-1.36,-0.09
460,48.07,22.99,72.01,-1.19,-1.34,-0.11
470,47.50,23.43,68.61,-1.22,-1.33,-0.13
480,47.09,23.06,65.78,-1.22,-1.28,-0.15
490,48.11,22.81,64.27,-1.22,-1.23,-0.18
500,48.75,22.77,63.70,-1.24,-1.18,-0.19
510,49.14,21.52,62.48,-1.25,-1.14,-0.20
520,49.13,19.79,59.82,-1.26,-1.10,-0.21
530,50.01,18.74,57.71,-1.29,-1.04,-0.23
540,50.22,18.45,55.99,-1.33,-0.99,-0.26
550,50.46,18.54,53.93,-1.39,-0.95,-0.28
560,50.35,18.75,51.00,-1.45,-0.89,-0.29
570,50.80,17.55,49.61,-1.48,-0.82,-0.30
580,51.88,15.67,49.71,-1.48,-0.74,-0.33
590,52.42,14.28,49.69,-1.46,-0.67,-0.37
600,52.15,14.72,48.57,-1.44,-0.60,-0.42
610,51.60,15.17,46.83,-1.44,-0.54,-0.46
620,51.69,16.05,45.98,-1.45,-0.46,-0.50
630,51.91,16.44,46.69,-1.48,-0.40,-0.53
640,51.62,17.05,46.34,-1.49,-0.34,-0.57
650,51.71,17.87,45.78,-1.49,-0.27,-0.59
660,52.38,17.60,46.84,-1.49,-0.20,-0.60
670,51.56,15.95,48.37,-1.50,-0.16,-0.63
680,51.94,14.97,48.00,-1.48,-0.10,-0.68
690,52.16,15.18,46.30,-1.44,-0.03,-0.76
700,52.66,17.44,46.25,-1.39,0.06,-0.83
710,53.23,21.18,46.22,-1.34,0.12,-0.89
720,53.41,24.58,45.76,-1.29,0.19,-0.92
730,53.32,27.25,46.20,-1.22,0.26,-0.94
740,52.43,29.21,45.51,-1.19,0.31,-0.95
750,51.38,30.24,43.69,-1.18,0.36,-0.96
760,50.14,31.37,42.96,-1.17,0.43,-0.97
770,49.83,33.53,43.31,-1.14,0.52,-0.97
780,49.81,36.11,43.50,-1.13,0.59,-0.95
790,49.98,37.04,42.94,-1.12,0.67,-0.92
800,35.76,36.79,54.58,-0.98,0.49,-0.96
810,46.54,29.92,46.22,-0.95,0.64,-0.90
820,49.86,28.35,42.09,-0.91,0.81,-0.92
830,51.33,29.54,45.89,-0.79,1.00,-0.98
840,52.59,30.43,51.85,-0.66,1.10,-0.99
850,53.06,31.02,54.57,-0.59,1.14,-1.01
860,52.12,33.60,55.08,-0.57,1.17,-1.04
870,50.48,36.62,55.31,-0.60,1.19,-1.04
880,48.77,41.06,53.90,-0.69,1.21,-1.02
890,47.74,45.81,52.38,-0.79,1.25,-0.99
900,48.09,49.59,53.30,-0.85,1.30,-0.93
910,49.42,51.94,57.29,-0.83,1.36,-0.86
920,50.41,51.96,60.47,-0.73,1.40,-0.80
930,50.34,50.22,62.20,-0.54,1.46,-0.75
940,49.82,48.88,64.13,-0.32,1.54,-0.75
950,48.40,49.47,67.63,-0.13,1.59,-0.78
960,47.50,53.20,69.67,0.03,1.63,-0.79
970,45.14,58.04,71.69,0.15,1.67,-0.80
980,43.81,65.32,73.79,0.21,1.71,-0.79
990,42.63,72.84,76.64,0.22,1.72,-0.70
