timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,37.13,39.83,100.81,0.53,-0.05,0.86
10,37.92,39.07,100.81,0.54,-0.08,0.86
20,38.81,38.33,102.15,0.51,-0.10,0.86
30,39.54,38.27,103.70,0.46,-0.15,0.87
40,39.98,37.94,105.07,0.39,-0.21,0.87
50,39.71,39.03,105.73,0.31,-0.27,0.87
60,39.35,40.34,105.26,0.25,-0.33,0.88
70,39.03,41.32,104.40,0.21,-0.39,0.90
80,39.35,39.66,104.02,0.21,-0.43,0.92
90,39.79,37.40,103.04,0.24,-0.47,0.92
100,40.27,36.46,101.99,0.26,-0.51,0.90
110,40.45,35.74,100.95,0.26,-0.54,0.89
120,40.71,34.60,99.70,0.24,-0.58,0.89
130,40.49,32.89,98.00,0.21,-0.62,0.87
140,40.77,31.66,96.76,0.16,-0.65,0.85
150,40.87,31.71,95.95,0.10,-0.68,0.82
160,41.25,32.84,95.65,0.02,-0.72,0.80
170,41.62,32.71,95.33,-0.04,-0.76,0.80
180,41.79,31.96,94.57,-0.07,-0.79,0.79
190,42.49,30.19,93.56,-0.07,-0.81,0.77
200,42.67,27.55,92.46,-0.04,-0.83,0.73
210,42.88,26.39,90.70,-0.01,-0.84,0.67
220,43.13,27.09,90.29,0.01,-0.84,0.62
230,43.59,27.52,89.67,0.04,-0.84,0.58
240,44.02,27.12,89.94,0.04,-0.85,0.56
250,44.39,25.84,89.83,0.01,-0.87,0.54
260,44.49,24.09,89.63,-0.03,-0.89,0.51
270,45.00,22.56,88.50,-0.09,-0.91,0.47
280,45.62,21.59,87.28,-0.15,-0.93,0.43
290,46.44,20.98,85.90,-0.21,-0.95,0.39
300,46.85,19.93,84.67,-0.25,-0.96,0.35
310,47.09,18.94,83.60,-0.26,-0.97,0.30
320,47.03,18.63,82.11,-0.27,-0.97,0.23
330,46.71,18.94,80.70,-0.27,-0.96,0.17
340,46.20,19.31,80.06,-0.28,-0.95,0.12
350,45.98,20.70,79.62,-0.31,-0.94,0.06
360,46.10,22.42,79.30,-0.37,-0.94,0.02
370,46.02,23.75,78.51,-0.45,-0.95,-0.00
380,46.25,25.25,77.47,-0.55,-0.95,-0.01
390,46.16,25.67,76.10,-0.68,-0.96,-0.01
400,46.22,24.90,74.63,-0.79,-0.97,-0.01
410,46.36,23.81,72.41,-0.86,-0.96,-0.03
420,46.77,22.14,70.59,-0.87,-0.93,-0.05
430,47.49,20.72,69.71,-0.85,-0.89,-0.10
440,47.57,20.31,68.61,-0.83,-0.85,-0.15
450,47.70,20.32,68.28,-0.83,-0.82,-0.20
460,48.31,21.41,67.35,-0.84,-0.79,-0.24
470,48.38,22.28,65.82,-0.86,-0.76,-0.27
480,48.44,22.33,63.79,-0.89,-0.72,-0.30
490,48.97,22.46,62.77,-0.93,-0.68,-0.32
500,49.47,22.80,62.60,-0.97,-0.64,-0.35
510,49.80,23.37,61.80,-1.00,-0.61,-0.37
520,50.01,23.91,60.79,-1.02,-0.57,-0.39
530,49.72,23.33,59.94,-1.03,-0.52,-0.41
540,49.52,22.15,59.46,-1.02,-0.48,-0.44
550,49.54,21.61,59.52,-0.99,-0.42,-0.48
560,49.44,21.46,59.51,-0.96,-0.37,-0.52
570,50.15,21.54,60.06,-0.94,-0.32,-0.55
580,50.43,21.35,59.54,-0.93,-0.29,-0.59
590,50.32,22.15,58.53,-0.94,-0.25,-0.63
600,50.27,24.22,57.23,-0.97,-0.22,-0.66
610,50.13,26.17,55.01,-1.01,-0.18,-0.68
620,49.89,27.27,53.46,-1.04,-0.13,-0.69
630,50.13,27.55,52.78,-1.05,-0.06,-0.70
640,50.63,27.72,53.14,-1.04,0.00,-0.72
650,51.47,29.22,54.22,-1.02,0.06,-0.74
660,52.33,30.12,55.40,-0.99,0.12,-0.74
670,53.11,29.51,56.40,-0.95,0.17,-0.75
680,53.47,28.49,57.11,-0.92,0.22,-0.77
690,52.92,28.52,57.96,-0.90,0.26,-0.81
700,52.86,30.26,59.14,-0.89,0.30,-0.85
710,52.66,32.65,60.45,-0.89,0.34,-0.86
720,52.69,33.79,62.45,-0.89,0.37,-0.86
730,51.97,35.28,63.36,-0.89,0.38,-0.87
740,50.90,37.06,62.56,-0.87,0.40,-0.88
750,50.09,39.20,62.08,-0.81,0.45,-0.88
760,49.12,41.15,62.84,-0.75,0.49,-0.88
770,48.23,42.96,63.30,-0.69,0.52,-0.87
780,47.25,44.55,62.65,-0.64,0.56,-0.86
790,46.75,46.00,62.61,-0.59,0.60,-0.84
800,46.31,46.72,63.04,-0.55,0.63,-0.81
810,46.20,46.93,62.41,-0.51,0.67,-0.79
820,46.23,46.76,62.36,-0.48,0.70,-0.77
830,47.04,45.96,62.04,-0.44,0.74,-0.74
840,47.57,43.93,62.70,-0.39,0.78,-0.73
850,48.05,42.70,64.93,-0.33,0.82,-0.75
860,48.12,43.51,66.77,-0.27,0.85,-0.77
870,48.20,45.85,68.78,-0.20,0.87,-0.77
880,48.04,48.63,70.34,-0.15,0.89,-0.77
890,47.70,51.63,71.13,-0.11,0.89,-0.74
900,46.70,53.61,71.44,-0.10,0.89,-0.70
910,45.81,55.81,70.12,-0.10,0.89,-0.66
920,45.63,57.28,70.38,-0.08,0.92,-0.61
930,46.51,57.75,73.30,-0.02,0.95,-0.55
940,47.69,55.95,77.34,0.07,0.97,-0.49
950,47.82,51.62,80.46,0.18,0.97,-0.46
960,47.73,48.88,82.38,0.25,0.97,-0.47
970,47.49,49.14,84.68,0.29,0.96,-0.49
980,46.98,51.30,85.69,0.30,0.93,-0.49
990,45.96,54.66,85.15,0.28,0.90,-0.47
