timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,36.87,43.69,93.54,0.24,0.27,0.65
10,37.30,42.94,94.71,0.25,0.26,0.69
20,37.51,42.47,95.44,0.26,0.24,0.73
30,38.19,41.12,96.60,0.27,0.23,0.77
40,38.71,39.88,97.38,0.28,0.20,0.80
50,39.14,39.02,97.70,0.29,0.17,0.82
60,40.03,38.18,98.08,0.30,0.15,0.85
70,40.67,37.09,99.57,0.31,0.13,0.86
80,41.52,36.40,100.56,0.34,0.09,0.88
90,42.03,36.17,101.42,0.35,0.06,0.89
100,42.14,35.56,101.91,0.35,0.02,0.91
110,42.58,35.02,103.46,0.35,-0.02,0.93
120,42.26,34.74,103.48,0.34,-0.07,0.94
130,42.39,34.40,103.20,0.31,-0.12,0.96
140,42.64,33.65,103.31,0.29,-0.16,0.99
150,43.46,31.50,103.70,0.27,-0.21,1.01
160,44.42,28.50,103.31,0.28,-0.25,1.01
170,45.14,25.70,102.54,0.27,-0.29,1.00
180,45.68,24.27,102.54,0.25,-0.33,0.97
190,46.17,23.60,103.31,0.22,-0.37,0.94
200,46.30,23.57,103.52,0.20,-0.43,0.92
210,45.76,23.85,102.74,0.18,-0.47,0.90
220,45.51,24.81,102.39,0.18,-0.51,0.89
230,45.29,25.79,101.91,0.17,-0.55,0.88
240,45.19,26.11,101.10,0.14,-0.58,0.89
250,45.30,24.86,99.59,0.10,-0.62,0.91
260,45.67,22.75,98.38,0.07,-0.65,0.90
270,45.76,21.30,97.88,0.04,-0.67,0.88
280,46.17,20.86,97.18,0.03,-0.69,0.85
290,46.17,21.45,96.76,0.02,-0.71,0.82
300,46.63,22.26,96.49,0.00,-0.73,0.81
310,47.05,21.71,96.69,-0.02,-0.75,0.81
320,47.13,20.00,96.36,-0.03,-0.77,0.81
330,47.56,18.44,95.03,-0.06,-0.79,0.79
340,47.10,16.93,93.21,-0.09,-0.82,0.78
350,47.16,15.94,91.78,-0.12,-0.82,0.75
360,47.60,14.17,91.20,-0.14,-0.82,0.74
370,47.87,11.43,90.45,-0.16,-0.83,0.71
380,48.16,8.75,89.35,-0.19,-0.83,0.67
390,48.60,6.26,88.94,-0.22,-0.84,0.63
400,49.04,4.01,87.71,-0.26,-0.85,0.58
410,49.15,2.21,86.19,-0.30,-0.85,0.51
420,48.95,2.10,85.21,-0.34,-0.85,0.44
430,48.99,2.88,84.38,-0.39,-0.84,0.38
440,48.72,3.51,83.55,-0.44,-0.84,0.33
450,49.28,4.59,83.19,-0.51,-0.84,0.28
460,49.34,5.28,82.71,-0.58,-0.84,0.24
470,49.53,5.93,80.82,-0.64,-0.85,0.20
480,49.82,5.78,79.08,-0.66,-0.83,0.16
490,49.88,5.34,78.07,-0.66,-0.81,0.12
500,50.13,4.94,77.27,-0.65,-0.79,0.07
510,50.08,4.65,76.46,-0.67,-0.77,0.02
520,50.08,4.28,75.46,-0.70,-0.75,-0.02
530,50.10,3.30,74.11,-0.75,-0.74,-0.07
540,50.23,3.45,72.89,-0.79,-0.71,-0.13
550,49.95,4.71,72.09,-0.83,-0.69,-0.18
560,49.83,5.75,70.97,-0.85,-0.66,-0.22
570,50.00,6.03,70.16,-0.87,-0.63,-0.25
580,50.35,5.67,69.19,-0.88,-0.61,-0.28
590,50.63,5.39,68.00,-0.90,-0.57,-0.32
600,51.34,5.75,67.16,-0.92,-0.53,-0.36
610,52.08,5.94,66.55,-0.94,-0.50,-0.39
620,52.42,5.55,65.05,-0.93,-0.47,-0.43
630,53.10,5.28,64.14,-0.92,-0.41,-0.49
640,53.72,5.65,64.68,-0.90,-0.36,-0.54
650,54.33,6.36,66.08,-0.88,-0.33,-0.60
660,54.46,7.99,65.27,-0.85,-0.29,-0.66
670,55.23,11.45,65.87,-0.83,-0.25,-0.71
680,55.77,14.23,66.80,-0.81,-0.23,-0.73
690,56.26,16.32,66.79,-0.81,-0.21,-0.74
700,56.50,17.75,67.21,-0.83,-0.19,-0.73
710,56.60,17.93,67.34,-0.85,-0.18,-0.71
720,57.00,17.34,67.00,-0.88,-0.16,-0.70
730,57.31,16.79,65.91,-0.91,-0.15,-0.69
740,56.74,16.20,63.66,-0.93,-0.13,-0.71
750,56.78,16.82,61.91,-0.92,-0.09,-0.72
760,56.67,17.09,60.52,-0.88,-0.04,-0.73
770,56.56,17.20,60.32,-0.86,-0.00,-0.74
