timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,39.17,36.26,104.56,0.26,-0.33,0.85
10,39.25,33.33,105.02,0.25,-0.37,0.87
20,39.90,29.87,104.78,0.24,-0.41,0.88
30,40.14,27.31,103.37,0.22,-0.46,0.86
40,40.44,26.36,101.99,0.21,-0.49,0.84
50,40.92,26.17,100.84,0.20,-0.52,0.82
60,41.30,26.11,99.94,0.19,-0.55,0.79
70,41.49,25.76,99.61,0.17,-0.58,0.77
80,41.57,26.16,99.25,0.15,-0.60,0.74
90,41.66,27.80,99.60,0.14,-0.63,0.72
100,41.32,29.04,99.56,0.13,-0.65,0.72
110,41.69,29.01,99.67,0.14,-0.67,0.72
120,41.95,28.64,99.21,0.14,-0.69,0.73
130,41.91,27.53,99.22,0.12,-0.72,0.73
140,41.97,25.82,98.05,0.09,-0.75,0.73
150,41.65,23.96,96.69,0.06,-0.77,0.72
160,41.65,21.78,95.36,0.03,-0.79,0.70
170,42.05,20.46,93.71,0.00,-0.81,0.67
180,42.20,19.99,93.01,-0.02,-0.81,0.64
190,43.13,18.76,92.36,-0.05,-0.81,0.61
200,43.96,17.52,91.29,-0.10,-0.83,0.58
210,44.25,17.41,90.19,-0.17,-0.85,0.55
220,44.35,15.65,89.27,-0.21,-0.86,0.53
230,44.92,13.68,88.62,-0.22,-0.86,0.49
240,45.85,13.32,88.03,-0.22,-0.84,0.44
250,46.99,13.15,87.96,-0.23,-0.84,0.40
260,47.08,13.43,87.18,-0.27,-0.85,0.35
270,47.31,13.49,86.57,-0.32,-0.85,0.32
280,47.33,12.96,85.70,-0.34,-0.85,0.28
290,47.26,13.01,84.91,-0.35,-0.84,0.23
300,47.49,13.27,84.74,-0.37,-0.83,0.19
310,47.82,13.31,84.63,-0.41,-0.83,0.16
320,47.87,12.81,83.88,-0.47,-0.84,0.13
330,47.90,12.88,82.82,-0.57,-0.84,0.10
340,48.27,13.21,82.92,-0.68,-0.85,0.08
350,48.25,12.91,82.46,-0.77,-0.86,0.05
360,48.52,13.02,80.83,-0.82,-0.86,0.02
370,48.64,12.69,78.43,-0.82,-0.85,-0.02
380,48.72,12.61,76.10,-0.81,-0.82,-0.06
390,48.57,12.54,73.84,-0.80,-0.79,-0.10
400,48.51,12.60,72.59,-0.83,-0.77,-0.14
410,48.48,13.05,71.58,-0.87,-0.74,-0.18
420,48.64,12.71,69.90,-0.91,-0.71,-0.20
430,48.93,11.62,67.98,-0.94,-0.68,-0.22
440,49.08,10.74,66.67,-0.96,-0.64,-0.26
450,49.36,10.15,65.89,-0.98,-0.60,-0.30
460,49.88,10.25,65.30,-1.00,-0.56,-0.34
470,50.40,10.68,65.14,-1.02,-0.51,-0.39
480,50.86,11.32,65.75,-1.02,-0.47,-0.43
490,50.95,12.24,67.09,-1.01,-0.43,-0.48
500,51.63,13.70,68.72,-1.00,-0.39,-0.51
510,51.96,15.03,68.93,-1.00,-0.37,-0.54
520,51.57,16.63,67.70,-0.99,-0.35,-0.56
530,50.87,17.95,66.02,-0.99,-0.32,-0.57
540,50.40,18.64,65.37,-1.02,-0.28,-0.57
550,50.06,18.09,64.56,-1.04,-0.25,-0.55
560,50.00,16.07,63.26,-1.08,-0.21,-0.54
570,49.92,12.43,61.93,-1.11,-0.17,-0.55
580,49.60,9.77,60.15,-1.13,-0.12,-0.58
590,49.79,8.01,59.38,-1.13,-0.06,-0.63
600,49.36,7.14,59.21,-1.12,-0.00,-0.69
610,49.33,8.86,59.26,-1.10,0.06,-0.77
620,49.46,12.43,60.54,-1.08,0.12,-0.84
630,49.21,17.10,61.84,-1.08,0.17,-0.88
640,48.75,20.56,62.40,-1.10,0.21,-0.89
650,48.12,22.93,63.31,-1.11,0.24,-0.89
660,47.30,24.92,63.69,-1.10,0.28,-0.88
670,47.25,26.37,62.79,-1.07,0.33,-0.88
680,47.44,27.55,63.03,-1.03,0.39,-0.88
