timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,36.47,26.58,105.70,0.43,-0.09,0.83
10,36.96,28.03,106.25,0.42,-0.12,0.81
20,37.41,29.48,107.77,0.39,-0.16,0.81
30,37.52,29.94,108.84,0.37,-0.22,0.82
40,37.79,28.94,109.44,0.35,-0.27,0.84
50,38.08,27.59,110.74,0.33,-0.32,0.85
60,37.80,26.55,110.69,0.31,-0.37,0.84
70,38.42,25.85,110.30,0.29,-0.42,0.83
80,38.31,25.78,109.28,0.27,-0.47,0.80
90,38.36,27.21,107.83,0.24,-0.52,0.77
100,38.52,28.84,106.61,0.21,-0.56,0.76
110,38.35,29.82,105.27,0.18,-0.60,0.77
120,38.32,30.32,103.91,0.15,-0.64,0.78
130,38.66,30.45,102.67,0.13,-0.67,0.79
140,38.82,30.32,101.00,0.11,-0.70,0.80
150,39.23,28.89,99.52,0.09,-0.71,0.81
160,39.68,26.52,98.92,0.08,-0.73,0.81
170,40.13,24.37,97.92,0.09,-0.74,0.78
180,40.77,23.83,97.84,0.10,-0.74,0.75
190,41.31,23.93,97.53,0.11,-0.76,0.72
200,41.92,24.07,96.55,0.10,-0.78,0.70
210,42.31,24.23,95.08,0.07,-0.79,0.69
220,42.33,23.69,94.06,0.03,-0.81,0.68
230,42.51,22.97,92.92,-0.03,-0.83,0.67
240,42.84,22.47,92.61,-0.09,-0.85,0.66
250,43.33,21.47,92.26,-0.15,-0.86,0.65
260,43.96,20.31,91.30,-0.18,-0.88,0.63
270,44.65,19.26,90.69,-0.19,-0.89,0.60
280,45.04,17.34,89.21,-0.19,-0.89,0.57
290,45.80,15.79,88.40,-0.20,-0.89,0.52
300,46.05,14.56,88.05,-0.21,-0.89,0.48
310,47.10,13.78,88.27,-0.21,-0.88,0.42
320,47.85,14.72,89.28,-0.21,-0.88,0.36
330,48.03,16.29,89.28,-0.23,-0.89,0.32
340,48.28,17.37,88.38,-0.27,-0.91,0.29
350,48.79,17.89,87.65,-0.34,-0.93,0.29
360,48.99,17.61,86.71,-0.42,-0.95,0.28
370,49.59,16.05,84.63,-0.49,-0.97,0.27
380,50.00,14.22,83.26,-0.54,-0.97,0.24
390,50.35,13.10,83.26,-0.56,-0.97,0.20
400,50.95,12.54,83.29,-0.57,-0.97,0.16
410,51.57,11.77,83.08,-0.57,-0.97,0.12
420,51.96,10.17,82.52,-0.59,-0.97,0.08
430,52.10,8.58,80.98,-0.61,-0.97,0.04
440,52.50,7.57,79.71,-0.64,-0.97,-0.01
450,52.51,7.35,78.92,-0.67,-0.96,-0.07
460,52.48,8.02,77.68,-0.72,-0.96,-0.11
470,52.36,8.98,75.86,-0.77,-0.96,-0.15
480,52.14,9.32,73.94,-0.83,-0.94,-0.18
490,52.41,8.85,71.52,-0.88,-0.93,-0.21
500,52.11,8.26,69.52,-0.93,-0.91,-0.24
510,51.83,7.85,68.25,-0.98,-0.88,-0.27
520,51.84,7.09,66.67,-1.04,-0.85,-0.30
530,51.88,6.89,64.67,-1.09,-0.82,-0.35
540,51.81,6.83,63.42,-1.11,-0.78,-0.39
550,52.10,7.06,63.05,-1.10,-0.72,-0.44
560,52.52,8.18,62.87,-1.07,-0.67,-0.49
570,52.58,9.05,62.22,-1.05,-0.62,-0.53
580,52.73,9.04,61.95,-1.05,-0.57,-0.55
590,52.57,9.61,61.42,-1.07,-0.53,-0.58
600,52.28,11.01,60.60,-1.11,-0.49,-0.60
610,52.19,11.81,58.85,-1.16,-0.45,-0.61
620,52.44,11.49,57.00,-1.21,-0.40,-0.62
630,51.97,12.10,55.16,-1.26,-0.34,-0.65
640,52.58,13.07,54.74,-1.30,-0.28,-0.66
650,52.91,13.20,54.53,-1.33,-0.23,-0.67
660,52.55,12.70,52.70,-1.35,-0.17,-0.69
670,51.69,12.14,51.04,-1.30,-0.09,-0.73
680,50.88,12.33,50.84,-1.23,0.01,-0.78
690,50.36,13.56,51.50,-1.17,0.10,-0.83
700,49.99,15.82,53.02,-1.15,0.17,-0.86
710,49.46,17.53,53.24,-1.17,0.23,-0.87
720,49.22,18.78,53.32,-1.20,0.29,-0.88
730,49.49,20.65,53.58,-1.22,0.36,-0.90
740,49.54,23.06,53.36,-1.21,0.42,-0.90
750,49.51,23.27,53.06,-1.17,0.49,-0.89
760,49.73,22.47,53.85,-1.12,0.56,-0.90
770,49.27,21.33,55.49,-1.07,0.63,-0.92
780,48.26,21.52,57.64,-1.02,0.70,-0.97
790,47.46,23.03,59.80,-0.95,0.76,-1.03
800,46.75,27.44,62.84,-0.89,0.82,-1.08
810,46.52,32.89,65.01,-0.85,0.87,-1.09
820,46.79,36.91,66.45,-0.81,0.90,-1.08
830,47.55,40.33,67.57,-0.79,0.92,-1.05
840,48.41,42.67,68.24,-0.75,0.94,-0.99
850,49.49,42.59,68.96,-0.70,0.97,-0.93
860,49.94,41.19,70.17,-0.62,1.00,-0.88
870,51.10,40.33,72.42,-0.54,1.03,-0.86
880,51.84,40.08,75.37,-0.46,1.05,-0.84
890,52.39,39.81,78.17,-0.39,1.06,-0.84
900,52.39,40.64,79.79,-0.32,1.06,-0.84
910,52.23,43.32,80.64,-0.26,1.06,-0.84
920,52.48,46.78,82.34,-0.21,1.07,-0.81
930,52.12,49.67,83.57,-0.17,1.05,-0.77
940,51.82,53.33,83.47,-0.14,1.03,-0.70
950,52.30,56.56,82.83,-0.12,1.03,-0.63
960,53.58,57.76,85.05,-0.08,1.04,-0.53
970,54.49,55.89,87.94,-0.00,1.03,-0.42
980,55.56,52.50,90.03,0.08,1.02,-0.34
990,56.21,49.22,92.14,0.16,1.00,-0.28
