timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,28.91,61.13,99.68,0.27,0.35,0.94
10,29.09,58.90,99.80,0.29,0.32,1.00
20,29.49,56.49,100.33,0.32,0.29,1.05
30,29.90,53.80,100.85,0.34,0.25,1.09
40,30.61,52.31,101.19,0.37,0.21,1.11
50,31.30,51.09,102.32,0.41,0.19,1.12
60,31.79,50.06,103.68,0.46,0.16,1.13
70,32.66,49.45,105.67,0.49,0.13,1.14
80,33.62,49.60,107.68,0.49,0.09,1.16
90,34.03,49.21,109.54,0.47,0.02,1.18
100,34.28,48.48,111.02,0.42,-0.05,1.22
110,34.06,47.32,111.81,0.38,-0.13,1.24
120,34.66,45.23,111.10,0.37,-0.20,1.26
130,34.70,43.25,108.99,0.38,-0.26,1.27
140,35.14,40.72,107.62,0.40,-0.29,1.26
150,35.27,38.74,106.94,0.42,-0.33,1.24
160,35.64,37.39,106.13,0.43,-0.37,1.22
170,36.63,35.77,104.44,0.44,-0.40,1.20
180,37.55,33.80,105.26,0.41,-0.43,1.18
190,37.55,32.80,105.63,0.34,-0.49,1.16
200,37.90,32.25,104.98,0.26,-0.54,1.13
210,38.36,31.29,106.14,0.15,-0.60,1.12
220,38.46,31.04,106.87,0.07,-0.68,1.10
230,38.96,30.44,105.91,0.04,-0.74,1.09
240,39.23,29.27,105.05,0.03,-0.78,1.06
250,39.60,28.54,103.55,0.03,-0.83,1.03
260,39.74,26.99,100.82,0.02,-0.86,0.99
270,40.61,25.52,99.19,0.00,-0.88,0.95
280,40.88,24.34,99.19,-0.03,-0.92,0.90
290,41.12,24.30,98.55,-0.06,-0.94,0.84
300,41.50,24.44,98.98,-0.09,-0.97,0.80
310,42.59,23.96,99.39,-0.13,-1.00,0.78
320,43.21,22.05,98.89,-0.17,-1.04,0.76
330,43.94,20.36,97.90,-0.23,-1.07,0.71
340,44.04,20.02,97.54,-0.29,-1.12,0.66
350,43.61,20.61,95.20,-0.35,-1.16,0.61
360,44.28,21.38,92.74,-0.39,-1.16,0.55
370,44.68,21.40,92.66,-0.45,-1.19,0.52
380,44.66,19.98,90.65,-0.48,-1.22,0.49
390,45.36,18.63,88.63,-0.50,-1.22,0.44
400,46.02,17.83,88.14,-0.52,-1.22,0.38
410,46.27,18.42,87.13,-0.56,-1.24,0.32
420,46.41,18.88,84.52,-0.63,-1.25,0.27
430,46.79,18.85,82.94,-0.70,-1.26,0.22
440,47.20,18.82,82.27,-0.76,-1.26,0.17
450,47.32,19.21,82.02,-0.81,-1.26,0.13
460,47.49,19.86,81.67,-0.83,-1.26,0.08
470,48.10,19.84,81.72,-0.84,-1.26,0.04
480,47.44,19.82,79.91,-0.86,-1.27,-0.00
490,46.62,19.62,77.25,-0.87,-1.26,-0.04
500,46.64,19.91,74.35,-0.90,-1.24,-0.08
510,46.59,20.45,72.29,-0.94,-1.23,-0.12
520,46.47,21.67,70.60,-0.98,-1.20,-0.14
530,47.20,20.86,69.49,-1.01,-1.17,-0.15
540,47.64,18.43,68.41,-1.03,-1.15,-0.17
550,47.79,16.63,67.33,-1.06,-1.12,-0.21
560,47.91,15.77,65.85,-1.08,-1.08,-0.26
570,47.77,16.32,63.92,-1.10,-1.04,-0.31
580,47.87,16.22,62.24,-1.10,-0.99,-0.35
590,48.09,16.33,61.28,-1.09,-0.94,-0.40
600,48.85,16.82,60.69,-1.07,-0.88,-0.44
610,49.88,16.83,60.42,-1.06,-0.82,-0.47
620,50.71,16.76,60.72,-1.06,-0.78,-0.50
630,51.02,16.31,61.34,-1.07,-0.74,-0.53
640,51.50,16.41,62.14,-1.08,-0.71,-0.56
650,51.50,16.41,63.31,-1.08,-0.68,-0.58
660,50.81,15.71,64.71,-1.08,-0.65,-0.60
670,50.29,14.70,64.57,-1.09,-0.64,-0.63
680,49.28,13.75,63.05,-1.12,-0.63,-0.67
690,48.36,13.95,60.75,-1.16,-0.60,-0.71
700,47.36,14.32,57.17,-1.21,-0.57,-0.76
710,47.39,14.66,53.54,-1.24,-0.52,-0.80
720,47.31,15.45,49.63,-1.28,-0.47,-0.86
730,47.70,17.20,47.29,-1.29,-0.39,-0.91
740,48.24,18.81,46.54,-1.29,-0.31,-0.96
750,49.05,21.00,46.50,-1.28,-0.24,-1.02
760,49.49,24.41,47.13,-1.25,-0.16,-1.07
770,49.40,27.44,47.70,-1.22,-0.09,-1.09
780,49.47,29.95,47.62,-1.19,-0.03,-1.10
790,49.21,29.64,47.11,-1.17,0.04,-1.10
800,48.85,28.56,45.82,-1.17,0.11,-1.13
810,49.20,29.08,45.82,-1.17,0.19,-1.17
820,48.43,30.39,47.08,-1.18,0.24,-1.22
830,48.24,33.54,47.04,-1.17,0.31,-1.27
840,48.03,38.52,47.19,-1.16,0.38,-1.29
850,48.38,42.71,48.25,-1.15,0.44,-1.27
860,48.28,45.83,47.04,-1.15,0.50,-1.24
870,48.06,46.48,46.30,-1.13,0.57,-1.18
880,46.85,48.97,46.04,-1.10,0.65,-1.12
890,52.05,41.18,47.71,-1.01,0.70,-1.10
900,49.52,43.75,45.22,-0.90,0.81,-1.14
910,49.78,44.55,49.18,-0.80,0.92,-1.14
920,49.80,43.08,52.30,-0.72,0.99,-1.13
