timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,38.95,30.22,99.41,0.21,-0.37,0.74
10,39.50,29.17,99.23,0.16,-0.40,0.73
20,39.96,28.61,98.66,0.13,-0.42,0.71
30,40.29,29.31,98.65,0.11,-0.45,0.69
40,40.60,30.70,99.05,0.08,-0.48,0.67
50,40.69,31.50,98.94,0.08,-0.51,0.67
60,40.84,30.52,97.97,0.10,-0.53,0.67
70,40.85,29.38,96.70,0.13,-0.54,0.66
80,40.65,28.19,96.35,0.16,-0.54,0.64
90,41.28,27.01,96.80,0.17,-0.55,0.61
100,41.56,26.60,97.09,0.14,-0.57,0.59
110,42.19,26.36,96.86,0.07,-0.60,0.58
120,42.45,25.77,96.44,-0.03,-0.64,0.58
130,42.93,24.71,96.44,-0.11,-0.67,0.57
140,43.23,23.93,96.15,-0.17,-0.70,0.55
150,43.95,23.67,95.24,-0.20,-0.73,0.53
160,44.34,23.17,94.41,-0.23,-0.75,0.51
170,44.40,21.66,92.13,-0.24,-0.77,0.49
180,44.86,20.06,90.35,-0.25,-0.78,0.46
190,45.36,18.80,89.53,-0.24,-0.77,0.41
200,45.71,18.40,88.93,-0.23,-0.77,0.36
210,45.90,18.47,88.52,-0.21,-0.77,0.31
220,45.75,19.01,88.53,-0.20,-0.76,0.26
230,45.70,19.96,87.98,-0.20,-0.76,0.22
240,46.02,21.05,87.33,-0.23,-0.76,0.19
250,46.21,21.17,87.75,-0.27,-0.77,0.18
260,46.57,20.74,87.84,-0.35,-0.79,0.17
270,46.43,19.72,86.44,-0.45,-0.81,0.15
280,46.79,18.71,86.19,-0.54,-0.83,0.14
290,47.16,18.23,85.86,-0.62,-0.84,0.11
300,47.29,17.69,84.42,-0.68,-0.86,0.08
310,47.47,17.23,81.80,-0.71,-0.86,0.05
320,47.76,16.63,80.33,-0.71,-0.84,0.01
330,48.06,16.27,79.08,-0.71,-0.83,-0.03
340,48.24,16.47,77.68,-0.73,-0.81,-0.07
350,48.59,17.21,76.58,-0.76,-0.79,-0.11
360,48.75,16.85,75.94,-0.80,-0.78,-0.14
370,48.82,16.99,74.87,-0.83,-0.76,-0.18
380,49.01,17.56,73.62,-0.85,-0.74,-0.21
390,49.46,18.29,73.27,-0.88,-0.72,-0.24
400,49.93,18.09,72.81,-0.90,-0.70,-0.26
410,50.09,17.84,71.78,-0.92,-0.68,-0.28
420,50.13,18.41,71.08,-0.93,-0.65,-0.32
430,50.48,19.12,70.88,-0.92,-0.62,-0.34
440,50.54,20.10,70.00,-0.92,-0.59,-0.37
450,50.61,20.06,69.10,-0.92,-0.57,-0.38
460,50.77,19.21,68.48,-0.94,-0.54,-0.40
470,50.79,18.98,67.78,-0.95,-0.51,-0.42
480,51.30,19.39,67.15,-0.96,-0.48,-0.44
490,51.65,20.06,67.01,-0.97,-0.45,-0.46
500,52.04,20.69,66.79,-0.97,-0.42,-0.47
510,52.38,19.70,65.60,-0.96,-0.39,-0.47
520,52.84,18.77,65.19,-0.95,-0.35,-0.48
530,52.89,17.83,64.49,-0.96,-0.32,-0.50
540,52.46,17.30,62.90,-0.98,-0.29,-0.53
550,52.89,16.63,61.94,-1.01,-0.24,-0.55
560,52.62,16.99,61.39,-1.04,-0.21,-0.59
570,52.35,18.68,60.79,-1.05,-0.17,-0.63
580,51.91,20.39,60.60,-1.03,-0.11,-0.65
590,51.70,22.62,62.06,-1.00,-0.05,-0.67
600,51.75,24.81,63.50,-0.98,-0.02,-0.68
610,50.91,25.39,63.48,-0.95,0.01,-0.67
620,50.29,25.51,62.72,-0.93,0.05,-0.68
630,49.56,25.69,62.00,-0.90,0.10,-0.69
640,49.25,25.45,60.73,-0.88,0.14,-0.70
650,49.46,25.04,59.98,-0.85,0.19,-0.73
660,49.85,26.07,59.20,-0.81,0.25,-0.76
670,50.28,29.08,59.65,-0.77,0.30,-0.81
680,50.28,32.99,61.07,-0.74,0.35,-0.82
690,50.22,35.81,62.61,-0.70,0.38,-0.81
700,49.55,36.97,63.86,-0.65,0.42,-0.79
710,48.68,37.31,65.53,-0.59,0.45,-0.77
720,47.79,38.25,66.38,-0.53,0.48,-0.76
730,47.62,39.57,66.72,-0.49,0.51,-0.74
740,48.11,39.93,66.25,-0.45,0.53,-0.70
750,48.82,39.29,65.95,-0.43,0.56,-0.68
760,49.60,37.90,65.17,-0.40,0.58,-0.65
770,50.71,35.47,64.85,-0.36,0.62,-0.63
780,51.56,32.82,65.73,-0.31,0.66,-0.64
790,51.63,32.44,67.60,-0.25,0.69,-0.67
800,51.37,33.34,69.31,-0.20,0.72,-0.68
810,51.11,34.39,71.44,-0.15,0.74,-0.69
820,50.42,35.72,73.24,-0.12,0.75,-0.68
830,49.88,37.61,73.88,-0.09,0.76,-0.68
840,49.82,40.11,74.12,-0.08,0.77,-0.66
850,49.83,42.30,75.24,-0.07,0.79,-0.64
860,49.93,44.16,76.34,-0.05,0.80,-0.60
870,49.99,44.22,78.10,-0.02,0.81,-0.55
880,50.32,42.11,80.51,0.03,0.82,-0.52
890,50.42,40.88,83.03,0.08,0.83,-0.51
900,50.35,42.32,84.01,0.13,0.82,-0.52
910,49.99,45.31,84.21,0.16,0.81,-0.50
920,49.20,47.31,83.69,0.18,0.81,-0.45
930,48.28,48.52,83.20,0.19,0.80,-0.41
940,47.10,50.57,81.87,0.19,0.80,-0.37
950,46.43,53.36,81.34,0.19,0.81,-0.32
960,46.86,55.79,82.20,0.19,0.83,-0.24
970,47.59,56.48,85.66,0.21,0.84,-0.16
980,47.56,55.95,88.55,0.25,0.83,-0.08
990,47.09,54.34,89.20,0.29,0.81,-0.01
