timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,40.57,36.90,100.10,0.45,-0.44,0.75
10,40.23,36.31,98.57,0.40,-0.48,0.73
20,39.86,36.84,96.98,0.33,-0.52,0.72
30,40.01,37.73,96.09,0.24,-0.57,0.71
40,39.73,38.94,95.13,0.14,-0.61,0.72
50,39.44,39.26,94.23,0.06,-0.65,0.73
60,39.69,37.78,92.45,0.01,-0.69,0.74
70,39.66,35.31,90.55,-0.00,-0.71,0.73
80,39.79,32.55,88.99,0.06,-0.71,0.70
90,40.11,30.05,86.94,0.18,-0.69,0.63
100,40.03,29.67,85.26,0.29,-0.66,0.56
110,40.49,30.11,84.63,0.33,-0.65,0.51
120,40.56,30.24,84.49,0.30,-0.65,0.47
130,40.62,29.79,84.63,0.20,-0.67,0.44
140,40.70,30.41,84.21,0.04,-0.69,0.42
150,40.72,32.03,83.75,-0.12,-0.71,0.40
160,41.17,33.50,83.68,-0.26,-0.73,0.40
170,41.93,33.72,83.34,-0.36,-0.75,0.41
180,42.91,31.79,82.62,-0.43,-0.76,0.41
190,43.54,29.64,81.95,-0.46,-0.77,0.39
200,44.45,27.94,79.82,-0.45,-0.77,0.34
210,44.96,27.13,78.76,-0.43,-0.75,0.29
220,45.09,27.14,78.08,-0.40,-0.73,0.24
230,45.33,27.32,76.62,-0.37,-0.71,0.19
240,45.40,27.63,76.24,-0.37,-0.69,0.14
250,45.93,28.42,76.28,-0.40,-0.68,0.11
260,46.23,29.57,76.32,-0.46,-0.68,0.09
270,47.08,29.89,76.78,-0.54,-0.68,0.09
280,47.73,28.88,77.41,-0.61,-0.68,0.09
290,48.59,27.28,77.42,-0.68,-0.69,0.07
300,49.44,25.76,76.51,-0.74,-0.70,0.04
310,49.69,24.42,74.70,-0.76,-0.70,-0.01
320,50.19,24.76,73.00,-0.76,-0.68,-0.08
330,50.10,26.75,71.15,-0.73,-0.66,-0.14
340,50.30,29.43,69.67,-0.69,-0.64,-0.19
350,50.42,31.05,68.39,-0.66,-0.61,-0.21
360,51.06,32.32,68.51,-0.65,-0.57,-0.22
370,51.42,32.25,69.49,-0.67,-0.55,-0.22
380,51.33,31.45,69.89,-0.71,-0.54,-0.22
390,51.09,30.96,69.82,-0.77,-0.54,-0.22
400,50.98,30.28,69.91,-0.84,-0.52,-0.23
410,51.48,29.94,69.99,-0.91,-0.51,-0.23
420,51.76,29.47,69.17,-0.98,-0.51,-0.24
430,52.28,29.20,67.48,-1.02,-0.50,-0.26
440,52.14,29.77,66.18,-1.03,-0.47,-0.28
450,52.33,30.12,64.87,-1.01,-0.44,-0.30
460,52.51,30.75,63.30,-0.98,-0.41,-0.33
470,52.89,31.18,63.22,-0.97,-0.37,-0.33
480,53.17,30.12,63.43,-0.98,-0.34,-0.33
490,52.96,28.70,63.14,-1.00,-0.31,-0.34
500,53.12,27.49,63.90,-1.01,-0.28,-0.35
510,52.48,25.91,64.68,-1.03,-0.26,-0.37
520,52.18,25.58,65.05,-1.03,-0.23,-0.41
530,52.06,26.24,66.33,-1.03,-0.20,-0.43
540,52.09,26.84,67.06,-1.02,-0.18,-0.46
550,52.19,27.92,66.69,-1.01,-0.16,-0.48
560,52.70,28.48,66.13,-1.00,-0.14,-0.49
570,53.18,27.74,66.40,-1.00,-0.12,-0.50
580,52.85,27.06,66.26,-0.99,-0.11,-0.52
590,52.49,27.27,65.45,-0.97,-0.09,-0.54
600,51.91,27.75,63.86,-0.96,-0.06,-0.56
610,50.90,27.62,63.22,-0.94,-0.02,-0.59
620,50.09,27.54,62.44,-0.93,0.01,-0.61
630,49.40,28.50,62.40,-0.91,0.05,-0.65
640,49.24,30.52,63.02,-0.89,0.09,-0.68
650,49.48,31.85,62.81,-0.86,0.12,-0.69
660,49.56,32.47,62.63,-0.83,0.15,-0.70
670,48.95,32.62,61.01,-0.79,0.18,-0.71
680,48.52,32.65,58.79,-0.74,0.24,-0.73
690,48.18,32.94,58.01,-0.71,0.29,-0.75
700,47.78,35.11,57.74,-0.70,0.34,-0.78
710,47.36,38.02,57.56,-0.70,0.38,-0.79
720,46.97,41.41,57.58,-0.73,0.42,-0.79
730,46.20,44.27,57.23,-0.75,0.46,-0.76
740,46.24,45.26,58.52,-0.76,0.51,-0.71
750,46.50,43.99,60.44,-0.74,0.55,-0.65
760,46.62,40.75,62.22,-0.70,0.58,-0.62
770,46.04,38.01,63.10,-0.63,0.63,-0.62
780,45.95,35.93,63.96,-0.50,0.68,-0.64
790,46.00,35.41,65.73,-0.35,0.74,-0.68
800,46.32,36.24,68.17,-0.22,0.79,-0.72
810,46.62,38.38,70.80,-0.17,0.81,-0.74
820,46.55,39.63,72.50,-0.17,0.81,-0.73
830,46.90,40.52,74.02,-0.20,0.81,-0.72
840,47.23,42.33,75.79,-0.21,0.80,-0.71
850,47.60,45.35,77.00,-0.20,0.80,-0.69
860,48.06,47.64,77.69,-0.17,0.79,-0.65
870,48.47,47.39,79.29,-0.12,0.80,-0.61
880,48.92,46.30,81.94,-0.05,0.80,-0.58
890,49.04,45.37,84.00,0.02,0.80,-0.58
900,49.08,46.00,85.82,0.08,0.79,-0.57
910,48.36,47.74,86.51,0.11,0.76,-0.57
920,47.18,50.66,86.19,0.11,0.74,-0.55
930,45.73,55.08,85.21,0.10,0.72,-0.52
940,44.22,60.07,83.98,0.04,0.70,-0.46
950,42.61,63.98,81.23,-0.03,0.68,-0.37
960,41.78,66.09,79.39,-0.07,0.69,-0.25
970,42.26,64.45,81.06,-0.06,0.71,-0.13
980,43.03,59.88,83.41,0.01,0.73,-0.04
990,43.23,54.05,84.92,0.12,0.74,0.01
