timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,33.86,39.00,104.98,0.63,0.08,0.78
10,34.02,37.13,105.64,0.61,0.03,0.81
20,34.56,34.16,106.74,0.58,-0.01,0.83
30,35.49,32.06,108.33,0.55,-0.06,0.82
40,36.06,31.67,109.66,0.51,-0.12,0.80
50,36.96,32.41,110.38,0.48,-0.18,0.79
60,37.52,33.53,110.87,0.44,-0.24,0.79
70,37.99,34.95,111.08,0.42,-0.31,0.79
80,37.88,35.18,110.25,0.42,-0.37,0.79
90,37.94,35.21,109.40,0.43,-0.43,0.80
100,37.75,34.93,108.98,0.44,-0.47,0.80
110,37.77,34.70,108.66,0.43,-0.52,0.80
120,38.14,33.93,108.02,0.39,-0.56,0.81
130,37.98,33.04,107.83,0.31,-0.62,0.82
140,38.17,31.60,106.71,0.21,-0.69,0.82
150,38.85,29.79,105.81,0.14,-0.74,0.82
160,39.30,28.36,104.89,0.12,-0.79,0.80
170,39.76,27.07,102.83,0.13,-0.82,0.77
180,40.50,26.26,101.72,0.15,-0.84,0.74
190,40.85,25.92,101.02,0.15,-0.87,0.70
200,40.92,26.14,100.26,0.14,-0.90,0.67
210,40.96,26.72,99.54,0.14,-0.92,0.64
220,41.18,26.41,99.26,0.14,-0.94,0.62
230,41.09,26.10,98.78,0.12,-0.96,0.60
240,40.97,26.01,98.46,0.07,-0.99,0.59
250,41.30,25.78,97.76,-0.00,-1.02,0.58
260,41.19,25.53,96.91,-0.10,-1.06,0.57
270,41.24,24.61,94.77,-0.19,-1.10,0.57
280,41.49,23.60,92.09,-0.26,-1.11,0.54
290,41.78,23.23,90.30,-0.30,-1.12,0.50
300,42.06,23.50,88.59,-0.32,-1.12,0.47
310,42.50,23.82,87.18,-0.32,-1.11,0.45
320,43.15,23.74,86.52,-0.33,-1.10,0.43
330,43.94,22.22,86.33,-0.34,-1.10,0.42
340,44.56,19.34,85.11,-0.36,-1.10,0.40
350,45.37,16.26,83.64,-0.36,-1.08,0.36
360,46.20,14.62,81.85,-0.38,-1.07,0.29
370,46.15,14.71,81.14,-0.43,-1.06,0.23
380,46.50,15.30,80.70,-0.50,-1.06,0.18
390,46.69,17.01,80.13,-0.58,-1.07,0.13
400,46.68,19.08,79.05,-0.67,-1.07,0.10
410,46.52,20.50,77.57,-0.74,-1.06,0.09
420,46.54,20.81,75.90,-0.79,-1.05,0.08
430,46.96,19.59,75.10,-0.81,-1.03,0.07
440,47.46,18.03,74.08,-0.80,-1.00,0.04
450,47.67,17.21,72.96,-0.78,-0.97,0.00
460,48.18,15.92,72.16,-0.78,-0.94,-0.04
470,48.67,15.12,71.31,-0.79,-0.91,-0.08
480,49.14,14.46,70.12,-0.82,-0.89,-0.12
490,49.45,15.11,69.20,-0.85,-0.86,-0.17
500,49.63,17.13,68.10,-0.89,-0.83,-0.21
510,49.85,18.38,67.03,-0.92,-0.79,-0.23
520,50.22,19.02,66.05,-0.94,-0.76,-0.25
530,50.60,19.09,64.60,-0.97,-0.73,-0.26
540,51.25,18.78,63.52,-0.99,-0.69,-0.27
550,51.79,17.95,62.70,-1.00,-0.65,-0.29
560,52.30,16.56,61.59,-1.02,-0.60,-0.31
570,52.78,15.58,60.20,-1.04,-0.56,-0.34
580,52.80,14.78,59.23,-1.05,-0.51,-0.38
590,53.09,15.48,59.31,-1.07,-0.46,-0.43
600,53.54,15.94,60.11,-1.07,-0.41,-0.46
610,53.85,16.54,60.21,-1.08,-0.37,-0.49
620,54.17,17.25,60.27,-1.08,-0.32,-0.51
630,54.47,17.93,60.78,-1.08,-0.29,-0.54
640,54.64,19.37,60.80,-1.08,-0.25,-0.57
650,54.82,21.12,60.86,-1.07,-0.21,-0.57
660,55.05,22.21,59.87,-1.08,-0.17,-0.57
670,55.41,22.70,59.48,-1.10,-0.13,-0.57
680,55.46,22.33,58.38,-1.12,-0.09,-0.56
690,55.04,21.37,56.47,-1.14,-0.04,-0.56
700,54.65,19.69,55.53,-1.15,0.02,-0.58
710,54.31,17.71,56.00,-1.15,0.07,-0.60
720,53.45,16.59,56.00,-1.13,0.12,-0.64
730,52.77,16.61,55.39,-1.10,0.19,-0.69
740,52.31,17.55,55.31,-1.08,0.26,-0.73
750,52.08,18.89,56.12,-1.07,0.32,-0.76
760,52.08,19.80,56.01,-1.07,0.37,-0.77
770,51.81,20.67,56.50,-1.06,0.43,-0.80
780,51.41,22.76,56.61,-1.04,0.48,-0.84
790,50.94,25.55,56.55,-1.00,0.54,-0.86
800,50.00,27.76,57.55,-0.97,0.60,-0.87
810,49.73,29.98,59.95,-0.92,0.67,-0.88
820,49.17,33.33,63.03,-0.87,0.71,-0.88
830,48.33,37.20,65.06,-0.82,0.75,-0.86
840,47.77,39.55,66.16,-0.77,0.79,-0.82
850,47.91,40.17,66.84,-0.73,0.83,-0.77
860,47.84,40.11,66.62,-0.70,0.86,-0.73
870,48.14,39.82,66.80,-0.67,0.89,-0.70
880,48.27,40.01,67.22,-0.63,0.93,-0.68
