timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,26.38,59.44,87.27,0.02,0.36,0.52
10,26.23,57.92,88.11,0.06,0.35,0.59
20,26.78,56.43,88.84,0.11,0.38,0.64
30,27.71,53.66,90.93,0.12,0.37,0.70
40,28.44,50.94,92.24,0.12,0.35,0.73
50,29.00,50.41,93.22,0.13,0.34,0.73
60,29.91,52.15,95.68,0.14,0.33,0.75
70,30.59,53.33,97.61,0.15,0.30,0.79
80,30.77,53.60,98.40,0.17,0.26,0.84
90,30.97,52.82,98.44,0.20,0.23,0.89
100,31.29,51.41,99.59,0.22,0.21,0.94
110,31.69,50.37,101.73,0.25,0.18,0.98
120,32.48,49.41,103.53,0.28,0.14,1.00
130,33.46,48.55,104.94,0.31,0.10,1.01
140,34.19,47.63,104.81,0.35,0.05,1.02
150,34.56,46.43,104.66,0.38,0.01,1.03
160,34.73,45.57,105.54,0.40,-0.03,1.03
170,34.81,45.62,107.15,0.41,-0.07,1.03
180,35.22,46.48,109.26,0.43,-0.12,1.03
190,35.69,47.15,110.88,0.43,-0.18,1.05
200,36.01,47.44,111.58,0.43,-0.25,1.08
210,36.66,46.12,111.68,0.42,-0.31,1.11
220,37.36,43.77,109.93,0.41,-0.38,1.14
230,37.80,42.39,109.33,0.38,-0.44,1.14
240,38.78,40.45,109.84,0.39,-0.49,1.13
250,39.34,39.03,110.66,0.40,-0.54,1.11
260,39.68,37.88,110.83,0.40,-0.60,1.09
270,39.70,37.25,110.66,0.39,-0.65,1.08
280,40.41,36.55,110.42,0.37,-0.71,1.07
290,40.92,36.87,109.65,0.35,-0.77,1.05
300,41.26,37.48,108.68,0.30,-0.82,1.05
310,41.75,37.33,108.25,0.22,-0.88,1.05
320,41.68,35.37,108.30,0.15,-0.95,1.06
330,41.49,33.76,106.43,0.09,-1.02,1.04
340,41.16,33.65,104.67,0.06,-1.07,1.03
350,41.49,32.89,103.44,0.07,-1.09,1.01
360,41.45,30.72,103.73,0.10,-1.12,1.01
370,41.49,27.88,102.64,0.13,-1.15,0.99
380,41.36,24.29,101.38,0.17,-1.18,0.95
390,40.61,22.25,99.15,0.18,-1.21,0.88
400,40.95,22.40,97.46,0.16,-1.20,0.83
410,41.10,22.99,97.43,0.06,-1.24,0.80
420,40.77,23.34,95.77,-0.08,-1.29,0.79
430,41.04,23.93,92.64,-0.23,-1.30,0.78
440,41.50,22.61,92.53,-0.40,-1.34,0.78
450,41.43,20.09,89.51,-0.53,-1.41,0.78
460,41.29,17.36,84.60,-0.58,-1.42,0.74
470,42.14,15.38,82.11,-0.57,-1.38,0.67
480,42.91,13.78,81.40,-0.55,-1.36,0.60
490,43.84,13.17,80.52,-0.51,-1.33,0.51
500,45.10,13.20,79.16,-0.48,-1.30,0.43
510,45.76,13.84,78.24,-0.47,-1.28,0.37
520,46.54,14.76,76.64,-0.51,-1.26,0.32
530,47.04,14.58,74.62,-0.59,-1.25,0.29
540,47.40,14.12,73.67,-0.71,-1.24,0.26
550,48.18,13.51,73.84,-0.83,-1.24,0.24
560,48.54,12.85,73.17,-0.96,-1.24,0.21
570,48.32,12.49,72.06,-1.05,-1.23,0.17
580,48.33,11.58,69.93,-1.10,-1.22,0.11
590,47.70,11.85,66.75,-1.09,-1.18,0.04
600,48.09,12.16,64.84,-1.06,-1.12,-0.03
610,49.20,10.80,64.05,-1.02,-1.06,-0.08
620,49.63,9.99,62.95,-1.00,-1.02,-0.16
630,50.12,10.85,62.44,-0.99,-0.97,-0.23
640,49.99,12.47,61.60,-1.01,-0.94,-0.29
650,50.03,14.63,60.14,-1.05,-0.90,-0.32
660,50.19,16.20,59.13,-1.09,-0.87,-0.33
670,50.94,16.33,58.94,-1.16,-0.83,-0.33
680,51.61,14.66,59.19,-1.21,-0.80,-0.33
690,51.95,11.49,59.55,-1.24,-0.77,-0.36
700,52.85,9.03,59.21,-1.26,-0.74,-0.41
710,53.70,7.45,58.02,-1.27,-0.70,-0.50
720,54.27,8.44,56.78,-1.27,-0.66,-0.60
730,54.28,11.94,55.59,-1.29,-0.62,-0.69
740,54.31,16.27,55.23,-1.29,-0.58,-0.75
750,54.19,19.99,55.54,-1.27,-0.53,-0.78
760,53.88,23.09,55.20,-1.25,-0.49,-0.80
770,53.22,25.30,53.88,-1.24,-0.46,-0.79
780,52.71,25.80,51.69,-1.23,-0.42,-0.78
790,52.31,25.73,49.94,-1.24,-0.37,-0.77
800,51.61,24.39,48.68,-1.27,-0.32,-0.77
810,51.10,21.44,46.91,-1.30,-0.27,-0.78
820,50.80,18.62,45.29,-1.31,-0.20,-0.82
830,50.88,17.64,44.18,-1.29,-0.12,-0.88
840,50.95,18.44,43.62,-1.27,-0.04,-0.95
850,50.55,19.45,43.52,-1.24,0.05,-0.99
860,51.03,19.32,43.79,-1.21,0.13,-1.04
870,51.03,20.47,45.34,-1.19,0.21,-1.10
880,51.36,23.26,47.12,-1.16,0.27,-1.15
890,51.89,26.38,48.70,-1.13,0.33,-1.18
900,52.28,28.75,50.59,-1.10,0.39,-1.19
910,52.12,29.50,52.63,-1.10,0.43,-1.19
920,52.08,29.37,52.80,-1.11,0.47,-1.19
930,51.47,28.40,51.69,-1.11,0.50,-1.20
940,50.66,27.22,49.62,-1.08,0.56,-1.23
950,49.95,28.05,48.12,-1.04,0.63,-1.28
960,49.11,29.75,48.36,-0.99,0.71,-1.33
970,49.02,33.04,48.40,-0.96,0.79,-1.38
980,49.20,35.91,49.62,-0.93,0.86,-1.40
990,49.27,39.23,52.30,-0.91,0.92,-1.41
