timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,34.30,42.83,110.29,0.61,0.13,1.03
10,34.31,44.48,111.57,0.52,0.05,1.06
20,34.27,45.69,112.28,0.43,-0.04,1.11
30,34.53,45.03,113.10,0.36,-0.12,1.18
40,34.55,43.17,112.59,0.34,-0.20,1.23
50,34.90,40.17,112.39,0.35,-0.25,1.26
60,35.90,36.63,111.60,0.36,-0.31,1.27
70,36.33,34.61,109.85,0.34,-0.38,1.26
80,36.53,33.56,107.17,0.30,-0.43,1.24
90,36.37,33.05,105.15,0.26,-0.48,1.21
100,36.23,33.23,104.32,0.24,-0.51,1.19
110,36.05,34.68,104.09,0.21,-0.54,1.17
120,35.89,35.70,104.87,0.19,-0.57,1.17
130,35.85,34.87,105.93,0.16,-0.62,1.19
140,36.01,32.80,105.76,0.14,-0.67,1.19
150,36.62,31.26,106.18,0.14,-0.69,1.18
160,37.50,29.23,106.99,0.16,-0.72,1.16
170,38.42,27.26,106.31,0.16,-0.77,1.13
180,39.00,24.23,106.10,0.15,-0.81,1.08
190,40.88,23.03,106.35,0.13,-0.83,1.02
200,41.99,22.29,108.17,0.10,-0.88,0.98
210,42.26,22.69,107.24,0.08,-0.93,0.94
220,42.86,22.18,107.43,0.04,-0.97,0.91
230,43.06,22.04,106.62,-0.03,-1.00,0.88
240,43.11,22.66,106.94,-0.12,-1.06,0.86
250,43.18,23.30,105.69,-0.20,-1.12,0.86
260,42.60,23.10,103.67,-0.27,-1.18,0.86
270,42.25,22.25,100.28,-0.29,-1.20,0.83
280,42.45,21.30,98.46,-0.30,-1.21,0.80
290,42.86,20.69,96.41,-0.30,-1.22,0.78
300,43.21,19.19,93.79,-0.29,-1.21,0.75
310,43.69,16.34,92.86,-0.31,-1.21,0.72
320,44.28,13.32,91.02,-0.33,-1.23,0.68
330,45.20,10.40,88.46,-0.37,-1.22,0.64
340,45.93,8.08,87.67,-0.41,-1.21,0.59
350,46.61,7.36,87.69,-0.47,-1.21,0.52
360,47.38,7.54,87.65,-0.51,-1.21,0.47
370,47.89,7.23,87.78,-0.57,-1.22,0.43
380,48.13,7.18,87.76,-0.66,-1.24,0.38
390,48.07,7.22,86.88,-0.76,-1.26,0.34
400,48.14,7.07,84.63,-0.84,-1.28,0.30
410,48.30,6.74,81.18,-0.90,-1.29,0.26
420,48.68,5.18,78.00,-0.92,-1.26,0.21
430,49.06,3.78,75.92,-0.95,-1.23,0.14
440,49.45,3.72,74.49,-0.98,-1.20,0.06
450,49.34,3.65,73.24,-1.01,-1.18,-0.02
460,49.31,4.26,70.99,-1.03,-1.16,-0.12
470,48.64,6.43,68.69,-1.01,-1.12,-0.20
480,48.80,9.36,67.78,-0.97,-1.06,-0.27
490,49.25,11.48,68.89,-0.92,-1.01,-0.31
500,50.06,12.06,69.94,-0.88,-0.97,-0.33
510,50.64,12.66,69.94,-0.86,-0.95,-0.36
520,51.43,12.73,68.86,-0.85,-0.92,-0.38
530,52.32,12.81,67.57,-0.87,-0.90,-0.40
540,52.69,12.29,66.22,-0.90,-0.88,-0.42
550,52.97,10.53,65.24,-0.95,-0.86,-0.44
560,53.19,9.29,64.06,-1.03,-0.85,-0.47
570,52.79,9.24,62.96,-1.12,-0.84,-0.51
580,52.84,9.03,61.70,-1.19,-0.82,-0.54
590,52.53,9.15,60.78,-1.25,-0.80,-0.57
600,52.08,9.99,58.96,-1.27,-0.77,-0.61
610,51.57,11.09,55.27,-1.25,-0.73,-0.64
620,51.57,13.52,51.82,-1.21,-0.66,-0.67
630,52.83,14.99,49.98,-1.16,-0.58,-0.68
640,54.13,13.34,49.89,-1.12,-0.50,-0.68
650,55.20,9.37,50.13,-1.08,-0.43,-0.72
660,56.31,8.01,51.08,-1.07,-0.36,-0.80
670,57.82,8.09,52.15,-1.08,-0.31,-0.87
680,58.06,10.17,53.32,-1.12,-0.28,-0.93
690,57.54,13.64,53.00,-1.16,-0.25,-0.97
700,57.05,17.06,52.75,-1.20,-0.22,-0.99
710,56.98,20.05,52.48,-1.23,-0.18,-1.00
720,56.64,21.45,52.38,-1.26,-0.14,-0.99
730,56.43,21.44,52.42,-1.26,-0.10,-0.97
740,55.18,20.65,51.55,-1.27,-0.07,-0.96
750,54.67,18.75,51.51,-1.26,-0.01,-0.98
760,54.44,18.55,51.04,-1.25,0.03,-1.03
770,54.05,19.95,50.27,-1.24,0.08,-1.07
780,53.58,21.88,50.55,-1.23,0.14,-1.10
790,53.07,22.47,51.10,-1.23,0.18,-1.11
800,52.22,21.67,51.37,-1.23,0.24,-1.11
810,50.75,20.87,50.60,-1.22,0.29,-1.14
820,49.90,21.04,49.83,-1.21,0.35,-1.18
830,48.70,25.29,49.62,-1.21,0.40,-1.25
840,47.64,32.05,49.48,-1.19,0.46,-1.27
850,47.13,37.12,48.24,-1.17,0.53,-1.25
860,47.52,40.54,47.55,-1.14,0.61,-1.20
870,48.40,40.30,49.61,-1.09,0.69,-1.12
880,49.72,34.48,53.00,-0.99,0.76,-1.05
890,50.50,27.56,55.14,-0.88,0.83,-1.05
900,50.54,22.29,57.61,-0.78,0.89,-1.09
910,50.84,18.57,60.35,-0.72,0.95,-1.18
920,50.40,19.75,62.33,-0.72,0.98,-1.29
930,49.59,25.55,63.11,-0.75,1.00,-1.37
940,48.64,32.94,62.14,-0.81,1.02,-1.41
950,48.11,39.48,60.88,-0.86,1.05,-1.40
960,48.01,45.58,62.22,-0.89,1.09,-1.36
970,47.77,50.29,64.57,-0.90,1.12,-1.31
980,47.26,53.73,67.20,-0.86,1.15,-1.23
990,46.39,57.27,68.39,-0.80,1.19,-1.16
