timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,37.04,40.49,107.73,0.36,-0.10,0.84
10,38.14,40.55,107.91,0.37,-0.15,0.86
20,38.72,38.12,107.93,0.38,-0.21,0.89
30,38.71,34.14,106.55,0.38,-0.26,0.91
40,38.60,30.73,105.47,0.38,-0.30,0.90
50,38.15,29.25,104.82,0.37,-0.34,0.86
60,38.41,30.19,104.92,0.35,-0.37,0.83
70,38.87,32.64,105.39,0.31,-0.42,0.81
80,39.20,34.95,105.20,0.26,-0.47,0.82
90,39.74,35.63,105.05,0.22,-0.52,0.85
100,40.11,35.08,104.82,0.19,-0.57,0.87
110,40.37,34.48,104.49,0.19,-0.61,0.87
120,40.76,33.53,104.20,0.20,-0.64,0.88
130,40.98,32.91,103.88,0.21,-0.67,0.87
140,41.32,31.45,103.31,0.21,-0.70,0.87
150,42.16,29.07,102.24,0.22,-0.73,0.86
160,43.03,27.68,102.57,0.21,-0.76,0.84
170,43.41,26.70,102.18,0.17,-0.80,0.82
180,43.30,26.25,101.31,0.11,-0.85,0.81
190,43.60,25.55,100.56,0.03,-0.88,0.80
200,43.77,25.11,100.04,-0.05,-0.93,0.79
210,43.74,24.76,97.88,-0.11,-0.97,0.77
220,43.62,24.29,95.20,-0.15,-0.99,0.75
230,43.72,24.10,93.24,-0.16,-1.00,0.73
240,43.54,23.97,92.07,-0.18,-1.01,0.71
250,43.10,23.76,90.21,-0.20,-1.03,0.68
260,42.99,22.81,88.23,-0.21,-1.02,0.66
270,43.39,22.27,87.40,-0.22,-1.02,0.63
280,43.42,21.75,85.86,-0.23,-1.02,0.60
290,44.28,21.35,84.37,-0.24,-1.00,0.57
300,44.54,19.88,83.44,-0.27,-1.00,0.55
310,44.96,18.54,82.49,-0.31,-0.99,0.53
320,45.98,16.39,82.01,-0.33,-0.98,0.49
330,46.49,15.57,82.19,-0.34,-0.96,0.43
340,46.50,15.93,82.22,-0.34,-0.95,0.38
350,46.84,16.72,81.60,-0.34,-0.95,0.34
360,47.39,17.53,80.39,-0.37,-0.94,0.31
370,47.49,16.93,78.38,-0.42,-0.94,0.28
380,47.86,16.44,77.52,-0.47,-0.93,0.25
390,48.58,15.63,77.18,-0.50,-0.92,0.22
400,49.47,14.92,77.14,-0.54,-0.90,0.19
410,49.96,13.74,76.38,-0.57,-0.90,0.16
420,50.19,12.66,75.00,-0.60,-0.88,0.13
430,50.57,11.20,74.86,-0.63,-0.87,0.09
440,51.58,9.94,75.39,-0.65,-0.85,0.05
450,52.05,8.51,74.63,-0.66,-0.84,-0.00
460,52.09,8.14,73.85,-0.68,-0.82,-0.06
470,52.56,8.63,72.79,-0.70,-0.79,-0.12
480,53.12,9.53,72.39,-0.73,-0.77,-0.17
490,53.56,10.55,72.13,-0.77,-0.76,-0.21
500,53.80,11.87,71.44,-0.81,-0.75,-0.24
510,53.95,13.18,70.75,-0.84,-0.73,-0.26
520,54.42,13.32,70.20,-0.86,-0.70,-0.28
530,54.80,12.58,69.28,-0.87,-0.68,-0.30
540,54.91,11.65,67.78,-0.88,-0.66,-0.33
550,54.80,12.04,66.82,-0.90,-0.62,-0.37
560,54.87,12.82,66.65,-0.92,-0.59,-0.40
570,54.80,14.10,66.42,-0.95,-0.56,-0.44
580,54.61,15.84,65.94,-0.97,-0.53,-0.45
590,54.71,16.02,65.64,-0.98,-0.50,-0.46
600,54.28,15.92,64.78,-1.00,-0.47,-0.47
610,53.57,15.61,63.21,-1.02,-0.44,-0.49
620,53.38,15.44,61.74,-1.03,-0.39,-0.50
630,53.65,15.77,60.55,-1.05,-0.34,-0.52
640,54.00,15.50,59.04,-1.07,-0.30,-0.53
650,54.26,14.78,57.29,-1.08,-0.25,-0.54
660,54.55,14.10,57.12,-1.08,-0.19,-0.56
670,54.66,13.98,57.17,-1.10,-0.14,-0.59
680,54.52,14.58,56.58,-1.11,-0.09,-0.62
690,53.94,15.16,56.40,-1.11,-0.04,-0.64
700,52.91,15.97,56.68,-1.11,0.02,-0.66
710,52.72,16.87,56.17,-1.09,0.09,-0.69
720,52.56,18.04,56.08,-1.07,0.15,-0.72
730,52.93,20.51,56.87,-1.05,0.22,-0.75
740,53.49,22.77,58.29,-1.03,0.28,-0.77
750,53.86,23.49,58.58,-1.03,0.32,-0.77
