timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,35.30,27.98,105.68,0.35,-0.67,1.03
10,35.31,25.56,104.88,0.36,-0.70,0.97
20,35.54,25.66,104.22,0.38,-0.72,0.90
30,36.03,27.47,104.76,0.40,-0.73,0.84
40,36.86,29.94,105.81,0.41,-0.76,0.80
50,37.09,31.57,105.80,0.40,-0.80,0.79
60,38.11,32.17,105.15,0.36,-0.84,0.78
70,38.08,31.32,104.24,0.28,-0.89,0.79
80,38.04,29.99,103.13,0.20,-0.93,0.78
90,38.56,29.40,102.38,0.10,-0.97,0.76
100,39.12,29.63,100.30,-0.02,-1.02,0.76
110,38.88,29.74,97.73,-0.14,-1.07,0.75
120,39.60,30.06,94.75,-0.23,-1.10,0.74
130,39.89,29.84,92.28,-0.26,-1.13,0.72
140,39.77,29.28,89.17,-0.26,-1.13,0.70
150,39.88,28.28,87.48,-0.24,-1.12,0.67
160,40.34,26.41,86.49,-0.19,-1.09,0.64
170,41.24,24.28,86.24,-0.12,-1.06,0.59
180,42.67,21.60,86.61,-0.06,-1.04,0.55
190,43.67,19.29,86.83,-0.04,-1.03,0.50
200,44.31,17.82,87.39,-0.05,-1.02,0.44
210,45.15,17.62,88.14,-0.13,-1.02,0.39
220,45.39,18.58,89.20,-0.27,-1.05,0.35
230,45.61,20.25,90.21,-0.42,-1.09,0.32
240,45.73,21.33,90.01,-0.57,-1.13,0.29
250,46.34,21.68,88.57,-0.69,-1.16,0.27
260,46.82,22.47,87.12,-0.77,-1.19,0.25
270,47.03,22.34,84.85,-0.81,-1.21,0.23
280,47.06,20.49,82.72,-0.81,-1.20,0.19
290,47.32,18.88,81.74,-0.79,-1.19,0.14
300,47.32,18.60,81.34,-0.77,-1.17,0.07
310,47.39,18.62,80.13,-0.74,-1.16,0.01
320,47.56,19.19,78.01,-0.71,-1.15,-0.06
330,47.40,21.05,76.41,-0.68,-1.12,-0.11
340,47.71,22.58,75.33,-0.68,-1.10,-0.14
350,48.18,23.30,73.62,-0.72,-1.08,-0.14
360,48.48,22.25,72.12,-0.80,-1.07,-0.13
370,49.19,20.87,70.77,-0.90,-1.06,-0.12
380,49.29,19.04,69.42,-1.01,-1.05,-0.11
390,49.60,17.48,68.17,-1.10,-1.02,-0.13
400,49.89,15.97,65.66,-1.15,-1.00,-0.17
410,50.21,16.99,63.17,-1.16,-0.95,-0.24
420,50.82,19.36,61.34,-1.18,-0.90,-0.29
430,51.43,21.61,60.01,-1.19,-0.85,-0.32
440,51.77,22.67,59.16,-1.20,-0.80,-0.34
450,52.24,23.16,59.00,-1.18,-0.74,-0.35
460,52.62,22.94,60.02,-1.13,-0.68,-0.37
470,53.20,23.58,61.19,-1.09,-0.62,-0.40
480,53.11,24.71,61.75,-1.10,-0.59,-0.41
490,52.99,25.96,61.30,-1.15,-0.57,-0.40
