timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,38.22,35.05,97.51,0.29,-0.13,0.67
10,38.55,34.22,97.50,0.31,-0.14,0.67
20,39.60,33.19,98.00,0.33,-0.15,0.66
30,40.31,32.58,98.86,0.35,-0.17,0.64
40,41.23,31.74,99.82,0.38,-0.19,0.63
50,41.97,32.32,101.19,0.40,-0.21,0.61
60,42.84,33.79,102.53,0.40,-0.24,0.60
70,43.69,34.48,104.39,0.39,-0.27,0.61
80,44.21,34.04,105.63,0.37,-0.33,0.63
90,44.97,33.46,107.03,0.33,-0.38,0.63
100,45.26,33.09,107.91,0.28,-0.44,0.64
110,45.33,32.71,108.10,0.22,-0.51,0.64
120,45.21,32.41,107.22,0.16,-0.57,0.64
130,45.03,32.06,106.83,0.08,-0.63,0.65
140,44.79,30.92,105.77,0.03,-0.69,0.65
150,44.45,29.77,103.55,0.00,-0.74,0.65
160,43.99,29.00,100.47,0.00,-0.77,0.63
170,43.62,28.94,97.99,0.01,-0.78,0.61
180,43.46,28.68,96.23,-0.00,-0.79,0.60
190,43.71,28.69,94.54,-0.04,-0.80,0.60
200,43.79,28.83,93.82,-0.11,-0.82,0.60
210,43.46,28.55,93.29,-0.18,-0.85,0.61
220,43.37,27.33,92.32,-0.25,-0.87,0.61
230,43.35,25.63,91.05,-0.30,-0.88,0.61
240,43.34,24.04,89.85,-0.34,-0.89,0.60
250,43.40,22.53,88.59,-0.37,-0.89,0.57
260,43.30,21.45,86.72,-0.39,-0.89,0.54
270,43.84,21.47,84.89,-0.41,-0.88,0.51
280,44.22,20.91,82.54,-0.42,-0.87,0.48
290,44.25,20.47,80.35,-0.42,-0.85,0.45
300,44.90,20.09,78.49,-0.40,-0.82,0.43
310,45.66,19.19,77.92,-0.40,-0.79,0.40
320,46.30,18.36,77.19,-0.39,-0.75,0.38
330,47.09,17.10,76.91,-0.39,-0.72,0.36
340,47.72,14.65,78.21,-0.39,-0.69,0.32
350,48.57,12.75,79.41,-0.40,-0.66,0.26
360,49.73,13.79,79.61,-0.43,-0.65,0.21
370,50.23,16.07,80.23,-0.50,-0.66,0.17
380,50.26,17.01,80.12,-0.62,-0.67,0.17
390,50.57,17.82,78.81,-0.76,-0.69,0.17
400,50.50,18.49,77.16,-0.89,-0.70,0.18
410,50.91,16.81,76.21,-0.98,-0.69,0.18
420,51.08,14.72,75.00,-1.00,-0.68,0.16
430,51.14,13.34,72.21,-0.97,-0.66,0.11
440,50.81,12.60,70.06,-0.92,-0.62,0.06
450,50.73,12.51,69.52,-0.90,-0.57,0.02
460,50.93,12.55,69.05,-0.90,-0.54,-0.02
470,51.23,12.58,67.61,-0.88,-0.50,-0.06
480,52.25,12.93,66.65,-0.87,-0.45,-0.10
490,52.48,14.23,66.08,-0.88,-0.40,-0.12
500,52.62,14.85,64.78,-0.90,-0.37,-0.13
510,52.66,14.02,63.91,-0.92,-0.33,-0.13
520,52.44,12.22,62.92,-0.95,-0.29,-0.13
530,52.06,9.94,62.91,-0.96,-0.25,-0.16
540,51.92,7.55,62.57,-0.92,-0.20,-0.20
550,51.49,6.27,62.09,-0.86,-0.15,-0.26
560,51.11,5.63,62.09,-0.80,-0.09,-0.34
570,50.67,6.95,61.60,-0.75,-0.04,-0.41
580,50.33,8.21,61.28,-0.73,0.01,-0.46
590,49.89,10.24,61.47,-0.73,0.05,-0.51
600,49.35,12.71,61.40,-0.75,0.09,-0.54
610,48.86,14.50,61.95,-0.77,0.13,-0.55
620,48.30,15.77,62.72,-0.81,0.18,-0.56
630,47.94,16.36,63.93,-0.84,0.21,-0.55
640,47.76,16.08,64.94,-0.87,0.24,-0.54
650,47.60,14.78,64.84,-0.89,0.27,-0.55
660,47.77,13.62,64.95,-0.90,0.31,-0.58
670,47.46,14.06,64.33,-0.87,0.34,-0.63
680,47.78,15.93,64.05,-0.81,0.40,-0.68
690,47.71,18.61,65.06,-0.75,0.45,-0.73
700,47.31,21.44,65.92,-0.68,0.49,-0.76
710,46.85,24.41,66.12,-0.62,0.53,-0.78
720,46.21,28.08,66.65,-0.60,0.57,-0.79
730,45.73,31.61,68.76,-0.63,0.59,-0.77
740,45.21,33.83,70.71,-0.69,0.60,-0.72
750,44.76,33.75,71.35,-0.76,0.60,-0.67
760,44.06,33.07,70.27,-0.78,0.61,-0.63
770,43.44,32.65,68.78,-0.75,0.65,-0.62
780,44.00,33.39,68.48,-0.69,0.70,-0.62
790,44.80,34.36,69.06,-0.61,0.73,-0.61
800,45.78,34.16,69.20,-0.50,0.77,-0.60
810,46.51,32.95,70.23,-0.38,0.82,-0.59
820,47.44,31.79,72.98,-0.26,0.87,-0.60
830,48.12,31.36,77.00,-0.18,0.89,-0.61
840,49.21,31.25,80.63,-0.14,0.89,-0.62
850,49.75,32.11,83.69,-0.13,0.87,-0.61
860,49.85,32.45,86.05,-0.13,0.85,-0.59
870,49.80,32.27,87.88,-0.11,0.82,-0.58
880,49.63,33.01,88.90,-0.07,0.79,-0.59
890,49.02,34.61,88.81,0.01,0.78,-0.59
900,48.99,36.60,89.14,0.08,0.77,-0.59
910,49.36,38.79,89.15,0.12,0.74,-0.57
920,49.15,40.15,88.01,0.15,0.72,-0.55
930,48.93,41.98,85.79,0.17,0.71,-0.52
940,48.60,43.21,85.77,0.20,0.71,-0.49
950,48.91,44.52,87.13,0.24,0.70,-0.46
960,49.55,44.96,88.57,0.30,0.70,-0.42
970,50.23,44.15,90.19,0.37,0.69,-0.38
980,51.33,43.95,92.63,0.43,0.68,-0.34
990,51.56,44.21,94.66,0.47,0.65,-0.30
