timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,39.59,37.66,100.78,0.33,-0.02,0.63
10,39.53,36.03,99.38,0.35,-0.06,0.64
20,38.79,33.80,97.16,0.37,-0.09,0.64
30,38.55,33.19,96.12,0.41,-0.09,0.61
40,38.39,33.83,97.05,0.46,-0.10,0.58
50,37.87,35.52,97.14,0.50,-0.11,0.57
60,37.99,37.14,96.90,0.50,-0.12,0.57
70,38.39,39.43,98.08,0.46,-0.14,0.59
80,38.52,40.84,99.12,0.39,-0.18,0.62
90,38.73,41.43,99.42,0.31,-0.22,0.67
100,38.99,41.02,100.33,0.23,-0.26,0.70
110,39.46,39.74,101.21,0.17,-0.30,0.73
120,40.11,37.48,101.08,0.14,-0.35,0.75
130,40.84,36.03,100.97,0.12,-0.38,0.74
140,41.02,35.90,100.55,0.14,-0.41,0.73
150,41.71,35.15,100.17,0.19,-0.43,0.73
160,42.34,33.94,99.63,0.25,-0.45,0.72
170,42.73,32.61,98.32,0.29,-0.47,0.70
180,43.18,31.59,97.33,0.30,-0.50,0.70
190,43.13,30.50,96.46,0.26,-0.53,0.69
200,43.54,30.38,95.94,0.20,-0.55,0.68
210,44.09,30.70,95.83,0.13,-0.58,0.67
220,44.25,31.87,95.90,0.03,-0.62,0.67
230,44.41,33.52,96.09,-0.06,-0.66,0.67
240,44.58,33.59,95.99,-0.12,-0.70,0.68
250,44.70,33.14,95.10,-0.15,-0.73,0.69
260,44.97,31.60,93.19,-0.14,-0.76,0.69
270,45.33,29.81,91.53,-0.12,-0.77,0.68
280,45.90,27.80,91.38,-0.10,-0.78,0.65
290,46.38,26.38,90.71,-0.09,-0.79,0.62
300,46.45,24.99,89.70,-0.07,-0.80,0.59
310,46.88,23.91,88.74,-0.08,-0.81,0.56
320,46.85,23.31,87.91,-0.11,-0.82,0.53
330,47.06,23.40,87.31,-0.17,-0.84,0.50
340,47.35,24.17,86.66,-0.25,-0.86,0.48
350,48.13,24.43,86.26,-0.34,-0.88,0.47
360,48.48,23.74,85.51,-0.40,-0.90,0.45
370,48.27,22.62,84.76,-0.43,-0.91,0.43
380,47.66,21.74,83.27,-0.42,-0.91,0.39
390,48.09,21.64,82.59,-0.40,-0.90,0.34
400,48.37,22.26,81.60,-0.40,-0.90,0.31
410,49.05,21.73,80.05,-0.42,-0.90,0.29
420,49.17,20.61,78.14,-0.47,-0.90,0.27
430,49.85,19.28,76.39,-0.50,-0.89,0.24
440,50.86,18.16,74.84,-0.53,-0.87,0.21
450,51.87,16.99,73.87,-0.56,-0.85,0.17
460,52.49,16.06,74.05,-0.59,-0.83,0.13
470,53.19,15.66,74.39,-0.62,-0.82,0.08
480,52.92,15.91,74.38,-0.64,-0.81,0.03
490,53.24,17.09,74.10,-0.66,-0.80,-0.01
500,53.47,18.48,72.79,-0.69,-0.79,-0.05
510,53.33,19.38,70.72,-0.71,-0.78,-0.06
520,53.34,19.57,69.11,-0.75,-0.76,-0.07
530,53.32,19.38,68.29,-0.78,-0.73,-0.08
540,53.34,17.63,67.75,-0.79,-0.71,-0.09
550,53.44,15.72,67.34,-0.80,-0.68,-0.11
560,53.49,14.71,66.88,-0.80,-0.65,-0.15
570,53.77,14.24,65.99,-0.81,-0.61,-0.19
580,53.63,14.36,65.52,-0.85,-0.59,-0.23
590,53.78,14.67,64.20,-0.88,-0.56,-0.27
600,54.46,15.07,63.23,-0.90,-0.52,-0.31
610,54.92,16.05,62.51,-0.91,-0.48,-0.35
620,54.95,17.60,61.96,-0.91,-0.44,-0.38
630,55.26,19.08,61.96,-0.92,-0.40,-0.39
640,56.04,19.11,62.56,-0.94,-0.36,-0.38
650,56.57,18.48,62.82,-0.95,-0.34,-0.39
660,56.66,17.50,62.55,-0.98,-0.31,-0.40
670,57.00,16.35,63.23,-0.99,-0.27,-0.42
680,57.22,15.93,64.61,-0.99,-0.24,-0.45
690,57.09,16.61,65.20,-0.99,-0.22,-0.49
700,57.01,18.03,64.91,-0.98,-0.19,-0.53
710,56.85,19.77,64.94,-0.98,-0.17,-0.54
720,56.54,20.38,63.91,-0.98,-0.16,-0.55
730,56.08,19.71,62.41,-0.98,-0.13,-0.55
740,55.25,18.89,60.95,-0.97,-0.10,-0.56
750,54.67,18.28,59.19,-0.97,-0.05,-0.58
760,54.74,17.82,58.65,-0.97,-0.01,-0.61
770,54.95,18.03,58.47,-0.97,0.04,-0.65
780,55.02,19.39,59.01,-0.96,0.08,-0.70
790,54.60,21.35,59.37,-0.95,0.11,-0.74
800,53.47,22.65,58.94,-0.94,0.14,-0.76
810,52.66,23.55,58.35,-0.92,0.18,-0.79
820,51.76,25.01,57.92,-0.92,0.22,-0.81
830,50.60,25.99,57.37,-0.94,0.26,-0.81
840,49.85,26.27,56.76,-0.96,0.30,-0.80
850,49.87,25.46,56.16,-0.99,0.35,-0.80
860,49.56,25.96,55.43,-1.00,0.40,-0.82
870,50.29,28.01,55.14,-0.99,0.46,-0.83
880,50.97,29.27,54.66,-0.95,0.52,-0.84
890,52.24,30.58,55.55,-0.88,0.59,-0.86
900,53.09,31.57,57.08,-0.77,0.65,-0.88
910,53.65,32.41,58.72,-0.65,0.70,-0.89
920,53.63,32.95,60.55,-0.53,0.75,-0.90
930,53.49,33.27,62.77,-0.43,0.79,-0.89
940,52.55,33.09,64.67,-0.40,0.81,-0.88
950,51.48,32.34,65.12,-0.41,0.82,-0.87
960,50.95,31.47,65.32,-0.41,0.86,-0.89
970,50.19,33.20,66.00,-0.42,0.88,-0.93
980,49.78,38.96,66.81,-0.43,0.90,-0.96
990,49.54,45.53,66.42,-0.39,0.93,-0.96
