timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,36.19,30.46,108.52,0.41,-0.17,0.92
10,36.91,29.84,107.97,0.36,-0.22,0.93
20,37.61,29.31,106.76,0.32,-0.27,0.93
30,38.33,28.21,106.78,0.27,-0.32,0.94
40,39.07,26.84,106.90,0.26,-0.36,0.93
50,39.42,25.40,107.87,0.25,-0.40,0.92
60,40.15,23.53,109.41,0.26,-0.44,0.89
70,40.40,22.25,109.30,0.25,-0.50,0.87
80,40.51,21.73,107.95,0.22,-0.55,0.83
90,40.30,21.91,106.14,0.19,-0.59,0.81
100,40.61,22.32,105.53,0.15,-0.63,0.80
110,40.98,22.62,103.94,0.11,-0.67,0.78
120,41.25,23.13,102.47,0.08,-0.70,0.76
130,41.56,22.82,101.46,0.05,-0.73,0.76
140,41.85,21.47,99.89,0.02,-0.76,0.74
150,41.76,20.07,98.98,-0.01,-0.78,0.71
160,41.90,19.71,98.49,-0.03,-0.79,0.67
170,42.57,20.44,98.45,-0.03,-0.81,0.63
180,42.84,22.09,97.49,-0.03,-0.83,0.60
190,42.66,23.03,95.67,-0.05,-0.85,0.60
200,42.86,22.60,93.75,-0.07,-0.87,0.60
210,43.52,20.81,92.25,-0.09,-0.88,0.58
220,43.69,20.06,91.71,-0.13,-0.88,0.55
230,44.23,20.72,91.39,-0.17,-0.89,0.52
240,44.68,22.26,91.16,-0.22,-0.90,0.51
250,45.12,22.54,90.39,-0.26,-0.92,0.52
260,46.01,19.93,89.61,-0.29,-0.92,0.53
270,46.63,16.18,88.63,-0.30,-0.93,0.50
280,47.40,14.02,88.29,-0.29,-0.92,0.46
290,48.34,13.31,87.05,-0.26,-0.92,0.41
300,48.92,13.18,86.14,-0.24,-0.90,0.37
310,49.56,12.91,86.41,-0.24,-0.90,0.33
320,49.94,11.32,86.61,-0.26,-0.90,0.29
330,50.90,10.53,86.22,-0.30,-0.91,0.25
340,51.51,10.77,86.61,-0.36,-0.92,0.21
350,51.92,11.21,86.95,-0.45,-0.94,0.19
360,52.55,10.96,86.67,-0.57,-0.97,0.18
370,52.57,9.05,84.99,-0.67,-1.00,0.16
380,52.31,7.16,83.02,-0.73,-1.01,0.11
390,52.49,6.10,81.28,-0.74,-1.00,0.05
400,52.62,6.69,80.25,-0.74,-0.99,-0.02
410,52.55,8.58,79.78,-0.73,-0.98,-0.09
420,52.31,10.38,78.56,-0.75,-0.99,-0.13
