timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,38.90,28.97,113.35,0.28,-0.24,0.78
10,38.62,29.81,112.46,0.25,-0.31,0.76
20,38.15,30.78,112.11,0.21,-0.38,0.75
30,38.11,31.99,110.74,0.17,-0.44,0.73
40,37.63,33.45,110.28,0.16,-0.50,0.73
50,37.44,34.58,109.76,0.17,-0.54,0.73
60,37.65,34.73,109.46,0.19,-0.58,0.75
70,38.11,32.23,109.01,0.20,-0.62,0.76
80,38.14,28.89,108.61,0.22,-0.67,0.75
90,38.25,26.38,107.52,0.24,-0.71,0.72
100,38.98,25.77,106.61,0.27,-0.73,0.66
110,39.14,25.69,107.38,0.29,-0.76,0.62
120,38.67,26.67,106.03,0.29,-0.81,0.58
130,38.33,28.68,104.14,0.26,-0.83,0.54
140,38.27,30.85,104.96,0.19,-0.88,0.54
150,38.07,32.39,104.28,0.09,-0.95,0.56
160,37.30,33.00,99.95,0.00,-0.99,0.57
170,36.89,31.15,99.29,-0.04,-1.01,0.60
180,36.74,27.96,97.43,-0.04,-1.04,0.60
190,36.91,25.66,95.28,0.01,-1.03,0.57
200,37.48,24.05,95.03,0.04,-1.02,0.52
210,38.29,23.07,94.66,0.06,-1.03,0.48
220,39.02,22.12,92.84,0.07,-1.04,0.44
230,39.53,20.92,91.45,0.06,-1.04,0.42
240,40.44,19.02,90.86,0.02,-1.04,0.38
250,41.31,17.61,91.33,-0.04,-1.05,0.34
260,42.71,17.75,91.27,-0.10,-1.05,0.30
270,43.40,19.12,90.63,-0.15,-1.07,0.26
280,44.23,19.77,90.30,-0.20,-1.08,0.24
290,45.35,19.25,89.49,-0.22,-1.09,0.23
300,46.39,18.50,89.53,-0.22,-1.09,0.21
310,47.02,17.70,89.02,-0.21,-1.08,0.17
320,47.78,17.06,88.46,-0.18,-1.08,0.13
330,48.34,15.87,88.68,-0.15,-1.07,0.08
340,49.32,15.71,88.05,-0.16,-1.07,0.03
350,49.73,16.47,87.35,-0.21,-1.08,-0.01
360,50.36,18.07,86.90,-0.32,-1.10,-0.04
370,50.52,19.59,86.02,-0.45,-1.13,-0.05
380,50.76,21.08,84.98,-0.58,-1.15,-0.06
390,51.06,21.92,84.18,-0.68,-1.17,-0.06
400,51.16,22.00,83.33,-0.74,-1.18,-0.06
410,51.62,21.08,82.33,-0.78,-1.19,-0.07
420,51.78,20.17,80.11,-0.80,-1.20,-0.09
430,51.76,19.80,77.49,-0.83,-1.19,-0.12
440,51.98,20.54,75.09,-0.86,-1.17,-0.16
450,52.35,21.95,73.50,-0.89,-1.16,-0.18
460,52.63,22.73,72.37,-0.92,-1.14,-0.20
470,53.05,23.61,70.57,-0.94,-1.12,-0.21
480,53.49,23.44,69.46,-0.97,-1.10,-0.21
490,53.61,21.88,68.01,-0.99,-1.08,-0.21
500,53.86,20.61,66.66,-1.00,-1.05,-0.23
510,54.40,19.75,64.94,-1.00,-1.02,-0.25
520,54.66,19.46,63.14,-1.02,-0.99,-0.28
530,54.73,19.69,61.56,-1.05,-0.97,-0.31
540,54.57,20.54,59.99,-1.09,-0.93,-0.33
550,54.60,22.06,59.11,-1.13,-0.89,-0.35
560,54.26,24.11,58.04,-1.17,-0.86,-0.36
570,53.99,25.23,56.60,-1.21,-0.82,-0.36
580,53.83,25.09,54.89,-1.22,-0.78,-0.35
590,53.73,24.79,54.08,-1.21,-0.72,-0.35
600,53.47,24.02,52.86,-1.19,-0.67,-0.36
610,53.41,23.39,51.69,-1.16,-0.60,-0.37
620,53.54,22.33,50.74,-1.15,-0.54,-0.38
630,53.41,21.95,49.02,-1.17,-0.48,-0.40
640,53.47,20.85,48.12,-1.19,-0.42,-0.42
650,53.87,20.13,47.13,-1.21,-0.35,-0.45
660,54.47,20.29,46.90,-1.22,-0.28,-0.48
670,55.19,20.96,47.45,-1.20,-0.19,-0.51
680,55.96,21.30,47.82,-1.18,-0.12,-0.54
690,56.14,21.86,47.40,-1.16,-0.06,-0.56
700,56.34,21.98,47.19,-1.14,0.00,-0.58
710,56.60,22.01,46.93,-1.13,0.07,-0.60
720,56.91,22.06,47.23,-1.14,0.14,-0.62
730,57.12,21.98,47.44,-1.15,0.20,-0.64
740,56.87,22.66,47.45,-1.15,0.26,-0.67
750,56.81,24.56,48.17,-1.14,0.32,-0.69
760,56.13,27.01,47.74,-1.13,0.38,-0.71
770,54.88,29.74,46.47,-1.13,0.45,-0.71
780,53.77,32.37,44.79,-1.14,0.52,-0.70
790,52.96,34.68,44.08,-1.15,0.59,-0.67
800,52.84,36.22,45.01,-1.14,0.68,-0.64
810,53.02,36.46,46.03,-1.11,0.77,-0.60
820,52.53,36.18,47.69,-1.06,0.85,-0.57
830,53.02,35.27,50.34,-0.99,0.93,-0.55
840,53.10,32.50,54.01,-0.88,1.00,-0.54
850,53.41,30.58,55.99,-0.76,1.07,-0.56
860,52.96,30.85,57.75,-0.65,1.14,-0.59
870,52.91,32.33,59.65,-0.61,1.18,-0.60
880,52.97,33.54,60.71,-0.62,1.21,-0.58
890,53.26,33.63,62.35,-0.65,1.24,-0.54
900,53.86,32.17,63.89,-0.69,1.26,-0.49
910,54.13,30.51,64.93,-0.71,1.28,-0.45
920,53.72,28.66,67.14,-0.68,1.31,-0.45
930,53.13,26.77,70.48,-0.59,1.35,-0.47
940,52.38,26.60,73.07,-0.47,1.38,-0.53
950,51.14,30.52,75.00,-0.31,1.42,-0.60
960,50.06,37.77,76.89,-0.17,1.45,-0.65
970,49.29,46.10,79.07,-0.09,1.46,-0.64
980,49.14,52.87,81.13,-0.06,1.46,-0.57
990,49.69,55.46,83.36,-0.03,1.44,-0.45
