timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,34.35,40.74,108.63,0.52,0.15,0.64
10,34.63,42.10,110.23,0.44,0.09,0.70
20,35.27,41.82,110.77,0.36,0.00,0.76
30,35.05,39.50,109.82,0.31,-0.07,0.81
40,35.32,36.99,108.37,0.31,-0.13,0.83
50,35.31,35.55,107.29,0.34,-0.18,0.83
60,35.23,36.04,106.95,0.38,-0.21,0.81
70,35.51,35.96,106.67,0.41,-0.25,0.81
80,35.74,34.97,105.88,0.43,-0.29,0.81
90,36.09,33.58,105.41,0.43,-0.33,0.82
100,36.36,32.79,105.27,0.40,-0.37,0.82
110,36.49,32.26,104.86,0.36,-0.42,0.81
120,36.42,33.27,104.42,0.32,-0.46,0.80
130,36.60,33.93,104.95,0.27,-0.50,0.81
140,36.42,33.86,105.22,0.22,-0.55,0.82
150,37.10,32.89,104.82,0.19,-0.60,0.83
160,37.31,31.85,104.09,0.17,-0.63,0.83
170,37.86,31.06,103.45,0.16,-0.66,0.82
180,38.28,30.37,103.19,0.15,-0.69,0.81
190,38.85,29.75,102.66,0.14,-0.72,0.79
200,39.33,29.38,102.11,0.11,-0.75,0.78
210,39.75,28.82,101.83,0.08,-0.78,0.78
220,39.62,27.26,100.80,0.06,-0.81,0.77
230,39.98,26.11,99.96,0.04,-0.84,0.75
240,40.36,25.46,99.39,0.01,-0.87,0.73
250,40.10,24.71,98.07,-0.02,-0.90,0.71
260,40.43,24.02,96.89,-0.06,-0.92,0.69
270,40.90,23.40,95.84,-0.10,-0.93,0.67
280,41.42,22.65,94.77,-0.14,-0.95,0.65
290,41.46,21.65,93.63,-0.17,-0.97,0.62
300,41.93,20.71,92.99,-0.17,-0.97,0.59
310,42.47,19.69,92.68,-0.16,-0.97,0.55
320,42.72,19.14,91.55,-0.15,-0.98,0.50
330,42.97,19.11,90.76,-0.16,-0.98,0.47
340,43.17,19.19,89.95,-0.20,-0.99,0.44
350,43.33,18.75,89.65,-0.26,-1.01,0.41
360,43.44,17.57,87.73,-0.32,-1.02,0.39
370,43.59,16.76,86.39,-0.36,-1.02,0.35
380,44.25,16.22,86.09,-0.39,-1.01,0.31
390,45.03,15.86,85.86,-0.41,-1.01,0.28
400,45.46,14.73,84.71,-0.44,-1.02,0.24
410,45.74,13.62,84.03,-0.48,-1.02,0.20
420,45.83,12.01,82.15,-0.54,-1.02,0.15
430,46.14,11.61,80.09,-0.59,-1.02,0.08
440,46.30,13.10,77.88,-0.63,-1.01,0.02
450,46.56,14.47,76.78,-0.67,-0.99,-0.02
460,47.15,14.78,75.56,-0.69,-0.97,-0.05
470,47.79,14.45,74.86,-0.70,-0.95,-0.08
480,48.36,14.02,74.76,-0.72,-0.92,-0.12
490,48.57,12.66,74.02,-0.74,-0.91,-0.16
500,49.07,11.41,72.74,-0.77,-0.89,-0.21
510,48.84,11.46,71.88,-0.82,-0.86,-0.26
520,49.18,12.57,71.61,-0.86,-0.84,-0.32
530,49.54,14.44,70.41,-0.89,-0.82,-0.36
540,49.59,16.00,69.57,-0.90,-0.79,-0.40
550,49.92,16.83,68.78,-0.91,-0.76,-0.42
560,50.66,17.10,67.76,-0.91,-0.73,-0.45
570,50.95,18.40,66.67,-0.92,-0.70,-0.47
580,51.11,19.43,65.22,-0.94,-0.66,-0.49
590,51.37,19.73,64.19,-0.96,-0.63,-0.50
600,51.51,19.78,63.02,-0.97,-0.58,-0.52
610,51.49,19.68,61.87,-0.98,-0.53,-0.53
620,51.62,19.26,61.63,-1.00,-0.49,-0.54
630,52.11,18.85,61.54,-1.02,-0.44,-0.56
640,52.64,18.76,61.40,-1.05,-0.40,-0.58
650,53.37,18.90,60.90,-1.07,-0.36,-0.60
660,54.04,20.09,60.18,-1.08,-0.32,-0.62
670,54.28,21.60,59.58,-1.08,-0.27,-0.64
680,54.78,22.82,59.59,-1.07,-0.22,-0.65
690,55.09,23.29,60.66,-1.04,-0.17,-0.66
700,55.70,23.64,62.62,-1.02,-0.13,-0.67
710,56.06,24.64,63.25,-1.02,-0.10,-0.67
720,56.31,25.38,63.24,-1.03,-0.07,-0.66
730,56.26,24.38,63.35,-1.05,-0.04,-0.66
740,55.79,22.56,62.56,-1.06,-0.02,-0.67
750,54.86,22.01,60.74,-1.05,0.01,-0.70
760,54.54,22.61,59.79,-1.02,0.07,-0.74
770,54.78,24.95,60.04,-0.99,0.12,-0.77
780,54.96,26.92,60.98,-0.95,0.17,-0.77
790,55.25,26.93,62.20,-0.91,0.22,-0.77
800,55.05,26.67,62.79,-0.89,0.25,-0.78
810,55.11,26.64,62.71,-0.87,0.29,-0.79
820,54.54,27.49,62.84,-0.85,0.32,-0.81
830,54.34,29.09,62.64,-0.83,0.35,-0.83
840,53.79,31.37,62.49,-0.80,0.39,-0.84
850,53.16,33.67,62.20,-0.77,0.43,-0.83
860,52.65,36.08,62.28,-0.74,0.46,-0.82
870,52.37,37.88,62.06,-0.71,0.50,-0.80
880,52.08,38.51,61.88,-0.67,0.54,-0.76
890,52.28,38.46,62.47,-0.62,0.59,-0.73
900,52.43,37.48,63.50,-0.57,0.63,-0.70
910,52.66,36.49,64.99,-0.52,0.66,-0.68
920,52.80,35.90,65.96,-0.48,0.69,-0.68
930,52.80,36.16,67.27,-0.43,0.72,-0.68
940,52.84,36.69,67.73,-0.39,0.74,-0.68
950,52.49,38.19,68.05,-0.34,0.77,-0.69
960,51.63,40.52,67.82,-0.30,0.79,-0.68
970,50.77,43.74,66.77,-0.26,0.82,-0.67
980,50.30,47.33,66.60,-0.24,0.85,-0.62
990,51.21,48.36,69.32,-0.20,0.89,-0.55
