timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,54.00,65.47,92.77,1.03,0.83,0.68
10,55.50,62.71,96.71,1.12,0.79,0.77
20,57.37,58.64,100.35,1.19,0.75,0.85
30,59.05,55.13,103.93,1.22,0.68,0.90
40,60.44,53.13,107.15,1.23,0.62,0.92
50,61.42,52.63,110.43,1.21,0.54,0.96
60,62.55,52.45,113.57,1.18,0.45,1.00
70,62.78,53.47,116.50,1.14,0.34,1.05
80,63.01,53.44,119.72,1.10,0.23,1.11
90,63.24,51.82,122.98,1.08,0.11,1.20
100,63.16,48.77,124.69,1.09,-0.03,1.28
110,62.69,44.20,124.92,1.11,-0.15,1.35
120,61.90,38.67,124.00,1.12,-0.26,1.40
130,61.93,33.61,122.61,1.08,-0.35,1.42
140,61.37,30.18,121.66,1.02,-0.46,1.43
150,60.52,27.87,120.26,0.92,-0.56,1.42
160,59.81,26.20,118.17,0.81,-0.66,1.43
170,59.21,24.20,115.47,0.70,-0.76,1.44
180,58.30,20.71,112.25,0.58,-0.86,1.44
190,57.32,18.01,108.87,0.48,-0.94,1.42
200,56.57,14.69,105.60,0.41,-1.00,1.39
210,55.59,11.22,103.31,0.38,-1.07,1.32
220,54.62,8.84,99.46,0.39,-1.11,1.23
230,53.73,8.11,95.55,0.40,-1.12,1.14
240,52.90,7.56,92.53,0.40,-1.11,1.05
250,53.03,6.68,89.69,0.35,-1.11,0.96
260,52.21,6.81,86.94,0.26,-1.10,0.87
270,52.37,8.50,85.41,0.13,-1.09,0.80
280,52.99,9.83,85.19,-0.03,-1.08,0.74
290,53.68,11.58,85.75,-0.21,-1.09,0.69
300,54.41,14.09,86.68,-0.37,-1.11,0.67
310,54.91,15.57,86.50,-0.51,-1.15,0.66
320,55.28,15.81,86.06,-0.60,-1.18,0.66
330,55.49,13.76,84.27,-0.61,-1.22,0.67
340,55.35,9.92,81.07,-0.58,-1.23,0.65
350,55.58,4.92,77.30,-0.55,-1.23,0.60
360,55.99,1.06,73.87,-0.56,-1.20,0.52
370,56.56,-0.63,70.81,-0.63,-1.18,0.41
380,56.63,-0.59,69.01,-0.76,-1.14,0.31
390,57.14,1.40,67.89,-0.92,-1.12,0.22
400,57.47,5.49,67.61,-1.07,-1.10,0.15
410,57.59,8.82,68.36,-1.20,-1.07,0.12
420,58.04,11.19,68.17,-1.30,-1.06,0.12
430,58.52,11.83,67.55,-1.35,-1.05,0.12
440,58.38,10.80,66.60,-1.34,-1.04,0.12
450,58.10,9.60,64.86,-1.29,-1.01,0.10
460,58.46,7.09,63.05,-1.22,-0.97,0.06
470,58.15,4.24,59.88,-1.15,-0.92,-0.01
480,57.63,2.85,56.84,-1.11,-0.86,-0.09
490,57.39,2.11,55.05,-1.11,-0.79,-0.17
500,57.76,1.43,54.81,-1.15,-0.74,-0.26
510,57.69,2.70,54.14,-1.23,-0.70,-0.33
520,57.24,4.81,52.90,-1.35,-0.66,-0.37
530,57.25,6.56,51.21,-1.46,-0.62,-0.38
540,57.34,7.61,49.73,-1.56,-0.57,-0.39
550,57.63,8.45,48.21,-1.63,-0.52,-0.38
560,58.01,7.44,47.02,-1.62,-0.45,-0.38
570,58.39,5.35,47.11,-1.56,-0.37,-0.41
580,58.73,3.45,49.61,-1.48,-0.29,-0.45
590,59.33,1.93,50.05,-1.44,-0.31,-0.50
600,59.46,0.34,49.46,-1.38,-0.24,-0.57
610,58.97,2.31,49.48,-1.40,-0.15,-0.66
620,58.39,4.50,50.21,-1.48,-0.11,-0.70
630,58.26,7.22,47.90,-1.60,-0.09,-0.74
640,57.51,10.06,45.15,-1.73,-0.04,-0.75
650,56.83,11.01,43.44,-1.85,0.00,-0.75
660,56.37,11.49,42.34,-1.89,0.05,-0.75
670,56.39,11.26,40.09,-1.86,0.13,-0.77
680,56.40,11.31,38.82,-1.79,0.22,-0.80
690,56.76,12.47,38.82,-1.69,0.31,-0.83
700,56.70,12.96,38.54,-1.61,0.38,-0.86
710,56.14,11.90,37.75,-1.54,0.47,-0.89
720,55.97,10.50,37.77,-1.48,0.57,-0.94
730,55.89,11.47,39.57,-1.43,0.67,-1.02
740,55.33,14.46,42.99,-1.40,0.77,-1.09
750,55.86,18.49,46.64,-1.36,0.84,-1.14
760,56.36,22.63,49.39,-1.31,0.90,-1.17
770,57.10,26.70,51.07,-1.25,0.94,-1.17
780,57.36,30.09,51.74,-1.19,0.97,-1.17
790,57.45,32.60,50.76,-1.10,1.01,-1.16
800,57.25,35.27,49.76,-1.02,1.07,-1.15
810,56.71,38.74,49.54,-0.95,1.12,-1.13
820,56.71,41.48,50.21,-0.89,1.18,-1.07
830,56.57,41.83,50.49,-0.84,1.22,-1.00
840,56.13,40.71,51.83,-0.75,1.28,-0.95
850,56.21,40.21,53.97,-0.63,1.34,-0.93
860,56.67,41.22,56.98,-0.48,1.41,-0.93
870,56.48,43.64,60.83,-0.35,1.46,-0.91
880,56.58,45.85,64.72,-0.26,1.49,-0.88
890,56.58,47.93,67.40,-0.19,1.50,-0.84
900,56.22,49.29,68.63,-0.14,1.49,-0.80
910,55.73,52.17,68.66,-0.09,1.49,-0.77
920,55.47,55.22,68.07,-0.03,1.50,-0.71
930,55.69,57.49,68.56,0.05,1.53,-0.65
940,54.20,59.48,71.12,0.13,1.56,-0.59
950,55.40,64.19,72.82,0.22,1.56,-0.54
960,54.11,67.56,75.45,0.31,1.57,-0.45
970,53.54,70.01,75.98,0.39,1.55,-0.34
980,53.41,70.36,78.00,0.49,1.57,-0.21
990,52.98,68.15,82.32,0.62,1.58,-0.07
