timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,38.02,51.09,110.76,0.91,0.33,0.93
10,38.01,49.63,114.54,0.94,0.27,1.02
20,38.34,45.66,117.28,0.95,0.20,1.10
30,38.72,38.78,119.30,0.92,0.13,1.13
40,39.82,32.37,120.60,0.86,0.05,1.10
50,40.84,29.75,121.25,0.78,-0.04,1.02
60,41.46,31.77,120.57,0.67,-0.14,0.96
70,41.48,36.12,119.23,0.55,-0.24,0.95
80,41.24,40.47,117.92,0.44,-0.34,0.99
90,41.76,42.04,118.37,0.34,-0.43,1.07
100,40.82,41.84,118.86,0.29,-0.53,1.15
110,40.00,39.49,117.81,0.27,-0.62,1.22
120,39.41,35.07,115.65,0.28,-0.70,1.27
130,39.28,29.77,113.06,0.29,-0.76,1.26
140,39.20,25.80,110.53,0.34,-0.80,1.21
150,39.71,22.95,109.25,0.42,-0.81,1.12
160,41.26,21.81,109.94,0.51,-0.82,1.01
170,42.49,24.20,110.36,0.55,-0.84,0.91
180,43.52,28.15,110.60,0.53,-0.88,0.88
190,43.40,30.41,110.19,0.45,-0.94,0.89
200,43.47,30.53,109.74,0.32,-1.02,0.94
210,42.78,28.30,107.96,0.20,-1.11,0.98
220,42.02,24.39,103.60,0.13,-1.17,0.98
230,41.39,21.24,99.14,0.09,-1.20,0.95
240,40.70,19.89,95.89,0.05,-1.21,0.91
250,40.99,18.63,94.46,0.02,-1.20,0.86
260,42.24,16.87,93.83,-0.01,-1.20,0.81
270,43.28,15.04,93.14,-0.05,-1.22,0.75
280,44.65,12.68,91.98,-0.07,-1.21,0.69
290,45.12,12.26,91.64,-0.13,-1.24,0.64
300,45.51,11.63,89.85,-0.20,-1.27,0.58
310,45.30,11.15,86.67,-0.26,-1.28,0.52
320,45.83,10.98,83.97,-0.36,-1.27,0.47
330,46.14,10.72,81.71,-0.46,-1.28,0.42
340,46.95,12.06,79.17,-0.55,-1.27,0.36
350,47.69,13.88,80.59,-0.64,-1.28,0.32
360,48.11,14.18,78.64,-0.70,-1.30,0.29
370,48.07,13.88,74.46,-0.74,-1.29,0.26
380,48.10,13.03,71.49,-0.76,-1.26,0.23
390,48.75,12.56,70.06,-0.78,-1.22,0.18
400,49.66,13.18,68.83,-0.78,-1.19,0.14
410,51.03,13.14,69.02,-0.78,-1.14,0.12
420,52.11,11.87,69.70,-0.80,-1.11,0.10
430,52.55,9.69,69.67,-0.86,-1.10,0.06
440,52.90,8.97,68.72,-0.94,-1.09,0.00
450,52.90,9.36,67.47,-1.03,-1.08,-0.06
460,52.75,10.61,65.84,-1.12,-1.07,-0.13
470,52.73,12.67,64.41,-1.20,-1.05,-0.17
480,53.26,13.83,64.36,-1.25,-1.02,-0.21
490,53.87,14.47,64.31,-1.27,-0.99,-0.24
500,53.25,15.58,62.95,-1.26,-0.97,-0.28
510,53.05,16.42,59.81,-1.22,-0.92,-0.32
520,52.82,16.92,56.33,-1.18,-0.86,-0.37
530,52.70,17.90,53.58,-1.16,-0.80,-0.42
540,53.59,19.93,53.49,-1.14,-0.73,-0.46
550,54.89,20.80,55.28,-1.13,-0.68,-0.48
560,55.60,19.45,55.89,-1.12,-0.64,-0.49
570,56.28,18.25,56.64,-1.13,-0.60,-0.52
580,56.77,17.76,56.34,-1.16,-0.57,-0.54
590,57.34,17.00,56.09,-1.19,-0.55,-0.57
600,57.48,16.01,56.09,-1.22,-0.53,-0.61
610,56.87,16.29,55.61,-1.24,-0.50,-0.66
620,56.80,17.52,55.04,-1.26,-0.46,-0.70
630,57.20,19.29,55.32,-1.28,-0.44,-0.73
640,57.52,20.81,54.55,-1.26,-0.41,-0.75
650,57.02,22.35,53.22,-1.22,-0.37,-0.77
660,56.26,23.83,51.81,-1.20,-0.32,-0.77
670,55.56,23.26,50.69,-1.19,-0.27,-0.76
680,55.19,20.87,50.44,-1.21,-0.22,-0.77
690,54.74,19.53,49.67,-1.28,-0.18,-0.79
700,53.91,18.74,48.19,-1.37,-0.15,-0.82
710,53.57,17.94,47.69,-1.43,-0.09,-0.85
720,53.83,17.86,48.14,-1.44,-0.04,-0.91
730,53.66,19.19,47.87,-1.39,0.02,-0.96
740,53.66,21.20,46.76,-1.29,0.11,-1.00
750,52.76,21.46,47.05,-1.21,0.18,-1.03
760,51.83,22.62,46.71,-1.18,0.24,-1.06
770,50.91,24.10,46.54,-1.17,0.30,-1.09
780,49.47,27.35,46.45,-1.15,0.36,-1.13
790,48.10,31.73,46.07,-1.13,0.43,-1.15
800,46.61,35.62,45.41,-1.10,0.49,-1.14
810,45.53,36.87,44.60,-1.08,0.57,-1.12
820,44.52,37.03,44.82,-1.05,0.66,-1.09
830,44.21,35.68,44.90,-1.03,0.74,-1.08
840,44.28,34.31,45.21,-0.99,0.83,-1.08
850,44.47,34.71,46.69,-0.96,0.91,-1.10
860,45.15,35.54,48.12,-0.91,0.98,-1.10
870,45.66,34.77,50.29,-0.86,1.05,-1.09
880,45.61,32.05,52.91,-0.81,1.11,-1.10
890,45.95,29.83,54.75,-0.76,1.17,-1.13
900,45.67,29.22,55.76,-0.71,1.21,-1.19
910,44.25,31.03,56.67,-0.68,1.27,-1.24
920,42.96,35.31,58.05,-0.67,1.32,-1.28
930,41.96,40.99,60.36,-0.69,1.36,-1.28
940,42.18,46.65,62.92,-0.72,1.39,-1.25
950,42.94,50.55,65.96,-0.74,1.43,-1.19
960,44.54,51.43,71.15,-0.68,1.47,-1.12
970,46.09,51.22,76.62,-0.60,1.49,-1.07
980,45.90,51.49,80.28,-0.51,1.47,-1.04
990,45.35,52.21,80.20,-0.41,1.46,-1.01
