timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,35.78,33.12,109.30,0.52,0.20,0.95
10,36.10,32.72,109.88,0.52,0.15,0.93
20,36.84,32.71,111.70,0.52,0.10,0.92
30,37.46,32.80,113.43,0.50,0.04,0.92
40,38.17,32.74,114.68,0.49,-0.03,0.92
50,38.22,32.27,115.74,0.50,-0.10,0.93
60,38.20,32.10,116.13,0.50,-0.17,0.92
70,38.21,32.87,115.70,0.51,-0.23,0.92
80,38.31,33.05,115.90,0.50,-0.30,0.94
90,38.39,31.81,115.94,0.45,-0.37,0.96
100,37.80,29.75,115.21,0.39,-0.46,0.98
110,37.94,27.29,113.99,0.33,-0.53,0.97
120,37.84,25.63,111.20,0.28,-0.60,0.95
130,38.09,26.18,107.55,0.24,-0.64,0.91
140,38.32,27.46,105.52,0.22,-0.67,0.89
150,38.59,28.15,104.48,0.21,-0.71,0.88
160,38.42,28.09,103.70,0.20,-0.74,0.87
170,38.47,27.94,102.65,0.20,-0.76,0.85
180,38.33,28.41,102.92,0.18,-0.79,0.84
190,38.00,28.84,102.51,0.13,-0.82,0.84
200,37.59,28.91,101.49,0.08,-0.86,0.84
210,37.93,28.10,100.33,0.04,-0.88,0.84
220,39.32,26.36,99.45,0.02,-0.89,0.85
230,39.95,24.32,98.07,-0.01,-0.92,0.84
240,40.64,22.11,96.58,-0.04,-0.94,0.83
250,41.41,20.49,95.13,-0.08,-0.95,0.80
260,41.90,18.74,93.82,-0.11,-0.96,0.77
270,42.72,18.04,93.02,-0.12,-0.97,0.72
280,42.76,18.18,92.10,-0.14,-0.97,0.68
290,43.42,18.74,91.38,-0.16,-0.97,0.65
300,43.79,19.59,91.13,-0.20,-0.97,0.63
310,44.12,20.26,91.11,-0.25,-0.98,0.61
320,44.73,19.76,90.62,-0.28,-0.99,0.60
330,45.28,18.30,89.82,-0.31,-1.00,0.58
340,45.62,17.69,89.01,-0.35,-1.00,0.54
350,46.37,18.03,88.95,-0.40,-1.00,0.50
360,46.52,18.60,88.77,-0.44,-1.01,0.47
370,47.20,18.24,87.88,-0.45,-1.02,0.45
380,48.03,17.08,86.81,-0.44,-1.02,0.42
390,48.95,15.99,85.57,-0.43,-1.02,0.38
400,49.40,15.28,84.18,-0.44,-1.01,0.35
410,50.26,14.03,83.35,-0.46,-1.01,0.31
420,51.36,12.76,83.27,-0.49,-1.01,0.28
430,52.30,11.35,82.35,-0.54,-1.01,0.23
440,52.63,10.75,81.81,-0.61,-1.01,0.19
450,53.59,10.12,82.67,-0.68,-1.02,0.14
460,54.47,10.54,83.02,-0.73,-1.04,0.10
470,54.80,11.34,82.15,-0.77,-1.06,0.05
480,54.79,11.65,79.76,-0.81,-1.06,0.02
490,54.73,11.49,77.75,-0.84,-1.06,-0.01
500,54.86,10.69,76.45,-0.86,-1.06,-0.04
510,54.54,10.28,74.91,-0.87,-1.06,-0.08
520,54.80,9.85,72.74,-0.88,-1.05,-0.11
530,54.75,8.28,70.37,-0.88,-1.03,-0.16
540,54.69,6.84,69.18,-0.88,-1.00,-0.21
550,54.61,6.36,67.88,-0.90,-0.98,-0.28
560,54.22,7.31,67.00,-0.93,-0.95,-0.34
570,53.97,9.18,65.41,-0.97,-0.93,-0.39
580,54.08,11.61,63.60,-1.02,-0.90,-0.42
590,53.93,12.81,61.57,-1.08,-0.87,-0.43
600,54.27,12.67,60.32,-1.12,-0.83,-0.44
610,54.80,11.50,59.38,-1.14,-0.79,-0.45
620,55.27,9.83,58.71,-1.14,-0.74,-0.47
630,55.16,8.77,57.76,-1.13,-0.69,-0.51
640,55.09,8.82,57.61,-1.11,-0.63,-0.56
650,55.56,10.20,57.65,-1.11,-0.58,-0.61
660,56.09,12.10,58.53,-1.11,-0.53,-0.64
670,56.49,14.17,59.20,-1.13,-0.49,-0.67
680,56.97,15.16,59.12,-1.16,-0.46,-0.68
690,57.23,14.78,58.30,-1.18,-0.43,-0.69
700,56.85,14.20,56.16,-1.21,-0.40,-0.70
710,56.14,13.57,54.04,-1.23,-0.34,-0.72
720,55.47,13.52,53.47,-1.24,-0.28,-0.75
730,55.31,13.54,53.36,-1.24,-0.22,-0.78
740,54.91,13.31,52.19,-1.24,-0.17,-0.82
750,54.54,14.31,50.32,-1.24,-0.10,-0.85
760,54.76,14.59,48.61,-1.23,-0.03,-0.88
770,54.96,14.32,47.84,-1.21,0.04,-0.92
780,54.69,15.23,47.59,-1.18,0.11,-0.97
790,54.58,17.44,48.05,-1.14,0.19,-1.02
800,54.17,20.52,48.36,-1.12,0.26,-1.05
810,52.77,23.93,47.85,-1.11,0.32,-1.07
820,51.77,26.50,47.12,-1.12,0.39,-1.06
830,50.90,28.66,47.32,-1.13,0.46,-1.04
840,50.33,30.68,47.06,-1.12,0.53,-1.01
850,49.99,31.47,46.30,-1.09,0.61,-0.99
860,50.19,33.21,46.36,-1.02,0.70,-0.98
870,50.52,35.82,46.04,-0.94,0.80,-0.97
880,50.61,37.34,47.06,-0.86,0.89,-0.94
890,50.96,36.84,49.71,-0.78,0.99,-0.91
900,51.82,35.89,52.92,-0.72,1.06,-0.89
910,51.62,34.67,56.43,-0.69,1.11,-0.86
920,51.76,33.79,58.85,-0.67,1.16,-0.85
930,51.89,33.68,62.08,-0.66,1.21,-0.84
940,51.92,33.87,64.71,-0.65,1.24,-0.82
950,51.79,34.28,66.47,-0.62,1.27,-0.81
960,51.03,36.70,67.02,-0.58,1.31,-0.81
970,50.62,40.95,67.90,-0.51,1.35,-0.81
980,50.41,45.95,69.45,-0.45,1.39,-0.77
990,50.48,49.68,71.25,-0.39,1.42,-0.71
