timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,51.21,43.10,107.68,0.60,0.06,0.96
10,51.16,41.98,109.31,0.60,-0.03,1.01
20,51.15,39.55,109.71,0.62,-0.10,1.05
30,51.24,36.76,109.19,0.64,-0.16,1.06
40,51.28,34.03,109.41,0.67,-0.22,1.05
50,50.79,31.70,108.52,0.69,-0.29,1.02
60,50.82,30.90,105.68,0.73,-0.33,0.97
70,50.25,30.58,103.99,0.74,-0.36,0.94
80,49.94,31.03,103.66,0.72,-0.39,0.91
90,49.88,32.47,103.51,0.65,-0.42,0.90
100,49.19,33.88,103.71,0.55,-0.47,0.91
110,49.39,35.45,103.88,0.46,-0.51,0.93
120,49.24,35.34,105.44,0.38,-0.57,0.98
130,49.75,33.21,105.76,0.35,-0.63,1.02
140,49.65,30.04,105.03,0.36,-0.68,1.02
150,49.81,28.23,104.71,0.36,-0.71,0.99
160,50.34,27.07,104.61,0.36,-0.75,0.97
170,50.36,25.77,102.84,0.36,-0.80,0.94
180,50.29,24.05,100.11,0.34,-0.84,0.92
190,50.29,22.25,98.12,0.29,-0.87,0.89
200,50.76,21.50,97.43,0.22,-0.90,0.87
210,51.13,21.33,96.11,0.12,-0.92,0.87
220,51.01,20.15,94.15,0.01,-0.95,0.87
230,52.50,18.49,94.03,-0.10,-0.99,0.90
240,52.16,14.45,92.91,-0.18,-1.07,0.91
250,52.82,11.31,90.03,-0.21,-1.09,0.83
260,53.36,10.67,88.16,-0.17,-1.05,0.75
270,54.34,10.96,88.14,-0.15,-1.04,0.67
280,50.42,13.15,93.60,0.01,-1.12,0.90
290,52.99,7.91,84.76,-0.05,-1.03,0.68
300,53.79,12.50,87.71,-0.14,-0.97,0.50
310,56.14,16.90,90.38,-0.29,-1.04,0.50
320,55.19,17.30,86.31,-0.42,-1.09,0.49
330,54.82,19.43,82.48,-0.56,-1.06,0.49
340,55.45,20.96,83.71,-0.64,-1.04,0.52
350,55.50,16.66,82.42,-0.78,-1.14,0.62
360,55.47,10.04,76.30,-0.92,-1.13,0.55
370,56.16,8.85,74.42,-0.98,-1.10,0.47
380,57.08,7.18,74.42,-1.00,-1.09,0.44
390,58.58,5.11,74.68,-0.99,-1.04,0.35
400,59.53,6.09,75.25,-0.98,-1.03,0.26
410,59.47,5.46,73.21,-1.01,-1.04,0.20
420,59.57,5.88,70.47,-1.03,-1.03,0.12
430,59.67,8.35,68.29,-1.04,-0.99,0.06
440,60.17,11.29,67.49,-1.05,-0.95,0.03
450,60.86,12.57,68.70,-1.06,-0.93,0.02
460,61.56,12.22,69.50,-1.06,-0.93,0.01
470,61.69,10.95,69.22,-1.06,-0.93,-0.01
480,61.52,10.41,67.48,-1.06,-0.93,-0.04
490,61.64,10.12,65.72,-1.09,-0.92,-0.07
500,61.28,10.18,63.10,-1.13,-0.93,-0.10
510,61.25,10.88,59.34,-1.16,-0.90,-0.13
520,61.33,10.18,56.83,-1.20,-0.87,-0.15
530,61.23,9.26,54.57,-1.21,-0.84,-0.19
540,61.37,7.82,52.82,-1.21,-0.78,-0.24
550,61.61,7.60,51.57,-1.19,-0.73,-0.31
560,61.87,8.91,50.76,-1.16,-0.67,-0.37
570,61.70,11.11,50.62,-1.13,-0.62,-0.43
580,61.49,13.50,51.82,-1.11,-0.57,-0.46
590,61.97,14.57,52.29,-1.10,-0.53,-0.46
600,62.02,14.56,51.74,-1.10,-0.50,-0.45
610,62.50,13.57,50.27,-1.13,-0.46,-0.44
620,63.38,11.60,50.23,-1.17,-0.43,-0.43
630,63.98,10.10,50.43,-1.22,-0.41,-0.45
640,64.16,9.09,49.29,-1.26,-0.39,-0.48
650,64.45,7.98,48.27,-1.26,-0.36,-0.53
660,64.59,7.01,47.53,-1.24,-0.32,-0.58
670,64.66,8.17,47.77,-1.21,-0.30,-0.65
680,64.20,10.46,46.78,-1.18,-0.26,-0.70
690,64.13,12.31,46.56,-1.16,-0.20,-0.73
700,63.52,13.92,46.62,-1.19,-0.18,-0.73
710,63.78,14.55,44.26,-1.22,-0.15,-0.72
720,63.57,13.70,41.44,-1.24,-0.08,-0.71
730,64.00,12.39,40.16,-1.25,-0.04,-0.73
740,63.44,10.73,38.59,-1.25,0.03,-0.76
750,62.74,9.00,38.32,-1.22,0.10,-0.82
760,62.31,8.29,39.75,-1.18,0.17,-0.90
770,61.79,10.01,40.62,-1.15,0.23,-0.97
780,60.69,12.37,41.32,-1.14,0.30,-1.01
790,59.38,13.83,41.68,-1.15,0.35,-1.02
800,58.24,15.07,41.11,-1.17,0.39,-1.04
810,56.47,16.63,38.98,-1.20,0.44,-1.05
820,55.05,18.24,37.04,-1.20,0.50,-1.06
830,53.49,19.72,34.20,-1.17,0.58,-1.08
840,52.58,20.73,31.85,-1.11,0.68,-1.11
850,52.08,23.22,31.72,-1.03,0.81,-1.14
860,52.21,26.92,34.61,-0.96,0.93,-1.17
870,52.36,29.69,39.34,-0.90,1.04,-1.17
880,52.52,31.69,44.32,-0.85,1.12,-1.16
890,52.60,33.67,48.59,-0.81,1.18,-1.14
