timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,37.17,44.18,100.34,0.34,0.29,0.63
10,37.17,45.60,100.35,0.34,0.26,0.67
20,37.37,45.01,101.38,0.34,0.22,0.72
30,37.79,43.08,102.25,0.34,0.18,0.77
40,37.84,40.56,102.54,0.35,0.14,0.79
50,38.01,37.93,103.17,0.37,0.11,0.81
60,38.63,36.26,104.93,0.40,0.08,0.79
70,39.05,36.40,106.02,0.42,0.04,0.77
80,39.27,37.92,106.34,0.42,-0.00,0.77
90,39.34,39.63,106.72,0.40,-0.05,0.79
100,39.63,39.89,107.29,0.35,-0.11,0.83
110,39.56,38.07,106.90,0.30,-0.16,0.87
120,39.33,35.95,106.50,0.25,-0.21,0.90
130,39.37,34.07,106.67,0.21,-0.26,0.91
140,39.41,32.27,106.69,0.19,-0.30,0.91
150,39.61,31.47,106.68,0.19,-0.35,0.89
160,40.03,31.45,106.11,0.17,-0.39,0.88
170,39.49,31.66,104.07,0.16,-0.44,0.87
180,39.47,31.56,102.25,0.15,-0.47,0.87
190,39.87,30.30,101.03,0.18,-0.49,0.86
200,40.08,28.43,100.36,0.21,-0.50,0.84
210,40.16,27.98,99.67,0.21,-0.52,0.82
220,40.34,27.62,99.54,0.18,-0.55,0.81
230,40.61,27.08,99.84,0.12,-0.58,0.80
240,40.82,26.51,99.61,0.04,-0.62,0.79
250,41.02,26.12,98.44,-0.02,-0.65,0.78
260,41.25,25.74,97.49,-0.09,-0.68,0.76
270,41.31,25.46,96.03,-0.13,-0.70,0.74
280,41.73,25.30,95.27,-0.16,-0.72,0.72
290,42.36,24.02,93.83,-0.16,-0.75,0.71
300,42.34,22.31,91.53,-0.15,-0.76,0.67
310,42.54,21.59,90.24,-0.14,-0.76,0.63
320,43.06,21.66,89.07,-0.13,-0.76,0.59
330,43.37,21.45,87.94,-0.12,-0.76,0.56
340,44.36,20.80,88.21,-0.11,-0.75,0.53
350,44.95,19.89,88.52,-0.11,-0.76,0.50
360,45.55,19.15,88.90,-0.13,-0.76,0.46
370,46.03,19.64,88.74,-0.18,-0.78,0.42
380,46.70,20.77,89.20,-0.25,-0.80,0.39
390,47.53,20.97,89.38,-0.32,-0.83,0.39
400,48.63,19.59,88.93,-0.37,-0.85,0.38
410,49.40,17.46,88.40,-0.40,-0.87,0.35
420,49.60,16.08,88.05,-0.41,-0.88,0.31
430,50.19,15.94,87.32,-0.41,-0.89,0.26
440,50.14,15.38,86.25,-0.43,-0.90,0.22
450,50.32,15.55,85.21,-0.47,-0.92,0.17
460,50.02,15.88,84.06,-0.53,-0.93,0.13
