timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,34.10,41.58,92.75,0.24,0.24,0.46
10,33.86,42.61,92.80,0.24,0.22,0.48
20,33.49,43.19,92.12,0.24,0.21,0.51
30,33.40,43.69,92.23,0.26,0.21,0.54
40,33.61,43.65,92.53,0.28,0.20,0.56
50,33.32,42.73,92.94,0.31,0.19,0.59
60,33.42,42.20,93.24,0.31,0.18,0.60
70,33.87,41.97,93.08,0.31,0.17,0.62
80,34.41,41.78,93.33,0.30,0.15,0.64
90,35.30,41.15,94.15,0.30,0.15,0.66
100,35.71,40.64,94.76,0.31,0.13,0.67
110,35.90,41.01,95.11,0.33,0.12,0.68
120,36.24,41.43,95.95,0.33,0.11,0.69
130,36.40,42.00,97.83,0.33,0.09,0.70
140,36.42,42.73,98.78,0.34,0.07,0.71
150,36.20,44.32,99.06,0.35,0.04,0.73
160,35.92,45.73,99.19,0.35,0.02,0.76
170,36.01,46.20,99.26,0.34,-0.01,0.81
180,36.37,45.89,98.59,0.30,-0.04,0.86
190,36.11,44.97,96.98,0.26,-0.07,0.90
200,35.78,43.75,94.73,0.23,-0.09,0.94
210,35.91,42.79,93.00,0.22,-0.10,0.97
220,36.19,42.09,91.37,0.21,-0.11,0.99
230,36.57,42.25,90.54,0.19,-0.11,1.01
240,37.30,42.40,89.83,0.17,-0.11,1.05
250,38.20,41.44,90.61,0.16,-0.11,1.08
260,39.21,41.05,92.31,0.14,-0.11,1.11
270,39.88,39.80,93.26,0.12,-0.13,1.14
280,41.16,36.73,94.66,0.10,-0.14,1.19
290,42.50,32.27,96.86,0.09,-0.16,1.21
300,43.87,28.06,98.05,0.08,-0.19,1.20
310,45.12,24.96,99.18,0.09,-0.22,1.18
320,45.87,22.99,99.38,0.11,-0.24,1.14
330,46.71,22.36,99.59,0.11,-0.27,1.10
340,47.49,21.79,99.33,0.09,-0.31,1.08
350,47.78,21.11,99.48,0.07,-0.34,1.05
360,48.19,20.83,100.13,0.05,-0.37,1.02
370,48.79,21.08,101.56,0.02,-0.41,1.00
380,49.15,21.54,102.33,-0.00,-0.45,0.98
390,49.60,21.05,103.34,-0.04,-0.49,0.97
400,49.96,19.90,103.03,-0.07,-0.55,0.95
410,50.14,19.02,101.75,-0.11,-0.60,0.93
420,49.99,18.24,100.11,-0.16,-0.63,0.90
430,49.99,17.93,98.20,-0.21,-0.67,0.87
440,49.53,17.64,97.19,-0.27,-0.70,0.84
450,49.42,16.74,96.24,-0.31,-0.73,0.81
460,49.42,15.75,95.97,-0.34,-0.76,0.77
470,49.11,14.87,95.87,-0.35,-0.78,0.74
480,49.92,12.74,95.36,-0.34,-0.79,0.70
490,50.33,10.60,94.89,-0.33,-0.81,0.65
500,50.27,10.20,94.74,-0.37,-0.83,0.58
510,50.28,10.51,94.43,-0.44,-0.87,0.54
520,49.81,10.68,93.00,-0.54,-0.91,0.51
530,49.31,10.21,91.00,-0.64,-0.94,0.47
540,49.32,9.96,89.62,-0.73,-0.96,0.43
550,49.45,10.54,88.05,-0.79,-0.98,0.38
560,49.28,11.28,85.82,-0.82,-1.00,0.34
570,49.33,10.42,83.61,-0.84,-1.00,0.31
580,49.81,8.32,81.78,-0.84,-0.99,0.27
590,50.39,5.74,80.87,-0.85,-0.97,0.21
600,51.10,4.64,80.99,-0.84,-0.97,0.14
610,51.49,5.56,80.57,-0.84,-0.96,0.07
620,51.84,7.14,79.50,-0.84,-0.95,0.01
630,51.92,7.99,77.99,-0.84,-0.95,-0.02
640,51.97,7.62,76.01,-0.84,-0.93,-0.05
650,52.05,7.03,74.12,-0.84,-0.91,-0.08
660,52.35,6.18,73.25,-0.87,-0.88,-0.11
670,52.72,5.49,72.01,-0.92,-0.87,-0.14
680,53.12,5.41,70.88,-1.00,-0.85,-0.17
690,53.43,4.70,69.46,-1.08,-0.84,-0.20
700,53.61,4.01,68.16,-1.14,-0.82,-0.23
710,53.73,2.99,67.28,-1.15,-0.79,-0.27
720,53.59,2.68,66.43,-1.12,-0.75,-0.32
730,53.76,2.96,65.75,-1.08,-0.71,-0.38
740,53.58,3.50,65.12,-1.05,-0.67,-0.43
750,53.25,4.48,64.37,-1.05,-0.64,-0.48
760,52.98,6.07,63.39,-1.07,-0.60,-0.52
770,53.54,7.82,62.76,-1.11,-0.57,-0.54
780,53.40,9.20,61.86,-1.15,-0.55,-0.56
790,53.38,9.67,60.02,-1.18,-0.52,-0.56
800,53.14,8.85,57.79,-1.18,-0.48,-0.57
810,52.97,7.42,56.22,-1.17,-0.43,-0.59
820,52.49,5.98,54.05,-1.13,-0.38,-0.62
830,51.78,4.87,51.68,-1.08,-0.32,-0.66
840,51.20,4.40,49.48,-1.05,-0.24,-0.70
850,51.03,3.98,47.71,-1.05,-0.16,-0.75
860,51.40,3.62,47.87,-1.07,-0.08,-0.81
870,51.56,5.19,48.47,-1.10,-0.01,-0.88
880,51.54,8.26,49.22,-1.11,0.05,-0.93
890,51.31,10.64,50.16,-1.09,0.12,-0.95
900,51.09,11.85,51.10,-1.06,0.18,-0.97
910,50.37,12.67,51.22,-1.04,0.23,-0.98
920,49.56,13.45,50.25,-1.02,0.29,-1.00
930,48.84,14.63,49.39,-1.02,0.36,-1.01
940,48.16,15.74,48.27,-1.02,0.42,-1.03
950,47.60,16.14,47.15,-1.02,0.49,-1.05
960,46.71,17.21,46.93,-1.03,0.58,-1.09
970,46.25,20.70,47.50,-1.04,0.65,-1.13
980,46.14,24.90,48.86,-1.04,0.73,-1.14
990,46.36,27.81,50.71,-0.99,0.81,-1.14
