timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,31.85,53.56,98.06,0.30,0.36,0.87
10,33.12,51.31,98.99,0.32,0.33,0.90
20,33.99,49.41,98.95,0.33,0.29,0.92
30,34.19,48.86,98.80,0.36,0.26,0.93
40,34.14,49.79,99.96,0.39,0.24,0.94
50,34.01,51.34,102.12,0.45,0.22,0.96
60,34.10,52.91,104.39,0.51,0.19,1.00
70,34.40,54.18,107.03,0.57,0.17,1.04
80,35.08,53.50,109.60,0.61,0.13,1.10
90,35.29,52.08,112.29,0.64,0.07,1.14
100,35.69,48.94,113.99,0.66,0.00,1.18
110,36.10,45.96,115.27,0.67,-0.06,1.19
120,36.59,45.51,116.20,0.66,-0.13,1.19
130,37.52,46.02,116.36,0.63,-0.21,1.21
140,38.04,45.61,115.90,0.58,-0.29,1.23
150,38.41,44.66,115.70,0.51,-0.37,1.26
160,38.21,44.14,115.47,0.44,-0.46,1.29
170,37.99,43.11,116.30,0.37,-0.54,1.31
180,38.34,42.14,116.25,0.33,-0.61,1.34
190,38.66,40.69,115.72,0.31,-0.69,1.36
200,38.94,38.72,113.25,0.30,-0.77,1.37
210,39.22,35.08,110.54,0.28,-0.83,1.37
220,40.27,31.51,109.59,0.26,-0.88,1.32
230,40.35,30.90,107.62,0.26,-0.94,1.26
240,40.22,31.23,105.08,0.30,-0.96,1.20
250,40.56,32.68,104.83,0.31,-0.99,1.16
260,40.58,33.67,104.02,0.29,-1.03,1.15
270,40.20,31.98,103.27,0.26,-1.07,1.17
280,40.00,28.64,102.36,0.20,-1.12,1.19
290,39.71,25.33,100.89,0.13,-1.14,1.17
300,39.98,22.32,100.13,0.04,-1.17,1.15
310,39.90,20.66,99.34,-0.07,-1.22,1.11
320,39.94,19.25,97.40,-0.17,-1.27,1.06
330,40.15,18.37,94.48,-0.24,-1.27,0.99
340,40.36,18.08,93.90,-0.28,-1.28,0.93
350,40.89,17.67,92.14,-0.30,-1.29,0.87
360,41.75,18.00,90.69,-0.32,-1.28,0.82
370,42.85,17.90,90.46,-0.35,-1.29,0.78
380,43.39,17.05,90.14,-0.38,-1.32,0.75
390,43.18,15.54,87.13,-0.40,-1.34,0.71
400,43.23,14.04,83.86,-0.43,-1.32,0.66
410,43.71,13.39,83.08,-0.50,-1.30,0.62
420,44.27,12.96,82.46,-0.61,-1.31,0.57
430,45.07,11.80,80.94,-0.73,-1.32,0.53
440,46.42,9.76,78.58,-0.81,-1.32,0.48
450,47.84,7.37,77.47,-0.84,-1.30,0.42
460,48.63,6.54,76.74,-0.85,-1.28,0.33
470,48.81,7.08,75.92,-0.84,-1.25,0.24
480,49.24,8.15,75.03,-0.84,-1.23,0.16
490,49.39,9.20,74.33,-0.86,-1.21,0.10
500,49.82,9.05,73.45,-0.91,-1.20,0.05
510,49.90,8.82,71.81,-0.98,-1.20,0.01
520,49.74,8.45,69.70,-1.06,-1.20,-0.05
530,49.76,8.01,67.62,-1.11,-1.18,-0.11
540,49.61,8.80,65.14,-1.13,-1.14,-0.18
550,50.23,10.35,62.81,-1.14,-1.09,-0.24
560,51.35,12.02,61.10,-1.15,-1.04,-0.28
570,52.33,12.69,60.44,-1.17,-0.99,-0.31
580,53.84,11.97,60.60,-1.18,-0.95,-0.33
590,55.06,10.85,60.95,-1.20,-0.92,-0.36
600,55.22,10.34,58.89,-1.20,-0.89,-0.40
610,55.53,10.64,57.57,-1.20,-0.84,-0.45
620,55.62,10.04,57.79,-1.19,-0.80,-0.49
630,55.54,10.14,57.12,-1.16,-0.76,-0.54
640,55.65,11.35,55.28,-1.12,-0.70,-0.59
650,56.13,11.92,54.58,-1.11,-0.64,-0.62
660,55.83,12.70,53.64,-1.14,-0.60,-0.65
670,55.48,13.75,51.76,-1.19,-0.56,-0.67
680,54.89,14.18,50.79,-1.25,-0.50,-0.69
690,55.14,14.74,50.87,-1.33,-0.45,-0.69
700,55.43,13.83,51.67,-1.40,-0.40,-0.69
710,55.46,11.80,51.48,-1.46,-0.35,-0.71
720,55.38,10.19,51.11,-1.49,-0.29,-0.76
730,56.08,10.75,51.77,-1.49,-0.23,-0.83
740,56.23,13.52,52.17,-1.46,-0.17,-0.90
750,56.15,16.95,53.09,-1.41,-0.10,-0.94
760,56.49,19.28,54.34,-1.35,-0.03,-0.96
770,56.81,20.30,55.47,-1.30,0.02,-0.97
780,57.17,21.31,56.51,-1.27,0.06,-0.99
790,57.11,22.12,56.55,-1.26,0.10,-1.00
800,57.97,22.34,57.29,-1.29,0.13,-1.00
810,57.59,22.42,58.05,-1.36,0.13,-1.03
820,56.78,22.47,58.45,-1.43,0.14,-1.06
830,56.67,23.09,58.06,-1.46,0.16,-1.10
840,55.79,25.16,57.51,-1.44,0.18,-1.15
850,54.34,27.80,56.87,-1.38,0.21,-1.18
860,53.05,30.02,55.19,-1.30,0.26,-1.20
870,51.49,31.54,53.36,-1.24,0.32,-1.21
880,50.50,33.55,51.74,-1.20,0.38,-1.21
890,51.17,34.71,49.27,-1.18,0.44,-1.20
900,51.52,36.33,47.57,-1.18,0.51,-1.20
910,51.99,39.32,47.47,-1.15,0.56,-1.20
920,52.63,41.57,47.16,-1.09,0.62,-1.18
930,53.41,40.63,48.06,-1.00,0.70,-1.15
940,53.86,38.20,50.62,-0.90,0.78,-1.13
950,54.37,36.42,53.57,-0.80,0.84,-1.14
960,54.14,34.74,55.95,-0.72,0.90,-1.14
970,54.19,32.79,59.47,-0.67,0.95,-1.15
980,54.33,31.65,62.78,-0.65,0.97,-1.17
990,54.31,31.80,64.33,-0.64,0.98,-1.20
