timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,34.68,41.58,98.37,0.40,0.05,0.78
10,34.61,41.36,99.46,0.43,0.03,0.79
20,35.21,40.41,101.19,0.46,0.01,0.82
30,35.81,39.21,102.60,0.47,-0.02,0.84
40,36.52,37.63,103.85,0.46,-0.05,0.85
50,37.18,36.80,105.29,0.43,-0.10,0.86
60,37.72,37.09,106.97,0.40,-0.14,0.86
70,38.21,37.32,108.00,0.38,-0.20,0.88
80,38.92,36.24,108.94,0.37,-0.24,0.90
90,39.86,35.00,109.58,0.38,-0.29,0.90
100,40.31,35.28,109.67,0.38,-0.35,0.90
110,41.03,35.03,109.17,0.36,-0.40,0.91
120,40.88,34.03,107.73,0.31,-0.47,0.93
130,41.01,32.58,105.73,0.25,-0.53,0.94
140,40.68,31.07,103.21,0.19,-0.58,0.94
150,40.67,30.39,101.83,0.15,-0.61,0.93
160,41.12,29.55,100.67,0.13,-0.64,0.92
170,41.60,28.94,99.07,0.12,-0.67,0.90
180,41.73,27.60,98.12,0.11,-0.69,0.89
190,42.12,25.59,97.36,0.11,-0.71,0.86
200,42.64,23.98,96.22,0.13,-0.72,0.82
210,42.58,23.75,94.57,0.18,-0.72,0.77
220,43.05,24.58,94.88,0.22,-0.71,0.72
230,43.79,26.01,95.64,0.21,-0.72,0.70
240,44.22,26.59,96.21,0.14,-0.75,0.70
250,44.70,26.20,97.39,0.05,-0.78,0.71
260,45.07,24.96,98.65,-0.03,-0.82,0.71
270,45.73,24.10,98.99,-0.11,-0.86,0.70
280,46.44,23.36,98.42,-0.18,-0.90,0.70
290,46.74,22.23,96.92,-0.25,-0.95,0.68
300,47.40,21.75,94.84,-0.31,-0.98,0.66
310,47.94,21.20,92.51,-0.35,-1.01,0.64
320,48.01,19.76,89.63,-0.36,-1.02,0.61
330,48.51,18.95,87.89,-0.36,-1.02,0.57
340,48.75,18.84,86.61,-0.36,-1.02,0.52
350,49.18,18.44,85.33,-0.37,-1.02,0.49
360,49.66,18.09,84.44,-0.37,-1.01,0.45
370,50.46,17.64,84.74,-0.38,-1.01,0.42
380,50.73,16.79,84.34,-0.41,-1.02,0.39
390,50.98,16.33,83.22,-0.47,-1.03,0.36
400,51.48,15.44,82.11,-0.55,-1.04,0.34
410,51.70,14.32,81.58,-0.62,-1.05,0.31
420,51.92,13.05,80.28,-0.68,-1.06,0.28
430,52.04,12.04,78.80,-0.72,-1.06,0.23
440,52.48,10.78,77.65,-0.73,-1.04,0.19
450,52.55,9.85,76.53,-0.75,-1.04,0.14
460,52.33,9.70,74.77,-0.78,-1.03,0.08
470,52.62,9.90,73.21,-0.82,-1.01,0.03
480,52.46,10.26,71.81,-0.87,-1.00,-0.01
490,52.59,10.84,69.73,-0.91,-0.99,-0.06
500,52.66,11.39,67.82,-0.93,-0.96,-0.09
510,53.26,11.06,66.77,-0.92,-0.91,-0.12
520,53.71,9.81,68.20,-0.92,-0.87,-0.16
530,54.12,9.00,68.64,-0.93,-0.84,-0.20
540,54.28,8.52,67.84,-0.95,-0.82,-0.25
550,54.05,8.55,67.00,-0.98,-0.79,-0.29
560,54.51,10.26,66.81,-1.02,-0.76,-0.34
570,54.64,12.27,65.32,-1.05,-0.74,-0.38
580,55.05,14.08,63.45,-1.09,-0.71,-0.39
590,55.50,15.20,62.13,-1.11,-0.67,-0.40
600,56.14,14.62,61.02,-1.13,-0.63,-0.40
610,56.40,12.62,60.15,-1.12,-0.59,-0.41
620,55.62,11.63,58.52,-1.12,-0.55,-0.45
630,55.18,12.34,57.27,-1.13,-0.50,-0.48
640,54.87,13.49,57.45,-1.14,-0.44,-0.51
650,54.73,13.64,57.78,-1.13,-0.40,-0.53
660,54.47,13.85,57.24,-1.12,-0.35,-0.56
670,54.47,14.64,56.87,-1.11,-0.29,-0.59
680,54.75,15.05,56.81,-1.11,-0.24,-0.61
690,55.04,15.66,55.88,-1.12,-0.19,-0.62
700,55.31,15.87,54.80,-1.13,-0.14,-0.63
710,55.76,15.19,53.88,-1.15,-0.09,-0.64
720,57.10,14.37,53.24,-1.15,-0.03,-0.67
730,54.34,18.72,57.62,-1.10,-0.14,-0.74
740,54.55,13.57,52.04,-1.08,0.01,-0.70
750,54.47,16.19,54.20,-1.11,0.14,-0.77
760,56.41,16.95,56.61,-1.09,0.21,-0.78
770,56.06,16.93,56.16,-1.09,0.24,-0.80
780,56.24,17.68,55.41,-1.08,0.29,-0.83
790,55.83,19.95,55.93,-1.05,0.35,-0.87
800,55.67,22.76,56.35,-1.01,0.40,-0.90
810,55.29,26.12,56.10,-0.97,0.45,-0.92
820,54.54,29.69,56.08,-0.93,0.51,-0.93
830,54.54,34.00,56.76,-0.89,0.57,-0.92
840,54.62,37.79,57.66,-0.88,0.61,-0.89
850,54.62,40.04,58.97,-0.86,0.65,-0.84
860,54.45,39.07,60.85,-0.82,0.69,-0.78
870,54.67,36.65,61.95,-0.76,0.72,-0.74
880,54.52,33.34,62.22,-0.71,0.76,-0.72
890,54.26,31.39,61.86,-0.67,0.78,-0.73
900,53.74,31.39,60.99,-0.63,0.82,-0.74
910,53.41,31.53,60.29,-0.58,0.86,-0.75
920,53.03,32.30,60.27,-0.53,0.91,-0.75
930,52.42,34.26,60.89,-0.49,0.95,-0.75
940,52.99,34.95,61.56,-0.43,1.00,-0.72
950,53.40,35.14,64.43,-0.38,1.05,-0.71
960,53.68,35.62,68.10,-0.32,1.08,-0.69
970,53.00,36.39,70.11,-0.28,1.09,-0.68
980,51.74,37.72,70.46,-0.24,1.11,-0.67
990,50.08,39.34,70.26,-0.21,1.13,-0.66
