timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,29.76,40.81,97.94,0.46,0.10,0.95
10,29.78,38.67,98.66,0.49,0.09,0.97
20,29.83,37.03,98.89,0.50,0.07,0.97
30,30.01,35.95,98.78,0.50,0.05,0.97
40,30.63,35.43,99.18,0.49,0.04,0.97
50,31.61,35.27,100.76,0.48,0.01,0.98
60,32.94,34.49,103.32,0.48,-0.01,0.99
70,34.30,31.64,105.63,0.51,-0.05,0.99
80,35.50,28.61,107.60,0.54,-0.08,0.97
90,36.43,27.48,109.26,0.57,-0.12,0.92
100,37.34,28.68,111.50,0.57,-0.17,0.87
110,37.84,31.81,113.03,0.55,-0.22,0.84
120,38.38,33.92,114.52,0.50,-0.29,0.85
130,38.80,33.88,114.79,0.43,-0.38,0.87
140,38.89,32.03,114.14,0.36,-0.46,0.88
150,39.17,30.18,112.78,0.30,-0.53,0.88
160,39.32,29.33,111.60,0.23,-0.60,0.86
170,39.84,29.51,109.93,0.19,-0.66,0.85
180,40.37,28.56,107.97,0.16,-0.71,0.85
190,40.65,27.27,105.62,0.14,-0.76,0.83
200,40.87,26.95,103.77,0.13,-0.79,0.80
210,40.90,26.88,102.89,0.12,-0.82,0.78
220,40.85,26.40,101.92,0.09,-0.86,0.77
230,40.09,26.39,99.89,0.06,-0.89,0.75
240,40.44,25.56,99.35,0.02,-0.91,0.73
250,40.58,24.49,98.04,-0.02,-0.94,0.70
260,40.92,25.02,96.89,-0.06,-0.96,0.68
270,41.66,24.56,95.24,-0.12,-0.98,0.66
280,41.63,24.23,94.40,-0.18,-1.00,0.65
290,41.90,23.41,92.64,-0.22,-1.02,0.64
300,42.47,22.26,91.63,-0.24,-1.02,0.61
310,43.85,20.79,91.76,-0.25,-1.03,0.58
320,44.90,19.03,91.85,-0.25,-1.04,0.55
330,45.33,16.94,91.24,-0.27,-1.06,0.50
340,45.49,16.12,90.70,-0.30,-1.07,0.46
350,45.87,15.63,89.82,-0.35,-1.09,0.42
360,45.63,14.79,88.49,-0.42,-1.11,0.37
370,45.77,14.17,86.68,-0.48,-1.12,0.31
380,46.47,15.24,85.55,-0.52,-1.12,0.26
390,47.35,16.29,84.33,-0.55,-1.12,0.21
400,48.33,16.71,82.95,-0.56,-1.12,0.18
410,48.03,16.53,81.13,-0.58,-1.12,0.14
420,48.10,14.73,80.28,-0.60,-1.11,0.10
430,48.73,12.61,79.79,-0.62,-1.10,0.04
440,49.24,12.42,78.48,-0.65,-1.10,-0.04
450,49.52,14.67,77.63,-0.69,-1.09,-0.11
460,49.72,16.00,77.50,-0.74,-1.09,-0.14
470,49.45,16.27,76.62,-0.78,-1.09,-0.17
480,49.53,15.95,75.31,-0.84,-1.09,-0.19
490,49.59,14.78,72.97,-0.90,-1.09,-0.22
500,49.53,14.03,70.51,-0.96,-1.08,-0.26
510,50.06,14.50,68.65,-1.01,-1.06,-0.32
520,50.86,15.06,66.89,-1.02,-1.03,-0.37
530,51.23,15.16,64.99,-0.96,-0.98,-0.42
540,51.63,16.17,63.72,-0.87,-0.92,-0.48
550,52.30,17.61,63.15,-0.80,-0.86,-0.53
560,52.75,19.01,63.29,-0.78,-0.82,-0.56
570,53.24,18.55,63.85,-0.82,-0.79,-0.57
580,53.51,18.41,63.30,-0.89,-0.78,-0.60
590,54.26,18.99,61.75,-0.94,-0.75,-0.63
600,54.71,20.66,60.88,-0.98,-0.72,-0.66
610,55.43,22.28,59.87,-0.99,-0.68,-0.68
620,56.19,23.39,58.82,-0.99,-0.65,-0.70
630,56.66,25.16,57.99,-0.98,-0.61,-0.72
640,57.11,25.92,57.71,-0.98,-0.57,-0.73
650,58.02,25.73,57.38,-0.98,-0.54,-0.74
660,58.37,26.54,56.90,-0.99,-0.51,-0.76
670,57.81,27.11,55.99,-1.00,-0.48,-0.76
680,57.63,27.25,55.04,-1.01,-0.44,-0.76
690,56.91,27.94,53.65,-1.02,-0.41,-0.77
700,56.22,29.21,51.74,-1.01,-0.36,-0.78
710,56.07,30.75,50.44,-0.99,-0.30,-0.79
720,55.69,33.33,48.99,-0.97,-0.24,-0.78
730,55.89,34.47,49.31,-0.94,-0.16,-0.75
740,56.39,33.79,50.50,-0.92,-0.09,-0.71
750,56.84,31.52,52.28,-0.91,-0.03,-0.68
760,56.88,29.71,53.73,-0.92,0.02,-0.66
770,57.22,28.08,53.99,-0.93,0.06,-0.66
780,57.44,26.95,54.14,-0.93,0.12,-0.68
790,57.69,27.87,54.15,-0.93,0.17,-0.70
800,57.92,30.31,53.71,-0.91,0.22,-0.72
810,57.63,33.48,53.38,-0.90,0.28,-0.71
820,57.18,35.20,53.79,-0.89,0.33,-0.68
830,56.97,34.84,54.85,-0.88,0.38,-0.63
840,56.67,33.43,55.28,-0.86,0.43,-0.61
850,55.40,32.38,55.50,-0.84,0.48,-0.60
860,54.58,32.33,57.09,-0.81,0.56,-0.60
870,54.45,33.53,59.41,-0.78,0.61,-0.61
880,54.04,35.77,59.63,-0.77,0.65,-0.61
890,53.16,38.26,58.72,-0.78,0.69,-0.58
900,52.28,38.26,57.97,-0.76,0.74,-0.55
910,51.40,37.80,58.08,-0.74,0.79,-0.53
920,50.74,38.38,57.70,-0.71,0.84,-0.52
930,49.83,39.15,56.31,-0.68,0.89,-0.51
940,48.82,39.91,56.07,-0.64,0.95,-0.49
950,48.31,39.57,56.02,-0.59,1.01,-0.47
960,47.84,37.40,55.75,-0.54,1.07,-0.45
970,47.17,34.81,56.06,-0.49,1.14,-0.45
980,46.88,33.08,56.90,-0.44,1.20,-0.47
990,45.97,34.01,59.30,-0.40,1.26,-0.52
