timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,34.00,38.96,99.89,0.41,0.15,0.73
10,33.94,40.48,100.75,0.43,0.12,0.73
20,33.72,43.15,101.95,0.47,0.10,0.73
30,33.38,45.19,103.48,0.51,0.07,0.76
40,33.21,45.66,104.80,0.55,0.03,0.80
50,33.21,44.53,105.12,0.56,-0.01,0.85
60,33.42,41.86,105.06,0.57,-0.05,0.90
70,34.07,38.47,105.47,0.56,-0.08,0.93
80,34.39,34.47,105.97,0.54,-0.12,0.95
90,35.34,30.52,106.22,0.55,-0.15,0.93
100,36.19,28.88,106.55,0.58,-0.18,0.89
110,36.78,30.14,107.15,0.60,-0.21,0.84
120,37.33,32.88,107.72,0.63,-0.24,0.82
130,37.70,34.58,108.86,0.62,-0.29,0.83
140,37.70,35.00,109.72,0.58,-0.35,0.86
150,38.14,34.27,109.34,0.53,-0.41,0.89
160,38.21,33.46,109.03,0.46,-0.46,0.92
170,38.04,32.38,107.72,0.38,-0.52,0.94
180,38.39,30.55,106.27,0.33,-0.56,0.95
190,39.14,28.53,105.52,0.28,-0.60,0.93
200,39.71,27.93,104.69,0.25,-0.63,0.91
210,40.28,27.75,103.84,0.23,-0.66,0.89
220,40.98,28.27,102.94,0.21,-0.69,0.87
230,41.41,28.74,102.85,0.17,-0.72,0.87
240,41.60,28.20,101.62,0.13,-0.75,0.87
250,41.82,27.54,100.26,0.08,-0.78,0.87
260,42.45,26.36,99.40,0.04,-0.81,0.86
270,43.47,25.25,98.99,-0.01,-0.83,0.84
280,43.86,24.84,97.95,-0.06,-0.86,0.83
290,44.86,24.30,96.93,-0.10,-0.89,0.80
300,45.48,24.89,96.55,-0.15,-0.91,0.78
310,45.77,25.39,96.16,-0.19,-0.94,0.76
320,46.35,24.76,95.35,-0.21,-0.96,0.76
330,46.66,23.97,94.07,-0.23,-0.98,0.73
340,46.71,24.20,93.35,-0.25,-1.00,0.72
350,46.92,24.48,92.67,-0.26,-1.01,0.71
360,47.55,23.98,92.61,-0.28,-1.03,0.71
370,47.98,22.69,91.79,-0.32,-1.05,0.70
380,48.36,20.98,91.09,-0.37,-1.08,0.70
390,48.92,17.63,90.22,-0.40,-1.10,0.69
400,49.74,13.57,89.64,-0.41,-1.12,0.65
410,50.22,9.70,88.21,-0.42,-1.13,0.58
420,50.60,7.63,86.60,-0.41,-1.14,0.49
430,50.80,7.77,84.75,-0.42,-1.14,0.39
440,50.97,10.17,82.96,-0.46,-1.14,0.31
450,51.07,12.57,81.87,-0.55,-1.16,0.28
460,50.68,13.83,80.19,-0.64,-1.18,0.26
470,50.54,13.72,78.62,-0.72,-1.18,0.25
480,50.43,11.70,77.87,-0.76,-1.17,0.23
490,50.50,8.95,76.91,-0.78,-1.16,0.19
500,50.39,6.23,75.71,-0.79,-1.14,0.14
510,50.66,4.90,74.70,-0.80,-1.12,0.06
520,51.01,4.91,73.57,-0.83,-1.10,-0.01
530,51.54,5.73,72.27,-0.86,-1.08,-0.08
540,51.87,6.62,70.72,-0.91,-1.06,-0.13
550,51.74,7.98,68.85,-0.97,-1.04,-0.18
560,52.12,9.58,67.49,-1.03,-1.01,-0.21
570,52.35,10.46,66.01,-1.10,-0.99,-0.23
580,52.39,10.38,64.10,-1.16,-0.96,-0.25
590,52.71,10.04,62.60,-1.21,-0.92,-0.27
600,52.45,9.70,60.98,-1.26,-0.87,-0.30
610,52.91,10.24,59.23,-1.28,-0.82,-0.34
620,53.38,10.21,58.40,-1.25,-0.75,-0.37
630,54.05,9.52,57.71,-1.20,-0.69,-0.41
640,54.38,8.16,56.98,-1.14,-0.62,-0.45
650,54.30,7.47,56.21,-1.12,-0.55,-0.50
660,54.66,6.89,56.12,-1.13,-0.50,-0.54
670,54.98,7.08,55.63,-1.17,-0.45,-0.59
680,55.38,8.75,55.38,-1.22,-0.40,-0.64
690,55.65,11.67,55.46,-1.27,-0.35,-0.67
700,56.28,14.29,55.01,-1.29,-0.30,-0.67
710,56.54,14.80,54.76,-1.30,-0.25,-0.67
720,56.16,13.78,54.58,-1.30,-0.19,-0.67
730,56.17,13.11,54.39,-1.27,-0.11,-0.69
740,56.28,13.23,53.90,-1.25,-0.05,-0.72
750,56.36,13.02,53.94,-1.26,0.01,-0.75
760,56.44,13.97,53.60,-1.27,0.06,-0.79
770,56.31,15.55,52.83,-1.28,0.11,-0.82
780,56.23,16.78,52.69,-1.26,0.17,-0.85
790,55.95,18.15,53.27,-1.23,0.23,-0.88
800,55.43,19.25,52.41,-1.21,0.28,-0.91
810,54.51,20.51,51.77,-1.19,0.34,-0.93
820,54.00,21.99,52.41,-1.17,0.41,-0.95
830,53.92,22.92,53.38,-1.14,0.47,-0.96
840,53.37,23.35,53.03,-1.10,0.52,-0.98
850,52.64,24.39,52.73,-1.07,0.59,-1.00
860,51.98,26.57,53.07,-1.05,0.64,-1.02
870,51.20,29.85,52.62,-1.02,0.70,-1.02
880,50.89,32.93,52.19,-0.98,0.76,-1.01
890,51.28,34.73,52.43,-0.93,0.83,-0.97
900,51.67,34.95,53.19,-0.88,0.89,-0.94
910,51.81,33.46,54.69,-0.82,0.95,-0.90
920,52.16,31.91,56.37,-0.77,1.00,-0.89
930,51.72,30.48,58.59,-0.72,1.05,-0.89
940,51.68,30.22,60.62,-0.67,1.10,-0.91
950,51.92,31.59,63.01,-0.61,1.15,-0.93
960,52.06,35.48,66.34,-0.57,1.19,-0.94
970,52.46,39.59,69.10,-0.53,1.21,-0.91
980,53.37,41.59,71.38,-0.49,1.22,-0.86
990,53.83,41.96,73.00,-0.44,1.23,-0.80
