timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,15.46,-53.81,108.79,-2.15,-0.98,-3.90
10,11.01,-48.73,106.20,-2.23,-0.96,-4.31
20,8.26,-42.40,106.09,-2.41,-0.93,-4.37
30,5.15,-34.14,108.13,-2.65,-0.94,-4.37
40,1.60,-23.23,110.55,-2.90,-0.93,-4.37
50,-0.67,-15.11,112.68,-3.12,-0.92,-4.37
60,-1.50,-11.92,114.33,-3.24,-0.93,-4.37
70,-2.39,-4.14,113.93,-3.27,-0.96,-4.37
80,-3.05,6.40,110.16,-3.22,-0.98,-4.37
90,-1.07,14.80,105.48,-2.98,-0.96,-4.37
100,2.09,22.28,101.79,-2.63,-0.89,-4.37
110,6.26,26.90,100.06,-2.26,-0.83,-4.37
120,11.04,34.31,97.31,-1.93,-0.81,-4.37
130,15.34,47.58,93.39,-1.70,-0.82,-4.37
140,18.56,62.58,85.02,-1.49,-0.78,-4.37
150,24.17,78.04,78.04,-1.29,-0.66,-3.96
160,28.73,87.62,72.25,-1.16,-0.51,-3.35
170,34.36,92.26,70.01,-1.00,-0.32,-2.72
180,39.19,91.92,72.67,-0.78,-0.17,-2.11
190,41.63,87.21,76.04,-0.56,-0.07,-1.56
200,42.70,77.45,78.90,-0.36,-0.02,-1.11
210,43.54,68.50,79.52,-0.17,0.00,-0.76
220,43.67,62.81,76.72,-0.01,0.03,-0.48
230,44.40,60.49,74.46,0.15,0.09,-0.24
240,45.67,59.61,71.58,0.30,0.15,-0.01
250,46.65,59.70,68.54,0.42,0.23,0.23
260,47.06,60.15,65.88,0.53,0.33,0.50
270,46.64,59.72,64.70,0.63,0.45,0.79
280,46.42,58.60,64.84,0.76,0.58,1.08
290,45.67,59.55,65.65,0.93,0.71,1.38
300,44.27,62.17,66.56,1.14,0.86,1.72
310,42.14,65.17,70.12,1.39,1.04,2.09
320,39.76,65.27,76.94,1.62,1.18,2.48
330,36.11,61.82,82.22,1.79,1.29,2.84
340,32.94,55.83,90.02,1.87,1.35,3.15
350,29.89,48.73,96.97,1.88,1.36,3.39
360,27.47,43.06,102.87,1.85,1.34,3.56
370,24.68,41.51,106.37,1.79,1.29,3.68
380,24.91,39.82,109.21,1.74,1.26,3.87
390,21.81,37.27,111.90,1.67,1.19,4.02
400,21.31,35.85,112.22,1.58,1.11,4.18
410,17.70,33.45,112.44,1.56,1.05,4.36
420,15.10,29.78,113.66,1.58,0.99,4.37
430,13.41,24.03,116.08,1.64,0.93,4.37
440,12.42,17.57,118.03,1.70,0.84,4.37
450,11.05,11.14,117.10,1.77,0.80,4.37
460,8.56,3.46,119.64,1.77,0.79,4.37
