timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,36.36,-16.47,100.09,-0.52,-0.32,-0.53
10,36.20,-13.12,99.72,-0.55,-0.30,-0.58
20,36.33,-8.51,100.76,-0.56,-0.31,-0.61
30,36.16,-4.20,100.30,-0.58,-0.34,-0.60
40,35.50,-2.10,98.48,-0.61,-0.35,-0.56
50,35.24,-1.90,96.65,-0.63,-0.33,-0.52
60,35.93,-2.64,96.70,-0.64,-0.30,-0.50
70,36.43,-5.11,97.72,-0.65,-0.27,-0.49
80,37.67,-11.55,99.42,-0.72,-0.24,-0.51
90,40.09,-22.09,101.96,-0.91,-0.23,-0.59
100,41.72,-31.94,105.81,-1.12,-0.26,-0.76
110,43.50,-39.67,110.84,-1.32,-0.38,-0.99
120,42.78,-45.19,111.95,-1.50,-0.53,-1.29
130,41.41,-45.50,110.90,-1.66,-0.68,-1.62
140,37.58,-42.45,106.57,-1.71,-0.82,-1.94
150,33.73,-39.00,100.31,-1.68,-0.86,-2.24
160,31.19,-39.89,97.43,-1.66,-0.83,-2.50
170,31.78,-46.55,99.06,-1.75,-0.77,-2.78
180,31.64,-54.72,102.47,-1.96,-0.76,-3.13
190,29.78,-60.94,104.81,-2.24,-0.78,-3.54
200,27.33,-66.22,107.71,-2.57,-0.80,-4.04
210,22.89,-61.97,112.28,-2.96,-0.86,-4.37
220,15.99,-53.92,112.81,-3.31,-1.01,-4.37
230,9.81,-41.35,108.84,-3.47,-1.13,-4.37
240,4.25,-22.01,99.63,-3.46,-1.18,-4.37
250,1.97,-4.90,89.57,-3.35,-1.07,-4.37
260,4.00,2.32,82.68,-3.22,-0.89,-4.37
270,7.28,7.11,78.56,-3.01,-0.70,-4.37
280,11.41,13.55,77.36,-2.76,-0.53,-4.37
290,16.19,22.40,76.62,-2.52,-0.40,-4.37
300,19.28,36.13,72.82,-2.30,-0.32,-4.37
310,25.86,50.35,70.95,-2.03,-0.16,-4.35
320,30.24,61.79,67.56,-1.77,-0.03,-3.88
330,36.78,70.47,64.80,-1.49,0.10,-3.38
340,41.72,75.88,62.56,-1.20,0.22,-2.83
350,44.83,78.84,59.18,-0.86,0.35,-2.29
