timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,36.31,-43.40,111.07,-1.06,-0.26,-0.78
10,35.54,-44.42,111.38,-1.23,-0.39,-1.09
20,34.40,-44.38,110.63,-1.36,-0.48,-1.40
30,33.55,-45.27,109.53,-1.45,-0.57,-1.71
40,32.25,-44.76,106.74,-1.56,-0.65,-2.02
50,30.82,-42.81,104.32,-1.66,-0.71,-2.32
60,30.31,-42.19,105.20,-1.80,-0.71,-2.61
70,30.51,-42.53,107.57,-2.01,-0.75,-2.89
80,30.51,-42.97,108.72,-2.26,-0.80,-3.18
90,30.15,-41.70,110.62,-2.51,-0.87,-3.46
100,31.19,-39.52,107.59,-2.68,-0.91,-3.57
110,20.50,-27.99,107.98,-2.81,-1.03,-3.85
120,22.54,-14.91,100.23,-2.86,-1.01,-3.98
130,22.95,-9.24,101.85,-2.72,-0.97,-4.01
140,23.46,0.52,96.06,-2.54,-1.01,-4.00
150,23.82,6.62,89.63,-2.31,-0.95,-3.88
160,26.07,5.27,84.63,-2.06,-0.85,-3.76
170,27.95,2.30,80.60,-1.79,-0.77,-3.70
180,28.83,3.43,76.93,-1.57,-0.68,-3.66
190,30.26,9.96,71.54,-1.40,-0.58,-3.58
200,32.07,16.74,67.39,-1.25,-0.43,-3.44
210,33.43,24.14,65.64,-1.10,-0.29,-3.28
220,36.82,32.80,64.44,-1.00,-0.12,-3.03
230,40.08,36.38,65.81,-0.91,0.02,-2.71
240,42.61,37.54,66.72,-0.80,0.12,-2.41
250,43.98,36.03,67.26,-0.67,0.22,-2.13
260,45.28,33.05,67.81,-0.55,0.30,-1.88
270,46.22,30.82,68.77,-0.42,0.40,-1.67
280,48.04,29.63,72.08,-0.35,0.45,-1.50
290,49.21,31.03,73.87,-0.30,0.50,-1.34
300,50.70,33.94,73.85,-0.24,0.53,-1.17
310,51.38,37.34,71.79,-0.18,0.59,-0.97
320,51.88,41.46,69.94,-0.12,0.70,-0.73
330,52.58,47.06,70.30,-0.02,0.82,-0.45
340,52.66,53.13,70.05,0.13,0.94,-0.11
350,53.03,60.21,70.51,0.30,1.09,0.28
360,53.45,69.59,71.46,0.51,1.23,0.74
370,53.13,79.01,75.73,0.76,1.35,1.31
380,51.06,82.68,81.17,1.02,1.45,1.92
390,47.06,80.28,86.56,1.32,1.50,2.50
400,42.00,73.45,93.27,1.62,1.53,2.98
410,36.72,64.12,99.00,1.90,1.50,3.38
420,31.72,54.07,104.47,2.19,1.45,3.68
430,22.94,46.11,111.34,2.43,1.36,3.83
440,26.54,40.04,111.67,2.55,1.25,3.97
450,24.17,31.71,117.54,2.58,1.17,4.11
460,23.44,28.33,120.03,2.43,1.02,4.17
470,21.78,25.37,120.60,2.21,0.88,4.24
480,20.57,21.88,117.61,1.94,0.77,4.30
490,19.17,16.55,116.16,1.64,0.72,4.34
500,20.16,9.66,114.05,1.34,0.65,4.35
510,18.44,0.07,113.69,1.13,0.67,4.37
520,17.69,-9.77,115.20,0.91,0.62,4.22
530,17.69,-17.71,113.74,0.70,0.56,4.05
540,18.54,-27.46,116.70,0.48,0.49,3.82
550,15.24,-35.01,116.28,0.33,0.34,3.44
560,22.54,-38.55,112.49,0.24,0.22,3.15
570,19.77,-46.68,114.28,0.18,0.14,2.87
580,20.87,-49.87,111.55,0.10,0.03,2.53
590,20.39,-52.89,109.14,0.02,-0.06,2.19
600,20.06,-53.67,106.75,-0.03,-0.14,1.88
610,20.47,-52.92,105.53,-0.09,-0.18,1.57
620,21.00,-55.20,104.18,-0.14,-0.19,1.27
630,21.77,-59.31,103.82,-0.21,-0.21,0.94
640,23.97,-63.28,104.29,-0.37,-0.24,0.58
650,25.30,-64.72,104.34,-0.55,-0.29,0.20
660,26.13,-64.13,103.17,-0.70,-0.34,-0.19
670,26.94,-63.55,103.41,-0.84,-0.36,-0.58
680,28.06,-62.72,104.13,-1.00,-0.39,-0.97
690,28.39,-59.85,103.88,-1.15,-0.43,-1.35
700,28.67,-60.36,104.41,-1.32,-0.44,-1.73
710,28.98,-64.99,106.25,-1.46,-0.44,-2.14
720,29.43,-66.23,110.93,-1.59,-0.50,-2.61
730,27.96,-64.38,112.76,-1.78,-0.64,-3.09
740,24.74,-59.44,111.29,-1.91,-0.74,-3.54
750,21.65,-51.29,108.09,-1.92,-0.81,-3.95
760,25.18,-41.14,102.42,-1.88,-0.88,-4.21
770,12.55,-36.78,103.34,-1.93,-0.89,-4.37
780,14.04,-28.30,97.99,-2.06,-0.88,-4.37
790,11.77,-23.75,99.20,-2.19,-0.83,-4.37
800,10.37,-17.27,100.03,-2.32,-0.81,-4.37
810,10.28,-10.72,100.09,-2.39,-0.77,-4.37
820,9.40,-1.91,95.89,-2.39,-0.78,-4.37
830,11.32,10.96,91.74,-2.32,-0.72,-4.37
840,14.28,25.11,84.72,-2.20,-0.65,-4.37
850,16.99,37.18,79.83,-2.01,-0.51,-4.37
860,22.46,47.36,76.48,-1.81,-0.35,-4.27
870,28.71,54.24,75.29,-1.57,-0.21,-3.83
880,38.25,58.98,73.34,-1.29,-0.10,-3.33
890,34.43,63.99,72.94,-1.09,-0.01,-2.89
900,37.72,69.17,67.30,-0.94,0.16,-2.43
910,40.82,70.51,69.30,-0.79,0.33,-1.95
920,43.47,70.82,70.34,-0.64,0.46,-1.51
930,45.02,71.22,72.10,-0.51,0.57,-1.10
940,46.08,71.67,72.61,-0.36,0.65,-0.70
950,46.17,73.63,71.29,-0.19,0.76,-0.30
960,46.45,74.21,72.33,-0.02,0.88,0.11
970,47.36,74.19,74.83,0.19,0.96,0.51
980,47.45,75.61,77.74,0.44,1.03,0.91
990,46.82,79.54,79.69,0.76,1.09,1.34
