timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,31.26,21.53,59.23,-1.86,-0.09,-4.02
10,34.95,31.27,59.38,-1.88,0.10,-3.67
20,38.55,38.89,63.26,-1.77,0.27,-3.33
30,43.68,40.14,68.45,-1.65,0.40,-2.96
40,46.05,38.53,70.87,-1.43,0.44,-2.65
50,47.70,39.15,70.03,-1.14,0.48,-2.40
60,48.87,40.42,69.33,-0.82,0.53,-2.17
70,49.87,42.53,69.52,-0.54,0.58,-1.96
80,50.61,42.79,69.53,-0.31,0.64,-1.74
90,51.52,43.92,70.39,-0.09,0.71,-1.54
100,52.90,46.78,71.33,0.10,0.77,-1.34
110,53.81,49.72,71.56,0.23,0.82,-1.11
120,54.59,50.20,72.27,0.35,0.88,-0.88
130,54.89,50.55,73.57,0.45,0.93,-0.65
140,55.01,51.75,75.40,0.54,0.97,-0.43
150,55.05,51.43,77.40,0.60,1.00,-0.20
160,54.74,50.83,78.68,0.66,1.02,0.02
170,54.04,52.63,78.06,0.71,1.04,0.24
180,53.02,57.59,76.99,0.75,1.09,0.49
190,51.69,63.82,74.63,0.79,1.17,0.81
200,51.16,68.78,74.49,0.92,1.30,1.18
210,50.32,73.98,76.42,1.10,1.41,1.58
220,48.00,76.38,78.87,1.26,1.48,2.01
230,41.28,76.94,81.00,1.40,1.55,2.43
240,39.29,72.43,83.95,1.57,1.60,2.85
250,33.31,64.87,90.69,1.79,1.62,3.19
260,29.43,57.02,97.76,2.01,1.61,3.46
270,25.57,51.20,102.98,2.25,1.57,3.65
280,23.22,47.96,105.05,2.48,1.53,3.81
290,20.02,45.90,105.61,2.61,1.50,3.95
300,17.49,45.28,107.59,2.65,1.48,4.10
310,15.65,45.13,111.27,2.59,1.44,4.26
320,13.98,41.77,114.78,2.43,1.37,4.37
330,12.81,35.97,117.55,2.24,1.26,4.37
340,11.94,29.20,118.30,2.04,1.17,4.37
350,11.19,20.63,117.45,1.75,1.06,4.37
360,12.00,9.93,116.43,1.47,0.95,4.37
370,13.63,3.03,113.86,1.30,0.85,4.37
380,13.83,-3.93,108.36,1.12,0.76,4.30
390,15.37,-10.10,109.72,0.96,0.73,4.09
400,17.44,-16.28,109.18,0.83,0.67,3.87
410,19.98,-21.25,108.73,0.72,0.64,3.64
420,20.69,-26.74,108.87,0.62,0.67,3.44
430,22.02,-32.48,113.42,0.45,0.63,3.13
440,23.50,-37.27,116.19,0.27,0.52,2.85
450,25.60,-45.58,117.99,0.05,0.42,2.55
460,27.78,-53.22,119.73,-0.16,0.26,2.17
470,28.37,-58.50,118.99,-0.32,0.10,1.76
480,29.30,-62.24,118.59,-0.44,-0.04,1.34
490,29.95,-65.81,117.55,-0.58,-0.17,0.90
500,30.28,-70.41,115.34,-0.86,-0.29,0.46
510,30.78,-75.95,116.46,-1.11,-0.37,-0.03
520,31.81,-81.75,120.40,-1.38,-0.48,-0.55
530,32.74,-87.98,125.11,-1.68,-0.62,-1.14
540,31.98,-92.23,127.81,-1.95,-0.82,-1.79
550,29.07,-91.64,126.90,-2.20,-1.04,-2.47
560,25.36,-88.82,124.33,-2.42,-1.20,-3.15
570,23.56,-79.32,118.17,-2.60,-1.29,-3.68
580,13.88,-64.14,115.79,-2.75,-1.41,-4.21
590,10.98,-49.29,107.64,-2.92,-1.42,-4.37
600,9.09,-41.53,109.54,-2.97,-1.35,-4.37
610,8.95,-30.43,111.95,-3.05,-1.36,-4.37
620,7.22,-18.33,110.77,-3.09,-1.40,-4.37
630,7.18,-7.37,105.43,-3.07,-1.40,-4.37
640,7.54,2.95,99.30,-2.99,-1.34,-4.37
650,10.40,13.37,93.18,-2.82,-1.21,-4.37
660,14.78,22.77,87.57,-2.60,-1.08,-4.37
670,18.74,32.31,81.32,-2.36,-0.95,-4.37
680,22.58,41.05,75.04,-2.11,-0.82,-4.37
690,26.58,48.80,70.32,-1.91,-0.66,-4.05
700,30.68,54.60,69.37,-1.73,-0.49,-3.65
710,33.86,59.27,69.01,-1.56,-0.33,-3.26
720,37.25,61.90,68.69,-1.37,-0.18,-2.86
730,40.10,63.49,68.54,-1.15,-0.04,-2.47
740,42.06,64.32,68.17,-0.93,0.08,-2.12
750,43.55,65.40,66.70,-0.72,0.19,-1.79
760,44.32,66.92,64.05,-0.53,0.30,-1.45
770,45.40,68.50,61.66,-0.37,0.44,-1.11
780,45.75,70.03,59.16,-0.25,0.60,-0.74
790,46.25,71.87,56.87,-0.15,0.76,-0.38
800,46.78,72.42,56.74,-0.05,0.92,-0.01
810,46.59,71.04,58.13,0.06,1.09,0.36
820,46.52,68.54,61.75,0.18,1.22,0.71
830,46.38,64.90,66.49,0.33,1.32,1.03
840,46.22,61.01,72.50,0.53,1.39,1.29
850,45.44,58.63,77.43,0.76,1.41,1.54
860,43.98,58.19,79.89,0.98,1.44,1.78
870,41.95,59.92,82.33,1.20,1.48,2.04
880,40.11,60.34,86.36,1.39,1.55,2.34
890,34.01,63.36,93.15,1.55,1.59,2.62
900,37.61,64.72,96.39,1.73,1.63,3.01
910,35.64,57.69,106.13,1.73,1.60,3.37
920,32.81,52.05,109.75,1.61,1.44,3.59
930,28.30,47.31,109.84,1.52,1.31,3.79
940,24.50,39.61,111.03,1.45,1.25,3.97
950,22.89,31.93,114.43,1.37,1.17,4.09
960,21.06,24.99,117.88,1.33,1.06,4.16
970,20.22,18.55,120.84,1.32,0.94,4.17
980,19.32,13.36,122.38,1.31,0.81,4.14
990,20.02,7.88,123.48,1.30,0.68,4.09
