timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,31.22,-48.70,143.53,-2.11,-1.58,-2.42
10,29.41,-53.17,139.10,-2.35,-1.79,-2.84
20,25.92,-52.38,133.40,-2.57,-1.93,-3.30
30,21.71,-44.74,125.99,-2.74,-2.06,-3.70
40,17.70,-37.05,117.16,-2.83,-2.08,-4.03
50,14.73,-29.29,109.05,-2.85,-1.97,-4.31
60,26.00,-25.49,109.18,-2.87,-1.86,-4.37
70,16.41,-24.43,115.74,-2.87,-1.97,-4.37
80,9.58,-12.96,101.42,-2.75,-2.11,-4.37
90,1.55,-6.05,91.20,-2.91,-2.07,-4.37
100,6.18,-0.54,81.00,-2.82,-2.03,-4.37
110,-0.82,17.15,76.17,-2.94,-1.97,-4.37
120,1.02,27.79,61.73,-2.90,-1.73,-4.37
130,4.54,37.06,57.70,-2.79,-1.41,-4.37
140,8.49,50.19,55.86,-2.73,-1.21,-4.37
150,11.40,62.72,54.14,-2.67,-0.96,-4.34
160,17.40,71.87,55.74,-2.55,-0.75,-3.92
170,19.42,79.83,52.58,-2.37,-0.55,-3.51
180,24.21,83.23,51.00,-2.13,-0.29,-3.10
190,27.54,86.23,46.77,-1.85,-0.08,-2.70
200,29.75,91.66,42.63,-1.56,0.12,-2.28
210,32.67,96.28,39.93,-1.23,0.35,-1.86
220,35.03,102.24,37.48,-0.79,0.58,-1.41
230,35.35,108.61,30.69,-0.32,0.88,-0.88
240,34.85,115.69,25.36,0.09,1.28,-0.27
250,35.45,124.43,25.38,0.38,1.65,0.32
260,35.16,131.37,33.46,0.71,1.93,1.05
270,33.66,134.98,45.51,1.19,2.24,1.81
280,30.69,132.27,60.20,1.80,2.53,2.60
290,27.59,120.76,73.78,2.34,2.73,3.29
300,23.91,107.22,86.56,2.77,2.82,3.83
310,21.07,93.72,99.34,3.15,2.81,4.23
320,19.53,83.14,109.14,3.46,2.74,4.37
330,16.36,74.80,119.13,3.67,2.64,4.37
340,9.93,62.96,130.60,3.72,2.50,4.37
350,13.22,55.60,142.07,3.65,2.30,4.37
360,9.50,45.76,153.31,3.55,2.05,4.37
370,7.11,38.60,153.75,3.36,1.82,4.37
380,10.58,23.13,153.31,3.02,1.68,4.37
390,11.36,11.56,157.52,2.57,1.39,4.37
400,16.60,1.10,158.39,2.04,1.22,4.37
410,8.46,-6.41,154.94,1.61,1.16,4.37
420,7.03,-24.97,150.48,0.98,1.03,4.37
430,17.43,-40.03,162.76,0.49,0.67,4.37
440,17.96,-53.56,150.86,0.07,0.51,4.23
450,18.78,-75.27,148.25,-0.21,0.44,3.79
460,21.38,-95.75,147.72,-0.56,0.25,3.16
470,22.36,-107.91,143.41,-0.87,0.01,2.41
480,11.47,-114.58,144.34,-1.09,-0.22,1.53
490,25.78,-109.31,133.90,-1.28,-0.48,0.58
500,24.81,-109.39,133.77,-1.25,-0.65,-0.05
510,22.26,-102.39,129.42,-1.26,-0.91,-0.67
520,18.99,-95.67,123.59,-1.34,-1.07,-1.30
530,16.87,-89.14,119.16,-1.45,-1.20,-1.90
540,16.95,-84.51,113.72,-1.66,-1.30,-2.44
550,15.93,-81.00,111.61,-2.01,-1.38,-3.01
560,14.35,-80.11,107.69,-2.50,-1.38,-3.58
570,20.51,-79.19,111.50,-3.02,-1.33,-4.11
580,8.45,-71.28,119.70,-3.51,-1.49,-4.37
590,0.81,-56.03,116.36,-3.97,-1.61,-4.37
600,-4.60,-43.84,111.22,-4.11,-1.56,-4.37
610,-11.06,-27.66,110.77,-4.01,-1.51,-4.37
620,-14.97,-11.04,104.01,-3.81,-1.45,-4.37
630,-16.56,6.26,96.59,-3.49,-1.34,-4.37
640,-16.26,24.72,91.69,-3.13,-1.22,-4.37
650,-12.97,40.16,86.99,-2.88,-1.07,-4.37
660,-8.32,57.22,81.84,-2.65,-0.95,-4.37
670,-0.83,73.94,80.22,-2.47,-0.84,-4.37
680,6.80,86.79,78.22,-2.38,-0.74,-4.37
690,16.09,98.00,75.67,-2.29,-0.66,-4.37
700,19.61,108.92,72.60,-2.14,-0.59,-4.20
710,27.44,117.04,65.41,-1.88,-0.45,-3.55
720,32.81,120.32,61.01,-1.49,-0.26,-2.87
730,37.91,118.98,63.03,-1.09,-0.08,-2.21
740,42.11,113.67,63.79,-0.73,0.03,-1.60
750,43.34,107.49,62.76,-0.37,0.12,-1.08
760,42.51,102.37,59.10,-0.05,0.23,-0.60
770,41.69,96.79,55.31,0.24,0.38,-0.17
780,40.08,94.29,49.90,0.48,0.57,0.24
790,39.32,94.79,46.56,0.70,0.82,0.67
800,38.73,97.18,44.29,0.95,1.09,1.11
810,36.50,100.94,43.98,1.24,1.40,1.60
820,35.72,101.41,47.12,1.56,1.71,2.13
830,34.16,98.91,56.15,1.93,2.00,2.64
840,32.44,92.91,67.87,2.21,2.12,3.09
850,28.89,85.60,74.52,2.44,2.17,3.47
860,23.81,75.37,78.46,2.64,2.23,3.78
870,20.02,64.79,86.10,2.80,2.26,3.96
880,17.67,57.78,94.56,2.92,2.23,4.05
890,15.14,53.03,101.91,2.93,2.19,4.08
900,18.03,46.29,108.83,2.83,2.15,4.14
910,16.90,42.93,116.79,2.64,2.05,4.19
920,17.62,40.40,120.54,2.32,1.94,4.24
930,18.67,37.33,125.60,2.00,1.81,4.31
940,18.47,35.11,126.18,1.73,1.62,4.37
