timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,38.35,-35.32,105.47,-1.13,-0.50,-1.32
10,37.47,-37.57,104.39,-1.23,-0.56,-1.58
20,37.17,-40.51,105.44,-1.35,-0.61,-1.86
30,36.18,-42.60,106.41,-1.48,-0.70,-2.16
40,34.62,-42.91,105.35,-1.58,-0.79,-2.48
50,32.42,-39.97,103.46,-1.66,-0.85,-2.79
60,31.06,-39.91,100.84,-1.80,-0.86,-3.04
70,29.37,-39.17,99.22,-1.99,-0.83,-3.30
80,26.43,-33.13,97.10,-2.22,-0.82,-3.50
90,32.11,-30.66,92.33,-2.35,-0.73,-3.50
100,17.89,-25.10,99.21,-2.47,-0.65,-3.67
110,22.18,-18.45,93.36,-2.55,-0.63,-3.87
120,20.79,-16.48,94.68,-2.40,-0.55,-3.91
130,20.63,-9.23,90.92,-2.26,-0.58,-4.00
140,22.00,-3.09,85.51,-2.11,-0.49,-3.99
150,22.58,5.11,82.08,-1.89,-0.43,-3.92
160,25.79,13.31,77.30,-1.68,-0.34,-3.78
170,27.36,18.25,77.27,-1.48,-0.24,-3.60
180,31.71,23.61,76.78,-1.31,-0.15,-3.38
190,32.66,31.31,75.45,-1.19,-0.10,-3.15
200,35.61,39.25,72.25,-1.09,0.00,-2.85
210,38.39,44.59,73.00,-0.99,0.11,-2.51
220,41.45,47.31,73.55,-0.86,0.22,-2.16
230,43.67,48.78,73.20,-0.69,0.29,-1.83
240,45.62,49.80,73.22,-0.54,0.38,-1.51
250,46.47,50.13,71.85,-0.39,0.46,-1.20
260,46.78,50.88,69.67,-0.21,0.56,-0.91
270,46.92,53.92,67.56,-0.05,0.70,-0.61
280,47.11,56.95,66.53,0.07,0.86,-0.27
290,47.67,58.52,68.74,0.24,1.00,0.07
300,47.72,60.08,72.17,0.45,1.11,0.41
310,47.91,61.49,76.99,0.67,1.19,0.75
320,46.99,66.33,80.17,0.96,1.25,1.11
330,46.55,70.67,83.98,1.31,1.36,1.54
340,46.25,72.59,90.57,1.56,1.41,2.02
350,44.56,70.50,95.37,1.65,1.37,2.49
360,41.04,68.01,98.24,1.67,1.28,2.90
370,36.85,66.97,102.65,1.71,1.22,3.30
380,32.48,61.81,108.52,1.76,1.17,3.69
390,23.61,51.77,118.11,1.78,1.08,3.94
400,28.10,41.68,119.20,1.80,0.92,4.14
410,23.84,28.25,124.27,1.83,0.82,4.29
420,22.04,19.97,125.00,1.78,0.66,4.30
430,21.99,11.70,124.60,1.70,0.53,4.30
440,21.58,5.19,120.28,1.62,0.45,4.30
450,18.92,-0.04,118.29,1.48,0.40,4.24
460,15.98,-4.25,117.36,1.29,0.36,4.14
470,17.22,-8.38,110.74,1.10,0.25,3.94
