timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,27.07,22.41,66.26,-1.63,-0.50,-3.82
10,27.87,23.94,69.66,-1.63,-0.36,-3.71
20,30.30,27.76,69.82,-1.62,-0.23,-3.57
30,36.77,32.69,69.93,-1.64,-0.14,-3.35
40,32.05,45.13,69.91,-1.68,-0.07,-3.14
50,35.93,55.11,64.91,-1.64,0.08,-2.81
60,39.59,58.05,65.19,-1.48,0.25,-2.44
70,42.98,58.32,64.86,-1.30,0.34,-2.10
80,44.67,57.09,65.30,-1.06,0.44,-1.81
90,46.08,57.37,65.91,-0.79,0.51,-1.55
100,46.62,58.10,64.27,-0.50,0.60,-1.28
110,46.82,60.17,62.41,-0.24,0.72,-1.03
120,47.05,62.48,62.71,-0.03,0.85,-0.76
130,47.53,63.92,66.72,0.14,0.98,-0.48
140,47.70,64.13,71.73,0.28,1.07,-0.21
150,48.09,64.43,76.58,0.39,1.12,0.06
160,48.30,65.08,80.58,0.47,1.14,0.35
170,48.26,65.94,82.33,0.55,1.16,0.64
180,48.04,67.77,83.33,0.63,1.19,0.94
190,47.16,70.80,82.94,0.74,1.23,1.29
200,45.90,72.60,81.33,0.87,1.32,1.68
210,44.18,74.83,83.30,1.00,1.41,2.08
220,42.45,73.33,86.63,1.15,1.48,2.50
230,39.48,70.85,90.29,1.37,1.50,2.88
240,31.60,67.75,96.02,1.60,1.54,3.21
250,33.32,63.76,100.08,1.78,1.53,3.50
260,27.98,56.49,106.44,1.94,1.49,3.80
270,23.88,52.55,112.51,2.03,1.40,4.02
280,21.21,45.40,116.75,2.06,1.31,4.22
290,18.44,37.54,120.74,2.02,1.18,4.34
300,17.26,30.03,121.33,1.92,1.06,4.37
310,16.40,24.24,120.85,1.79,0.93,4.37
320,16.12,19.21,118.36,1.63,0.82,4.37
330,16.25,13.03,114.62,1.45,0.73,4.36
340,15.99,7.97,110.21,1.24,0.65,4.28
350,15.11,6.14,104.79,1.08,0.60,4.19
360,14.72,2.15,100.82,0.95,0.60,4.09
370,15.71,-3.53,100.42,0.84,0.61,3.97
380,16.22,-8.51,101.84,0.77,0.59,3.81
390,17.36,-11.15,100.21,0.75,0.58,3.65
400,17.52,-15.26,103.70,0.75,0.61,3.49
410,17.96,-16.73,106.13,0.69,0.53,3.24
420,21.14,-19.01,104.55,0.66,0.51,3.11
430,21.17,-21.71,107.92,0.62,0.46,2.95
440,22.29,-24.09,108.65,0.52,0.38,2.77
450,23.02,-28.09,108.47,0.44,0.29,2.57
460,23.78,-30.98,107.64,0.37,0.20,2.33
470,24.28,-35.34,106.61,0.27,0.15,2.09
480,25.25,-40.78,106.30,0.16,0.11,1.82
490,26.74,-47.31,107.49,0.00,0.08,1.51
500,28.49,-53.60,109.93,-0.17,0.03,1.16
510,30.03,-58.46,111.50,-0.35,-0.05,0.75
520,31.23,-62.33,112.02,-0.54,-0.13,0.32
530,32.01,-63.82,112.65,-0.74,-0.23,-0.13
540,32.08,-63.87,112.17,-0.93,-0.33,-0.59
550,31.98,-62.06,111.95,-1.09,-0.41,-1.05
560,31.87,-58.73,114.57,-1.27,-0.50,-1.47
570,31.56,-58.58,114.19,-1.46,-0.60,-1.90
580,31.22,-58.04,116.52,-1.60,-0.72,-2.33
590,29.18,-58.13,117.01,-1.79,-0.86,-2.78
600,28.41,-60.83,117.97,-1.99,-0.88,-3.25
610,27.40,-63.17,124.06,-2.34,-0.98,-3.73
620,27.90,-62.29,123.03,-2.66,-1.21,-4.10
630,13.59,-49.89,122.46,-2.72,-1.42,-4.37
640,9.76,-33.49,111.62,-2.80,-1.51,-4.37
650,5.74,-22.34,105.94,-2.75,-1.46,-4.37
660,3.16,-16.45,99.26,-2.63,-1.37,-4.37
670,4.23,-13.22,99.05,-2.49,-1.23,-4.37
680,3.64,-4.85,94.47,-2.37,-1.19,-4.37
690,2.62,3.98,90.28,-2.24,-1.09,-4.37
700,5.19,13.54,84.95,-2.14,-0.96,-4.37
710,5.72,25.94,78.53,-2.03,-0.82,-4.37
720,10.27,35.72,77.89,-1.95,-0.65,-4.37
730,14.97,44.86,76.03,-1.88,-0.51,-4.37
740,19.97,54.67,74.05,-1.82,-0.39,-4.29
750,23.00,64.68,72.40,-1.73,-0.26,-3.86
760,27.92,71.45,69.98,-1.66,-0.13,-3.40
770,32.20,73.31,69.39,-1.51,-0.01,-2.92
780,35.44,74.08,68.34,-1.29,0.10,-2.49
790,37.43,75.13,66.62,-1.06,0.20,-2.12
800,38.38,75.92,63.12,-0.78,0.35,-1.71
810,39.57,76.96,60.93,-0.52,0.54,-1.32
820,40.70,78.64,59.67,-0.28,0.73,-0.94
830,41.52,79.96,60.39,-0.06,0.92,-0.55
840,42.23,80.17,63.92,0.15,1.08,-0.16
850,43.13,80.05,68.82,0.34,1.18,0.22
860,43.65,79.29,73.67,0.56,1.27,0.61
870,43.82,78.74,77.80,0.81,1.36,0.97
880,43.42,77.23,82.42,1.08,1.42,1.34
890,41.95,74.97,85.09,1.34,1.43,1.69
900,40.45,72.70,87.46,1.61,1.44,2.02
910,38.65,69.17,90.22,1.86,1.45,2.33
920,32.86,65.59,92.87,2.03,1.44,2.58
930,35.11,64.10,92.31,2.16,1.36,2.78
940,32.14,57.79,96.38,2.23,1.40,2.99
950,31.36,53.09,101.43,2.22,1.34,3.11
960,29.68,51.09,104.19,2.06,1.26,3.20
970,28.79,48.73,106.30,1.78,1.19,3.31
980,28.13,45.82,107.89,1.45,1.09,3.40
990,26.50,43.55,109.33,1.15,1.00,3.48
