timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,30.43,-15.04,112.98,-0.66,0.15,0.38
10,32.39,-22.29,113.47,-0.79,0.03,0.19
20,32.93,-30.37,113.40,-0.90,-0.07,-0.06
30,32.45,-35.02,114.59,-0.99,-0.14,-0.38
40,32.19,-39.54,116.41,-1.13,-0.27,-0.73
50,31.56,-43.80,117.00,-1.28,-0.42,-1.12
60,29.60,-44.85,115.22,-1.42,-0.58,-1.54
70,27.67,-41.64,112.90,-1.54,-0.72,-1.95
80,26.11,-38.88,111.94,-1.63,-0.83,-2.30
90,24.18,-35.30,110.92,-1.69,-0.94,-2.64
100,25.63,-34.88,113.53,-1.75,-1.04,-2.86
110,20.04,-39.05,114.46,-1.88,-1.15,-3.24
120,20.81,-41.33,113.83,-2.07,-1.25,-3.63
130,16.63,-42.58,113.47,-2.27,-1.34,-4.04
140,12.58,-39.73,112.44,-2.48,-1.41,-4.37
150,8.86,-33.22,111.90,-2.63,-1.47,-4.37
160,2.59,-17.98,107.86,-2.75,-1.52,-4.37
170,-2.22,-8.44,106.08,-2.90,-1.48,-4.37
180,-1.69,-3.30,105.77,-2.90,-1.40,-4.37
190,-2.36,3.09,105.50,-2.86,-1.40,-4.37
200,-1.88,16.19,99.07,-2.78,-1.40,-4.37
210,-1.27,29.71,91.99,-2.61,-1.34,-4.37
220,2.58,39.67,85.89,-2.36,-1.18,-4.37
230,6.41,43.87,83.68,-2.11,-1.01,-4.37
240,12.78,47.53,81.64,-1.90,-0.90,-4.37
250,16.42,56.00,78.85,-1.72,-0.82,-4.37
260,18.85,62.83,76.81,-1.58,-0.71,-4.05
270,22.53,69.05,73.87,-1.44,-0.57,-3.67
280,26.31,76.96,70.14,-1.27,-0.46,-3.22
290,29.48,87.59,64.36,-1.06,-0.32,-2.74
300,33.59,94.12,62.27,-0.82,-0.11,-2.19
310,36.58,96.87,59.70,-0.59,0.06,-1.62
320,38.29,96.37,60.24,-0.37,0.25,-1.09
330,39.69,93.36,60.94,-0.16,0.40,-0.58
340,39.67,88.72,60.72,0.07,0.57,-0.10
350,39.98,85.44,61.37,0.35,0.74,0.33
360,39.23,81.94,62.40,0.68,0.91,0.72
370,38.72,78.56,64.80,0.95,1.08,1.06
380,38.69,77.42,69.04,1.17,1.20,1.39
390,37.75,78.87,71.51,1.40,1.31,1.75
400,36.40,80.80,75.37,1.62,1.43,2.14
410,35.01,80.10,81.40,1.83,1.54,2.55
420,32.77,77.16,86.57,1.99,1.61,2.95
430,30.69,74.05,91.73,2.09,1.65,3.32
440,26.93,72.16,95.85,2.22,1.69,3.67
450,22.81,68.25,103.19,2.33,1.74,3.99
460,19.85,63.92,109.40,2.37,1.71,4.25
470,16.71,55.56,117.84,2.39,1.65,4.37
480,14.13,47.08,122.49,2.38,1.56,4.37
490,12.39,38.82,125.66,2.34,1.44,4.37
500,10.13,33.07,127.98,2.30,1.31,4.37
510,7.75,28.59,127.39,2.24,1.20,4.37
520,7.68,24.16,124.69,2.12,1.14,4.37
530,7.34,18.91,123.52,1.99,1.09,4.37
540,5.24,11.97,124.33,1.79,1.04,4.37
550,4.75,9.76,119.22,1.56,0.93,4.37
560,4.17,3.43,114.33,1.36,0.94,4.37
570,5.93,-7.37,116.46,1.13,0.95,4.37
580,8.56,-15.81,121.83,0.87,0.86,4.37
590,9.70,-25.10,123.03,0.65,0.71,4.19
600,12.09,-33.53,120.79,0.44,0.56,3.85
610,13.00,-41.79,117.18,0.19,0.44,3.50
620,15.57,-54.26,116.23,-0.12,0.40,3.13
630,20.40,-71.26,118.02,-0.41,0.35,2.67
640,24.03,-84.90,119.76,-0.62,0.20,2.09
650,24.16,-92.31,118.92,-0.75,0.01,1.41
660,23.42,-94.19,116.22,-0.85,-0.15,0.70
670,22.34,-92.26,114.37,-0.91,-0.29,-0.00
680,20.59,-86.51,111.82,-0.94,-0.42,-0.67
690,19.17,-78.51,109.94,-0.98,-0.50,-1.26
700,18.53,-72.50,108.99,-1.08,-0.55,-1.76
710,18.84,-71.18,111.06,-1.28,-0.58,-2.22
720,19.45,-77.86,116.19,-1.59,-0.66,-2.73
730,20.16,-86.93,121.25,-1.99,-0.75,-3.38
740,19.61,-88.40,125.45,-2.32,-0.95,-3.99
750,8.31,-77.43,122.40,-2.57,-1.18,-4.37
760,1.24,-63.93,116.15,-2.70,-1.24,-4.37
770,-5.24,-49.85,113.84,-2.68,-1.24,-4.37
780,-12.53,-30.04,105.87,-2.59,-1.24,-4.37
790,-16.52,-9.84,100.33,-2.47,-1.13,-4.37
800,-18.10,6.50,97.73,-2.33,-1.00,-4.37
810,-15.72,14.30,100.40,-2.24,-0.86,-4.37
820,-13.25,24.54,105.83,-2.24,-0.85,-4.37
830,-11.79,39.37,107.77,-2.30,-0.88,-4.37
840,-7.87,55.34,104.69,-2.29,-0.93,-4.37
850,-4.20,71.80,100.30,-2.21,-0.93,-4.37
860,1.89,85.02,94.89,-2.05,-0.90,-4.37
870,7.33,95.43,89.75,-1.86,-0.83,-4.37
880,13.14,101.73,83.49,-1.64,-0.73,-4.18
890,19.31,107.63,78.04,-1.35,-0.61,-3.62
900,23.23,112.32,74.42,-1.04,-0.49,-3.04
910,28.43,114.84,71.38,-0.75,-0.35,-2.43
920,31.58,113.35,69.39,-0.48,-0.25,-1.84
930,33.69,108.67,66.54,-0.22,-0.13,-1.29
940,34.95,102.79,63.87,0.02,0.00,-0.81
950,35.25,97.59,62.21,0.23,0.16,-0.37
960,36.05,93.31,61.60,0.40,0.31,0.04
970,36.43,90.00,61.13,0.54,0.44,0.38
980,36.03,87.87,59.99,0.66,0.59,0.75
990,36.11,87.05,59.01,0.81,0.76,1.13
