timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,36.24,-10.19,99.69,-0.29,-0.09,-0.23
10,36.32,-11.02,100.06,-0.34,-0.12,-0.30
20,36.30,-12.04,101.14,-0.41,-0.14,-0.36
30,36.93,-15.90,103.43,-0.56,-0.16,-0.43
40,37.75,-23.42,107.17,-0.77,-0.19,-0.53
50,39.01,-33.77,111.60,-1.04,-0.26,-0.70
60,39.52,-42.87,114.39,-1.30,-0.39,-0.97
70,39.08,-51.10,114.89,-1.52,-0.52,-1.31
80,37.39,-59.40,114.93,-1.75,-0.65,-1.74
90,34.04,-63.97,114.73,-1.93,-0.79,-2.24
100,30.82,-65.18,115.00,-2.06,-0.91,-2.74
110,27.07,-62.43,115.12,-2.17,-1.02,-3.22
120,22.92,-55.97,113.53,-2.26,-1.14,-3.65
130,20.02,-44.55,109.78,-2.32,-1.22,-3.97
140,27.87,-32.00,101.02,-2.35,-1.22,-4.05
150,12.63,-25.94,105.42,-2.41,-1.17,-4.16
160,16.08,-11.93,96.78,-2.54,-1.19,-4.28
170,17.77,-9.04,96.03,-2.61,-1.07,-4.21
180,19.01,-9.88,95.00,-2.61,-1.02,-4.20
190,20.59,-10.25,94.90,-2.61,-0.96,-4.20
200,21.69,-11.29,93.47,-2.53,-0.94,-4.23
210,22.21,-8.68,89.43,-2.37,-0.92,-4.28
220,22.72,1.08,82.98,-2.19,-0.86,-4.27
230,22.92,11.83,74.14,-1.99,-0.73,-4.17
240,27.90,22.13,67.54,-1.75,-0.52,-3.97
250,28.81,34.01,65.78,-1.56,-0.33,-3.72
260,34.53,45.64,64.60,-1.41,-0.13,-3.36
270,38.58,51.48,66.28,-1.26,0.04,-2.93
280,42.23,54.25,67.13,-1.06,0.17,-2.49
290,46.14,53.88,69.39,-0.87,0.26,-2.09
300,47.09,53.40,68.38,-0.68,0.34,-1.74
310,48.04,53.91,65.46,-0.48,0.43,-1.41
320,47.99,56.19,59.51,-0.27,0.57,-1.07
330,47.85,59.65,55.38,-0.07,0.77,-0.73
340,48.53,64.22,55.29,0.17,0.99,-0.36
350,49.52,66.73,59.59,0.43,1.19,0.03
360,49.18,68.24,62.77,0.64,1.34,0.43
370,48.12,70.52,64.94,0.82,1.48,0.85
380,46.28,72.12,67.37,1.05,1.62,1.28
390,46.63,71.65,76.44,1.30,1.74,1.70
400,45.49,69.12,85.65,1.53,1.75,2.09
410,43.42,66.06,92.23,1.71,1.69,2.45
420,40.52,61.95,96.09,1.83,1.63,2.77
430,32.88,56.61,101.39,1.93,1.55,3.02
440,35.91,53.87,101.18,1.99,1.42,3.23
450,33.06,48.39,107.14,2.02,1.38,3.48
460,30.35,46.01,110.83,1.99,1.28,3.65
470,28.76,43.46,114.01,1.89,1.18,3.82
480,26.30,39.59,115.86,1.75,1.07,3.98
490,24.36,33.87,118.21,1.61,0.99,4.12
500,22.73,27.34,119.66,1.48,0.89,4.22
510,21.46,20.53,120.85,1.41,0.80,4.27
520,22.06,13.25,120.75,1.36,0.70,4.28
530,19.46,6.32,119.66,1.32,0.63,4.31
540,18.14,-0.89,120.68,1.22,0.56,4.21
550,16.01,-6.83,115.27,1.09,0.46,4.10
560,15.82,-15.73,116.53,0.90,0.44,3.98
570,16.86,-28.10,117.48,0.65,0.38,3.78
580,18.50,-41.45,118.58,0.37,0.28,3.49
590,19.42,-51.89,119.56,0.14,0.15,3.12
600,19.18,-58.73,117.68,-0.02,-0.01,2.70
610,18.56,-60.54,113.74,-0.11,-0.15,2.27
620,18.20,-59.74,110.96,-0.16,-0.22,1.87
630,17.86,-57.92,107.85,-0.21,-0.28,1.50
640,17.63,-57.59,105.20,-0.26,-0.30,1.17
650,18.15,-57.99,104.93,-0.30,-0.30,0.84
660,18.78,-59.24,105.05,-0.37,-0.31,0.51
670,20.80,-62.10,106.20,-0.49,-0.33,0.16
680,23.13,-64.49,108.00,-0.67,-0.38,-0.21
690,24.99,-65.48,108.36,-0.87,-0.45,-0.61
700,26.59,-66.53,108.97,-1.09,-0.51,-1.02
710,28.00,-68.22,110.30,-1.35,-0.58,-1.46
720,28.80,-70.70,111.43,-1.65,-0.66,-1.92
730,28.33,-72.80,111.51,-1.93,-0.76,-2.43
740,26.93,-73.69,111.07,-2.15,-0.85,-2.98
750,23.82,-72.26,111.49,-2.30,-0.90,-3.56
760,20.22,-65.44,110.74,-2.40,-0.96,-4.10
770,16.05,-56.51,108.38,-2.44,-1.03,-4.37
780,20.30,-46.83,103.14,-2.47,-1.05,-4.37
790,5.71,-40.47,107.05,-2.55,-1.02,-4.37
800,5.82,-26.92,99.86,-2.65,-1.04,-4.37
810,3.13,-11.29,96.02,-2.60,-0.98,-4.37
820,3.36,3.09,89.87,-2.49,-0.91,-4.37
830,6.21,15.51,84.74,-2.33,-0.75,-4.37
840,10.60,25.71,81.33,-2.13,-0.61,-4.37
850,15.41,34.80,78.26,-1.94,-0.49,-4.37
860,19.31,42.94,76.28,-1.81,-0.37,-4.37
870,26.50,47.36,77.20,-1.67,-0.24,-4.17
880,27.66,50.03,81.87,-1.56,-0.17,-3.77
890,32.78,54.37,78.92,-1.46,-0.12,-3.42
900,35.22,58.26,75.95,-1.30,-0.05,-3.03
910,39.44,61.98,76.42,-1.14,0.05,-2.63
920,41.44,64.63,72.44,-0.98,0.14,-2.24
930,42.84,68.99,67.81,-0.81,0.28,-1.84
940,44.33,72.47,64.71,-0.66,0.46,-1.42
950,46.11,74.96,63.30,-0.53,0.65,-0.98
960,47.12,78.57,63.39,-0.38,0.83,-0.52
970,48.44,79.98,68.42,-0.18,0.99,-0.06
980,49.49,80.40,73.87,0.07,1.06,0.35
990,49.31,80.78,77.28,0.38,1.13,0.80
