timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,24.76,32.74,68.62,-1.74,-0.40,-4.06
10,34.91,41.70,68.45,-1.62,-0.26,-3.72
20,29.54,48.43,71.67,-1.52,-0.15,-3.34
30,36.05,55.65,68.16,-1.39,0.00,-2.99
40,39.61,57.90,71.04,-1.21,0.14,-2.60
50,42.67,60.51,71.11,-1.03,0.19,-2.22
60,45.12,61.34,71.69,-0.83,0.25,-1.85
70,46.54,61.87,70.48,-0.61,0.31,-1.51
80,47.96,63.32,68.63,-0.37,0.38,-1.18
90,49.35,64.87,66.69,-0.12,0.47,-0.84
100,50.71,65.85,65.53,0.12,0.58,-0.49
110,51.23,67.26,64.86,0.35,0.70,-0.14
120,51.52,67.96,65.44,0.51,0.81,0.20
130,51.43,67.10,67.30,0.65,0.94,0.58
140,51.09,66.32,69.99,0.75,1.04,0.96
150,50.13,66.73,72.91,0.87,1.15,1.34
160,48.36,68.44,77.14,1.02,1.26,1.75
170,47.24,68.36,81.61,1.17,1.37,2.19
180,45.20,66.83,86.63,1.28,1.41,2.60
190,43.05,65.12,91.19,1.32,1.39,2.98
200,38.89,61.93,94.25,1.38,1.36,3.36
210,33.95,57.21,97.23,1.50,1.37,3.71
220,29.45,51.25,102.66,1.66,1.37,4.02
230,19.52,44.97,112.37,1.82,1.31,4.22
240,23.87,39.93,114.74,1.97,1.19,4.37
250,18.45,30.90,122.80,2.08,1.12,4.37
260,15.30,23.75,126.55,2.05,0.98,4.37
270,13.02,16.87,127.34,1.95,0.83,4.37
280,11.85,9.53,127.08,1.79,0.71,4.37
290,12.77,0.89,124.93,1.59,0.67,4.37
300,9.40,-14.09,125.13,1.39,0.60,4.37
310,9.73,-25.20,124.65,1.21,0.53,4.37
320,7.54,-36.59,125.43,0.96,0.41,4.31
330,16.66,-48.90,121.62,0.70,0.33,3.98
340,16.59,-63.24,123.61,0.48,0.21,3.61
350,18.58,-70.79,119.86,0.22,0.03,3.11
360,18.54,-76.48,115.79,0.01,-0.12,2.59
370,18.04,-77.22,110.41,-0.09,-0.24,2.05
380,17.88,-74.95,107.01,-0.14,-0.30,1.54
390,17.50,-71.21,103.74,-0.17,-0.34,1.09
400,17.48,-67.49,101.23,-0.19,-0.36,0.68
410,18.22,-64.64,99.05,-0.23,-0.35,0.32
420,19.44,-63.43,98.41,-0.33,-0.34,-0.02
430,21.34,-62.10,98.65,-0.49,-0.34,-0.34
440,23.82,-63.26,100.37,-0.72,-0.34,-0.65
450,26.92,-67.19,104.94,-1.02,-0.35,-1.00
460,29.65,-71.58,110.13,-1.37,-0.40,-1.42
470,30.70,-74.12,113.33,-1.68,-0.53,-1.90
480,29.56,-74.96,113.72,-1.92,-0.65,-2.41
490,28.23,-75.24,114.51,-2.17,-0.72,-2.94
500,24.68,-74.30,113.39,-2.35,-0.82,-3.49
510,20.91,-67.75,110.89,-2.39,-0.90,-4.02
520,24.97,-57.10,105.07,-2.33,-0.96,-4.37
530,8.19,-45.23,104.06,-2.17,-0.89,-4.37
540,8.88,-30.22,95.98,-2.14,-0.88,-4.37
550,7.88,-20.72,92.43,-2.10,-0.74,-4.37
560,9.94,-12.48,98.47,-2.07,-0.69,-4.37
570,12.43,-4.80,97.16,-2.10,-0.66,-4.37
580,12.04,6.13,94.42,-2.08,-0.65,-4.37
590,12.42,15.53,89.22,-2.00,-0.60,-4.37
600,17.57,22.36,84.97,-1.91,-0.54,-4.37
610,17.86,29.55,83.34,-1.77,-0.47,-4.37
620,20.99,41.51,76.46,-1.65,-0.41,-4.27
630,24.93,48.70,72.27,-1.48,-0.25,-3.90
640,29.95,49.08,75.24,-1.37,-0.11,-3.55
650,34.75,51.62,79.55,-1.32,-0.06,-3.22
660,41.84,52.52,80.92,-1.24,-0.05,-2.82
670,36.51,58.73,80.57,-1.15,-0.04,-2.55
680,40.61,62.16,76.33,-1.02,0.07,-2.21
690,43.58,64.95,75.39,-0.86,0.15,-1.86
700,45.74,68.04,73.61,-0.71,0.23,-1.50
710,47.56,69.67,72.91,-0.54,0.33,-1.12
720,49.18,71.59,71.34,-0.38,0.41,-0.76
730,49.66,74.84,67.50,-0.25,0.51,-0.35
740,49.88,75.72,64.54,-0.13,0.67,0.09
750,50.82,74.36,66.21,0.05,0.80,0.50
760,50.62,73.47,68.72,0.33,0.90,0.89
770,49.76,73.62,72.09,0.69,1.01,1.29
780,48.38,75.11,76.00,1.09,1.12,1.71
790,46.86,73.78,77.68,1.49,1.21,2.15
800,44.63,72.40,82.60,1.80,1.28,2.55
810,41.76,70.74,87.58,1.96,1.30,2.93
820,38.05,70.40,91.66,2.01,1.30,3.30
830,34.16,69.24,96.58,1.97,1.31,3.67
840,30.15,65.54,103.07,1.83,1.30,4.03
850,22.93,58.60,110.15,1.66,1.20,4.27
860,25.19,49.29,111.55,1.58,1.11,4.37
870,20.73,37.92,116.33,1.57,1.01,4.37
880,18.92,29.23,115.92,1.56,0.89,4.37
890,16.68,20.72,115.13,1.56,0.78,4.37
900,15.81,15.67,113.24,1.54,0.68,4.37
910,14.42,13.45,112.56,1.49,0.62,4.37
920,12.77,9.79,112.00,1.39,0.54,4.37
930,12.70,4.74,110.56,1.30,0.46,4.37
940,11.83,-1.58,109.65,1.21,0.43,4.37
950,8.69,-11.41,110.14,1.10,0.44,4.37
960,9.15,-21.59,109.84,0.93,0.43,4.36
970,9.47,-33.23,110.82,0.74,0.45,4.14
980,10.53,-45.80,113.15,0.51,0.38,3.86
990,12.46,-56.39,112.95,0.28,0.25,3.52
