timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,22.65,-19.42,107.53,-2.16,-1.81,-3.52
10,22.82,-16.13,106.25,-2.16,-1.77,-3.71
20,22.86,-17.06,110.69,-2.28,-1.72,-3.92
30,30.98,-23.74,118.04,-2.57,-1.89,-4.19
40,23.87,-24.51,132.48,-2.92,-2.24,-4.37
50,18.60,-23.64,123.49,-3.15,-2.62,-4.37
60,4.20,-18.24,102.80,-3.70,-2.87,-4.37
70,-1.47,-5.52,85.04,-3.73,-2.83,-4.37
80,13.28,12.12,74.52,-3.60,-2.61,-4.37
90,-0.55,29.61,75.53,-3.29,-2.46,-4.37
100,6.32,48.55,64.16,-2.95,-2.10,-4.37
110,12.71,55.85,54.75,-2.49,-1.72,-4.37
120,17.75,63.18,53.23,-2.15,-1.46,-4.37
130,23.97,66.02,58.08,-2.04,-1.27,-4.14
140,28.62,71.36,57.18,-1.99,-1.13,-3.77
150,29.87,77.76,53.00,-1.86,-1.01,-3.32
160,33.11,87.40,45.28,-1.78,-0.74,-2.89
170,37.00,91.93,40.71,-1.64,-0.46,-2.39
180,40.13,95.08,39.49,-1.44,-0.21,-1.88
190,42.43,94.16,39.42,-1.16,0.02,-1.39
200,43.93,89.90,40.57,-0.83,0.21,-0.97
210,44.04,86.07,37.45,-0.44,0.39,-0.60
220,44.05,86.72,33.05,-0.05,0.66,-0.22
230,43.93,86.61,29.82,0.32,0.95,0.15
240,43.45,86.43,26.68,0.73,1.30,0.53
250,42.16,88.72,22.83,1.06,1.70,0.93
260,39.76,94.64,20.76,1.31,2.13,1.40
270,37.38,100.74,26.27,1.50,2.56,1.95
280,34.40,101.65,39.50,1.69,2.94,2.52
290,30.42,95.62,55.86,1.93,3.21,3.06
300,27.02,83.71,74.90,2.23,3.36,3.49
310,24.09,70.58,94.94,2.60,3.37,3.78
320,21.87,59.95,112.82,2.99,3.26,3.95
330,16.80,50.79,128.33,3.30,3.09,4.04
340,22.72,44.43,134.76,3.42,2.83,4.04
350,22.46,40.89,138.02,3.44,2.56,4.09
360,21.59,39.26,138.12,3.29,2.31,4.10
370,22.63,38.21,139.92,3.08,2.09,4.13
380,22.76,35.37,139.41,2.83,1.87,4.14
390,23.39,31.76,136.07,2.53,1.66,4.14
400,22.42,29.77,133.62,2.20,1.51,4.15
410,19.51,31.00,128.67,1.87,1.38,4.22
420,23.50,22.36,125.94,1.59,1.37,4.30
430,23.17,10.68,136.00,1.37,1.34,4.33
440,24.29,0.85,140.52,1.07,1.16,4.17
450,23.93,-5.06,137.94,0.86,0.90,4.09
460,20.97,-11.70,133.58,0.68,0.91,4.19
470,26.55,-26.17,138.32,0.46,0.76,3.75
480,26.93,-40.14,135.49,0.13,0.53,3.34
490,27.80,-52.87,131.22,-0.06,0.36,2.90
500,28.40,-61.63,129.37,-0.20,0.18,2.40
510,29.54,-65.51,127.01,-0.37,0.01,1.89
520,29.63,-66.77,125.67,-0.53,-0.16,1.39
530,29.74,-67.84,124.16,-0.69,-0.32,0.90
540,30.32,-71.00,123.44,-0.88,-0.46,0.42
550,31.18,-74.04,123.00,-1.10,-0.62,-0.10
560,30.88,-74.77,121.66,-1.32,-0.79,-0.64
570,30.31,-72.81,120.82,-1.52,-0.95,-1.18
580,29.79,-71.76,121.07,-1.75,-1.09,-1.72
590,29.24,-69.69,122.35,-2.01,-1.24,-2.27
600,27.99,-67.46,123.96,-2.35,-1.37,-2.80
610,25.87,-65.27,123.17,-2.70,-1.51,-3.33
620,21.23,-57.65,118.82,-2.98,-1.64,-3.86
630,17.22,-48.03,116.26,-3.23,-1.70,-4.29
640,12.66,-37.59,110.11,-3.44,-1.74,-4.37
650,10.79,-28.34,109.12,-3.57,-1.72,-4.37
660,13.83,-19.29,103.84,-3.62,-1.76,-4.37
670,1.93,-7.98,103.25,-3.53,-1.71,-4.37
680,1.53,12.87,94.10,-3.47,-1.68,-4.37
690,0.42,29.60,84.83,-3.31,-1.47,-4.37
700,4.94,40.57,82.25,-3.05,-1.28,-4.37
