timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,37.25,-19.95,103.19,-0.95,0.03,-0.76
10,38.55,-27.46,106.76,-1.10,0.00,-0.94
20,38.63,-37.09,110.61,-1.31,-0.09,-1.21
30,40.06,-48.43,115.32,-1.60,-0.17,-1.57
40,38.72,-55.12,119.02,-1.83,-0.35,-2.03
50,35.07,-54.80,119.05,-1.92,-0.59,-2.54
60,30.52,-51.62,116.93,-1.95,-0.78,-3.03
70,26.72,-46.99,113.30,-1.95,-0.91,-3.49
80,21.85,-43.30,110.96,-1.99,-0.95,-3.87
90,20.34,-44.08,112.09,-2.10,-0.92,-4.27
100,22.05,-40.02,118.19,-2.30,-1.08,-4.37
110,11.96,-45.27,118.28,-2.40,-1.24,-4.37
120,8.03,-34.49,118.44,-2.63,-1.48,-4.37
130,3.37,-20.83,108.20,-2.76,-1.58,-4.37
140,-0.04,-7.56,98.20,-2.67,-1.57,-4.37
150,-0.60,7.48,86.51,-2.52,-1.46,-4.37
160,1.06,21.23,77.87,-2.32,-1.22,-4.37
170,6.61,33.27,74.89,-2.12,-1.00,-4.37
180,12.68,47.40,72.41,-1.89,-0.80,-4.37
190,18.54,58.86,71.32,-1.67,-0.65,-4.37
200,22.67,63.15,71.38,-1.39,-0.52,-4.00
210,27.55,63.02,69.45,-1.08,-0.37,-3.57
220,31.67,59.90,69.53,-0.78,-0.24,-3.18
230,33.92,57.23,69.53,-0.56,-0.16,-2.87
240,35.17,57.03,69.97,-0.42,-0.08,-2.60
250,36.42,58.98,69.45,-0.30,0.00,-2.35
260,37.23,62.29,67.49,-0.23,0.08,-2.09
270,38.05,66.99,65.19,-0.17,0.19,-1.81
280,48.52,69.84,62.71,-0.09,0.28,-1.47
290,35.74,71.95,66.12,0.01,0.37,-1.19
300,41.16,77.54,62.00,0.12,0.56,-0.90
310,43.48,77.68,63.04,0.32,0.75,-0.55
320,44.86,80.31,64.49,0.45,0.87,-0.20
330,45.37,81.31,66.02,0.58,0.99,0.18
340,45.24,81.81,67.21,0.72,1.11,0.56
350,44.58,82.29,68.74,0.85,1.23,0.94
360,43.60,83.94,71.76,0.98,1.36,1.35
370,41.87,84.64,76.44,1.14,1.50,1.79
380,39.71,84.03,83.61,1.32,1.63,2.24
