timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,21.87,40.36,68.72,-2.08,-0.92,-4.37
10,25.36,43.01,64.94,-1.95,-0.70,-4.08
20,26.73,44.42,64.94,-1.77,-0.50,-3.80
30,31.10,47.98,66.40,-1.62,-0.30,-3.53
40,34.53,50.87,70.18,-1.46,-0.17,-3.24
50,35.64,50.63,77.42,-1.31,-0.11,-2.93
60,38.65,58.01,76.25,-1.23,-0.09,-2.69
70,41.32,61.91,72.55,-1.07,-0.01,-2.37
80,44.59,65.86,71.00,-0.90,0.03,-2.07
90,46.75,69.11,68.29,-0.74,0.08,-1.74
100,47.52,70.81,67.14,-0.54,0.15,-1.40
110,48.64,70.28,64.74,-0.34,0.23,-1.07
120,49.36,68.32,62.03,-0.15,0.34,-0.76
130,49.75,66.87,59.92,0.04,0.48,-0.47
140,49.85,65.37,59.50,0.22,0.64,-0.19
150,49.62,64.14,59.21,0.39,0.79,0.08
160,48.97,63.80,58.65,0.55,0.95,0.34
170,48.23,64.43,59.10,0.68,1.08,0.62
180,46.41,64.78,58.78,0.82,1.26,0.90
190,44.58,65.15,60.82,0.99,1.46,1.19
200,43.00,66.67,65.82,1.23,1.65,1.48
210,41.42,68.29,72.35,1.55,1.82,1.79
220,39.07,69.04,80.94,1.91,1.97,2.10
230,36.30,68.35,90.01,2.17,2.02,2.42
240,33.96,66.49,96.69,2.32,1.99,2.71
250,32.04,64.83,101.89,2.36,1.94,2.96
260,30.64,60.92,107.15,2.23,1.86,3.21
270,27.89,59.09,110.87,2.03,1.74,3.41
280,25.44,57.79,111.78,1.78,1.62,3.63
290,22.96,53.27,111.69,1.57,1.54,3.84
300,20.61,48.70,112.55,1.40,1.46,4.03
310,19.04,43.41,113.74,1.27,1.39,4.18
320,17.20,34.78,115.41,1.17,1.30,4.28
330,17.57,28.19,116.43,1.15,1.20,4.30
340,17.53,22.42,117.49,1.20,1.10,4.30
350,17.07,17.21,115.80,1.22,0.99,4.27
360,17.40,12.75,115.48,1.24,0.92,4.22
370,17.10,10.72,115.29,1.24,0.83,4.15
380,15.52,9.79,110.22,1.15,0.77,4.11
390,15.47,3.03,102.52,0.94,0.78,4.06
400,17.10,-4.46,103.31,0.65,0.79,3.96
410,17.97,-9.61,102.25,0.36,0.82,3.86
420,17.91,-19.35,105.71,0.04,0.86,3.70
430,21.00,-29.01,109.46,-0.24,0.83,3.45
440,24.22,-39.59,113.73,-0.46,0.76,3.17
450,25.01,-49.56,118.10,-0.58,0.59,2.79
460,28.00,-58.25,119.95,-0.69,0.39,2.37
470,30.45,-70.47,120.69,-0.79,0.19,1.89
480,31.97,-80.90,121.65,-0.92,-0.01,1.31
490,33.06,-87.35,121.19,-1.06,-0.23,0.66
500,32.88,-88.35,119.19,-1.17,-0.44,-0.01
510,31.47,-83.40,115.40,-1.24,-0.62,-0.66
520,28.95,-74.03,110.28,-1.28,-0.75,-1.23
530,26.98,-65.42,105.88,-1.33,-0.81,-1.70
540,26.54,-59.03,104.07,-1.38,-0.81,-2.10
550,27.87,-56.00,107.63,-1.49,-0.81,-2.38
560,26.06,-53.56,111.02,-1.71,-0.85,-2.76
570,26.68,-52.76,110.62,-1.95,-0.98,-3.09
580,23.64,-53.81,111.16,-2.13,-1.07,-3.45
590,21.55,-53.10,113.42,-2.33,-1.15,-3.85
600,18.90,-52.32,112.71,-2.57,-1.24,-4.26
610,13.76,-46.71,110.23,-2.68,-1.30,-4.37
620,8.52,-36.70,103.54,-2.57,-1.36,-4.37
630,5.56,-24.85,98.15,-2.39,-1.31,-4.37
640,4.26,-9.22,89.69,-2.21,-1.24,-4.37
650,4.00,6.77,84.47,-2.00,-1.11,-4.37
660,6.86,19.18,81.64,-1.81,-0.95,-4.37
670,11.23,28.98,80.38,-1.67,-0.80,-4.37
680,15.45,38.12,80.74,-1.60,-0.69,-4.37
690,17.71,43.44,80.84,-1.59,-0.63,-4.37
700,21.85,51.63,81.00,-1.61,-0.55,-4.30
710,25.29,58.69,80.06,-1.61,-0.50,-3.92
720,30.37,65.46,78.30,-1.56,-0.41,-3.53
730,32.91,70.94,78.44,-1.45,-0.33,-3.13
740,37.07,73.40,74.99,-1.27,-0.24,-2.72
750,40.20,74.80,72.14,-1.01,-0.15,-2.32
760,44.72,72.44,70.24,-0.71,-0.08,-1.91
770,41.26,76.75,67.36,-0.42,0.00,-1.61
780,43.98,75.14,64.59,-0.10,0.16,-1.27
790,45.01,74.83,63.18,0.19,0.31,-0.97
800,45.57,76.42,61.56,0.42,0.45,-0.65
810,45.47,78.14,60.88,0.55,0.61,-0.30
820,46.30,78.15,61.46,0.60,0.74,0.05
830,45.22,79.28,58.86,0.61,0.91,0.41
840,44.14,81.25,59.65,0.60,1.09,0.80
850,43.34,82.02,61.73,0.63,1.27,1.22
860,42.41,81.31,65.80,0.74,1.43,1.62
870,41.21,79.97,72.69,0.94,1.58,2.01
880,39.48,77.56,79.57,1.25,1.67,2.39
890,36.70,73.13,86.22,1.54,1.70,2.72
900,35.10,70.43,91.87,1.73,1.68,2.98
910,33.53,62.51,98.25,1.88,1.65,3.24
920,30.71,56.46,105.02,1.99,1.54,3.40
930,28.34,49.72,107.38,2.05,1.44,3.52
940,26.05,42.76,108.22,2.05,1.33,3.57
950,24.20,38.31,107.56,1.99,1.25,3.61
960,23.26,37.20,105.98,1.83,1.20,3.65
970,22.38,35.47,105.66,1.59,1.18,3.71
980,22.07,32.34,107.60,1.33,1.13,3.76
990,22.49,27.72,108.45,1.12,1.04,3.79
