timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,37.99,6.46,95.16,-0.35,-0.11,-0.17
10,38.32,8.10,95.33,-0.41,-0.09,-0.16
20,38.79,8.64,96.29,-0.45,-0.08,-0.14
30,39.12,8.21,96.69,-0.48,-0.08,-0.12
40,39.56,7.89,96.90,-0.49,-0.08,-0.11
50,39.82,7.36,97.49,-0.48,-0.09,-0.11
60,40.29,6.23,98.58,-0.46,-0.11,-0.12
70,40.99,4.21,98.93,-0.45,-0.13,-0.14
80,40.95,2.28,98.33,-0.46,-0.16,-0.17
90,40.88,0.79,97.70,-0.49,-0.19,-0.22
100,40.75,-2.03,96.84,-0.52,-0.19,-0.27
110,40.44,-6.12,96.83,-0.59,-0.19,-0.34
120,40.83,-10.86,99.14,-0.71,-0.22,-0.45
130,41.19,-15.40,101.99,-0.87,-0.27,-0.59
140,40.87,-20.63,103.73,-1.02,-0.35,-0.77
150,41.26,-27.06,108.70,-1.20,-0.43,-1.00
160,42.33,-35.30,114.55,-1.44,-0.56,-1.30
170,41.33,-44.58,117.02,-1.72,-0.74,-1.67
180,39.41,-53.34,116.64,-2.02,-0.92,-2.17
190,36.49,-57.48,116.41,-2.31,-1.09,-2.73
200,40.94,-56.29,117.09,-2.56,-1.31,-3.37
210,25.37,-49.26,117.72,-2.70,-1.52,-3.83
220,21.68,-48.31,116.77,-2.70,-1.62,-4.29
230,20.00,-44.28,111.75,-2.87,-1.84,-4.37
240,7.71,-36.44,102.87,-2.66,-1.93,-4.37
250,3.73,-18.88,97.02,-2.53,-1.93,-4.37
260,3.12,-4.78,89.74,-2.38,-1.84,-4.37
270,4.32,5.17,81.71,-2.18,-1.70,-4.37
280,6.43,18.69,73.70,-1.98,-1.57,-4.37
290,9.02,31.61,65.14,-1.81,-1.35,-4.37
300,14.09,42.07,60.95,-1.75,-1.11,-4.37
310,19.49,49.86,65.18,-1.70,-0.84,-4.37
320,23.51,54.12,68.64,-1.69,-0.70,-4.34
330,27.53,54.61,72.42,-1.74,-0.59,-4.00
340,32.32,58.46,72.60,-1.69,-0.51,-3.67
350,33.85,66.88,69.83,-1.55,-0.43,-3.30
360,36.50,73.67,66.00,-1.40,-0.30,-2.89
370,39.26,78.15,63.30,-1.23,-0.10,-2.49
380,41.15,75.32,65.14,-1.01,0.06,-2.09
390,43.21,68.97,69.43,-0.78,0.19,-1.78
400,44.77,65.08,71.71,-0.55,0.25,-1.53
410,45.29,65.71,69.22,-0.36,0.31,-1.31
420,45.83,67.20,66.25,-0.15,0.40,-1.08
430,46.57,69.50,64.26,0.06,0.52,-0.85
440,47.12,71.71,62.68,0.26,0.65,-0.59
450,47.92,75.24,60.19,0.47,0.79,-0.29
460,47.97,79.09,56.87,0.70,0.94,0.04
470,46.91,83.91,52.66,0.92,1.12,0.41
480,45.53,90.15,49.42,1.09,1.36,0.85
490,43.86,94.34,49.49,1.24,1.58,1.29
500,40.13,97.74,51.61,1.45,1.82,1.81
510,35.78,98.17,56.93,1.72,2.08,2.35
520,30.90,95.96,66.81,2.01,2.34,2.87
530,26.14,89.75,80.87,2.29,2.54,3.32
540,21.46,82.78,95.27,2.48,2.61,3.67
550,15.75,76.11,107.32,2.55,2.58,3.93
560,16.38,67.47,116.96,2.52,2.47,4.17
570,14.76,58.53,126.07,2.43,2.28,4.31
580,14.44,53.06,130.45,2.25,2.03,4.37
590,14.12,48.19,130.95,2.03,1.81,4.37
600,14.49,43.08,129.59,1.79,1.62,4.37
610,14.50,37.65,128.13,1.54,1.46,4.37
620,15.51,32.30,125.87,1.27,1.30,4.37
630,15.63,29.17,122.97,1.06,1.19,4.37
640,15.92,24.28,119.72,0.87,1.10,4.37
650,15.87,19.51,117.90,0.70,1.00,4.37
660,15.23,15.19,115.53,0.55,0.88,4.37
670,15.30,11.86,111.01,0.45,0.80,4.37
680,14.82,3.40,106.85,0.36,0.74,4.37
690,12.41,-4.13,105.29,0.32,0.74,4.20
700,13.78,-11.07,107.63,0.29,0.73,4.01
710,15.70,-21.31,110.39,0.23,0.71,3.81
720,18.56,-30.99,112.70,0.17,0.59,3.54
730,22.72,-40.89,112.69,0.08,0.48,3.23
740,25.60,-49.17,112.44,-0.03,0.34,2.83
750,27.74,-54.85,111.03,-0.15,0.19,2.39
760,29.87,-60.88,109.18,-0.27,0.07,1.92
770,31.40,-65.51,107.23,-0.36,-0.04,1.41
780,31.97,-67.35,106.92,-0.46,-0.16,0.88
790,32.77,-67.70,106.41,-0.63,-0.25,0.36
800,33.88,-69.05,108.24,-0.89,-0.35,-0.14
810,34.93,-69.89,111.01,-1.15,-0.45,-0.64
820,35.96,-68.16,115.28,-1.42,-0.59,-1.16
830,35.36,-66.52,118.01,-1.68,-0.74,-1.67
840,34.68,-65.93,120.01,-1.90,-0.89,-2.18
850,36.46,-64.80,121.63,-2.09,-1.04,-2.70
860,30.38,-64.64,119.87,-2.22,-1.20,-3.12
870,25.09,-55.82,113.76,-2.33,-1.37,-3.71
880,21.57,-48.53,108.04,-2.35,-1.40,-4.16
890,16.82,-41.89,106.83,-2.35,-1.40,-4.37
900,14.13,-35.07,105.63,-2.38,-1.43,-4.37
910,9.65,-28.30,105.25,-2.41,-1.44,-4.37
920,7.47,-19.70,105.07,-2.43,-1.46,-4.37
930,3.65,-10.79,104.18,-2.43,-1.48,-4.37
940,1.09,1.88,96.89,-2.42,-1.50,-4.37
950,1.13,18.70,88.39,-2.32,-1.42,-4.37
960,1.10,28.98,82.11,-2.23,-1.26,-4.37
970,5.87,36.71,79.88,-2.20,-1.06,-4.37
980,8.76,46.77,81.77,-2.22,-0.92,-4.37
