timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,39.46,8.36,101.59,-0.12,0.17,0.64
10,39.34,5.76,101.91,-0.03,0.10,0.68
20,39.35,5.06,101.37,0.04,0.04,0.70
30,39.37,6.22,100.68,0.08,-0.02,0.73
40,38.69,7.56,99.87,0.11,-0.04,0.79
50,38.11,6.79,99.25,0.11,-0.03,0.86
60,37.66,4.30,100.01,0.07,-0.02,0.93
70,37.75,1.34,101.08,-0.01,-0.03,0.97
80,37.63,-0.58,102.59,-0.11,-0.06,0.99
90,37.25,-1.77,104.02,-0.22,-0.10,1.02
100,36.96,-5.33,105.35,-0.31,-0.13,1.04
110,36.47,-10.35,106.70,-0.37,-0.19,1.02
120,36.25,-16.17,108.68,-0.41,-0.24,0.97
130,36.73,-24.16,110.81,-0.48,-0.30,0.87
140,37.97,-34.67,114.07,-0.64,-0.38,0.72
150,39.56,-45.44,118.18,-0.90,-0.49,0.48
160,38.90,-53.98,116.77,-1.18,-0.66,0.17
170,38.69,-63.77,117.34,-1.41,-0.77,-0.19
180,38.95,-75.71,117.72,-1.58,-0.91,-0.67
190,40.04,-83.36,118.99,-1.79,-1.06,-1.31
200,36.69,-80.99,117.50,-2.04,-1.28,-1.91
210,34.10,-87.00,115.55,-2.22,-1.41,-2.49
220,36.40,-87.55,118.71,-2.35,-1.56,-3.15
230,24.69,-75.30,113.38,-2.46,-1.72,-3.71
240,21.87,-61.43,113.96,-2.59,-1.86,-4.04
250,18.96,-46.34,111.30,-2.68,-1.96,-4.06
260,12.88,-29.36,113.37,-2.81,-2.13,-4.35
270,17.53,-22.00,104.04,-2.85,-2.16,-4.37
280,18.18,-23.75,104.11,-2.82,-2.09,-4.37
290,18.10,-19.12,94.16,-2.82,-2.12,-4.37
300,17.57,-18.28,83.08,-2.84,-2.03,-4.37
310,18.34,-22.35,77.48,-2.90,-1.84,-4.37
320,18.36,-16.87,69.06,-2.91,-1.68,-4.37
330,17.62,-4.54,60.17,-2.86,-1.43,-4.37
340,19.12,8.39,52.68,-2.77,-1.10,-4.37
350,23.48,23.46,46.05,-2.60,-0.77,-4.37
360,26.00,39.23,38.66,-2.46,-0.45,-4.34
370,31.15,45.53,42.38,-2.37,-0.06,-3.92
380,37.19,44.14,47.83,-2.32,0.23,-3.54
390,40.64,43.66,55.22,-2.24,0.42,-3.21
400,43.17,44.49,60.15,-2.15,0.54,-2.90
410,45.40,46.35,61.20,-2.04,0.62,-2.62
420,46.97,49.66,58.39,-1.87,0.70,-2.36
430,48.17,53.13,56.15,-1.63,0.82,-2.10
440,50.06,56.53,54.82,-1.35,0.96,-1.85
450,51.50,61.84,52.76,-1.04,1.10,-1.57
460,52.52,69.50,49.55,-0.73,1.27,-1.25
470,53.43,77.66,47.76,-0.42,1.47,-0.86
480,54.54,83.75,49.69,-0.09,1.68,-0.40
490,54.75,87.58,53.73,0.26,1.85,0.10
