timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,41.23,39.33,71.88,-2.17,0.05,-3.55
10,46.44,41.21,71.08,-1.96,0.12,-3.25
20,46.57,47.90,70.43,-1.70,0.14,-2.98
30,49.09,52.59,65.84,-1.37,0.25,-2.65
40,51.82,53.33,67.51,-1.00,0.36,-2.34
50,53.18,52.23,68.92,-0.69,0.43,-2.04
60,53.74,50.09,72.00,-0.47,0.48,-1.78
70,54.78,50.53,73.43,-0.30,0.50,-1.55
80,55.60,53.70,72.42,-0.21,0.53,-1.32
90,55.89,56.83,70.05,-0.16,0.58,-1.05
100,56.55,58.89,68.35,-0.13,0.65,-0.76
110,56.51,60.62,65.65,-0.08,0.74,-0.46
120,58.04,60.63,66.66,-0.00,0.84,-0.16
130,57.81,59.17,67.37,0.10,0.92,0.12
140,56.93,53.72,72.26,0.26,0.99,0.35
150,56.19,46.42,77.99,0.45,1.01,0.52
160,54.64,39.67,80.13,0.60,1.00,0.62
170,53.63,37.01,81.16,0.73,0.98,0.68
180,52.60,39.15,81.01,0.82,0.97,0.75
190,51.55,47.16,78.15,0.88,0.99,0.91
200,50.22,58.11,75.17,0.92,1.07,1.17
210,48.43,68.08,72.48,0.93,1.19,1.56
220,46.17,76.96,72.44,1.00,1.33,2.04
230,40.31,84.22,75.74,1.18,1.46,2.58
240,39.09,83.43,76.98,1.36,1.60,3.16
250,32.20,79.72,83.29,1.58,1.70,3.69
260,25.94,70.58,91.24,1.86,1.74,4.12
270,19.34,57.88,98.25,2.15,1.73,4.37
280,15.55,48.99,104.36,2.42,1.70,4.37
290,12.60,41.79,109.82,2.57,1.64,4.37
300,11.00,34.98,114.21,2.64,1.56,4.37
310,11.05,29.29,119.29,2.66,1.46,4.37
320,11.75,24.65,123.55,2.59,1.33,4.37
330,12.64,21.23,123.24,2.41,1.16,4.37
340,13.41,18.33,120.58,2.15,1.05,4.37
350,13.71,13.66,118.28,1.81,0.97,4.37
360,14.53,5.71,115.80,1.50,0.87,4.37
370,15.77,-1.91,112.58,1.25,0.81,4.37
380,14.84,-5.24,106.60,0.96,0.72,4.37
390,15.65,-11.27,104.48,0.72,0.70,4.28
400,17.73,-16.56,108.38,0.61,0.66,4.08
410,18.06,-19.85,109.22,0.60,0.58,3.88
420,19.85,-22.31,106.27,0.66,0.56,3.70
430,18.56,-25.93,109.32,0.72,0.62,3.54
440,16.34,-29.69,113.24,0.69,0.57,3.31
450,20.32,-32.42,112.66,0.58,0.45,3.04
460,22.35,-41.21,114.88,0.42,0.40,2.87
470,24.11,-53.04,116.62,0.18,0.31,2.57
480,26.95,-63.53,118.49,-0.13,0.16,2.18
490,27.82,-70.07,117.84,-0.37,-0.03,1.73
500,28.09,-73.29,114.89,-0.52,-0.19,1.24
510,28.21,-74.21,110.97,-0.64,-0.29,0.75
520,27.40,-74.10,106.57,-0.79,-0.35,0.27
530,27.26,-72.70,105.13,-0.94,-0.35,-0.20
540,28.05,-71.72,106.76,-1.16,-0.36,-0.64
550,29.27,-69.46,108.84,-1.41,-0.39,-1.07
560,29.67,-66.80,110.82,-1.66,-0.44,-1.48
570,31.31,-66.26,113.51,-1.88,-0.49,-1.88
580,30.32,-69.04,116.46,-2.06,-0.48,-2.25
590,28.16,-69.05,121.34,-2.24,-0.65,-2.71
600,26.59,-66.95,118.59,-2.38,-0.82,-3.15
610,22.49,-60.53,118.17,-2.42,-0.96,-3.59
620,19.42,-51.15,115.38,-2.42,-1.08,-3.97
630,16.79,-42.27,111.81,-2.40,-1.16,-4.26
640,14.99,-37.60,109.53,-2.39,-1.21,-4.37
650,14.87,-33.31,106.94,-2.41,-1.23,-4.37
660,12.93,-27.02,102.90,-2.41,-1.28,-4.37
670,11.29,-17.27,97.25,-2.39,-1.24,-4.37
680,11.04,-9.83,91.42,-2.34,-1.13,-4.37
690,12.27,-1.35,87.99,-2.30,-1.00,-4.37
700,12.94,11.50,81.82,-2.28,-0.91,-4.37
710,17.50,20.78,81.44,-2.20,-0.75,-4.37
720,20.73,26.95,77.72,-2.10,-0.62,-4.37
730,24.07,33.42,76.15,-2.01,-0.47,-4.34
740,27.08,38.40,74.79,-1.90,-0.33,-4.04
750,32.80,44.25,70.87,-1.75,-0.22,-3.74
760,32.39,48.28,69.65,-1.60,-0.10,-3.42
770,36.96,51.38,66.97,-1.45,0.03,-3.12
780,40.41,53.64,67.40,-1.24,0.16,-2.80
790,43.79,57.76,67.24,-1.01,0.24,-2.48
800,46.15,61.61,65.95,-0.76,0.34,-2.14
810,47.64,64.31,65.01,-0.52,0.44,-1.80
820,48.99,65.91,63.48,-0.28,0.55,-1.45
830,49.53,68.92,59.59,-0.06,0.68,-1.10
840,49.65,72.09,55.79,0.11,0.86,-0.71
850,49.89,73.13,56.77,0.27,1.06,-0.30
860,49.66,72.06,59.98,0.41,1.20,0.10
870,48.31,70.13,64.04,0.55,1.36,0.47
880,45.24,67.88,71.22,0.67,1.47,0.80
890,42.38,64.46,76.57,0.79,1.63,1.17
900,38.65,63.35,84.95,0.92,1.68,1.48
910,43.92,62.78,93.36,0.98,1.65,1.77
920,43.66,62.83,96.53,1.07,1.58,2.08
930,41.01,65.24,100.22,1.27,1.54,2.41
940,38.79,68.69,101.73,1.46,1.48,2.75
950,37.53,66.95,103.38,1.59,1.46,3.17
960,35.18,64.23,104.52,1.62,1.35,3.49
970,30.18,64.76,102.87,1.54,1.24,3.79
980,24.92,61.19,102.62,1.46,1.19,4.10
990,21.10,52.73,105.98,1.46,1.12,4.35
