timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,39.35,-29.98,107.42,-2.32,-1.63,-3.27
10,24.00,-28.12,106.08,-2.45,-1.68,-3.47
20,23.51,-19.86,106.17,-2.66,-1.62,-3.81
30,22.89,-18.18,104.82,-2.85,-1.61,-4.03
40,22.52,-14.44,105.71,-2.96,-1.68,-4.24
50,20.59,-9.42,101.14,-3.03,-1.80,-4.37
60,18.98,-6.34,99.03,-2.99,-1.79,-4.37
70,20.74,-3.45,100.00,-2.89,-1.78,-4.37
80,18.85,1.37,93.28,-2.75,-1.88,-4.37
90,18.31,9.94,81.75,-2.58,-1.84,-4.37
100,18.27,22.99,73.09,-2.42,-1.69,-4.37
110,20.92,31.70,72.59,-2.27,-1.51,-4.37
120,26.34,31.45,81.36,-2.17,-1.40,-4.37
130,28.03,34.39,79.00,-2.17,-1.42,-4.32
140,26.33,44.22,73.49,-2.23,-1.41,-4.13
150,26.18,57.74,62.33,-2.28,-1.30,-3.85
160,27.55,71.69,50.96,-2.29,-1.11,-3.45
170,32.05,80.53,45.30,-2.19,-0.74,-2.99
180,35.69,84.68,41.44,-2.03,-0.44,-2.52
190,38.49,87.91,39.09,-1.79,-0.17,-2.09
200,41.18,89.69,38.27,-1.50,0.07,-1.68
210,41.48,88.84,36.83,-1.16,0.27,-1.35
220,41.73,88.19,35.31,-0.69,0.49,-1.02
230,41.45,88.57,33.16,-0.21,0.71,-0.68
240,41.17,90.76,30.51,0.23,0.96,-0.32
250,40.08,94.14,28.08,0.60,1.25,0.07
260,37.58,96.69,24.81,0.84,1.58,0.54
270,35.78,96.71,24.85,0.98,1.94,1.03
280,33.97,98.89,28.94,1.17,2.30,1.52
290,32.54,96.64,40.54,1.47,2.66,2.02
300,31.03,93.32,55.73,1.87,2.93,2.49
310,29.85,85.71,72.01,2.33,3.12,2.90
320,28.43,78.20,88.29,2.71,3.15,3.23
330,26.60,71.72,100.61,3.01,3.07,3.48
340,21.78,65.96,110.83,3.20,2.95,3.64
350,23.64,63.92,115.87,3.32,2.80,3.80
360,21.78,60.54,123.83,3.42,2.66,3.98
370,21.18,54.10,130.39,3.36,2.50,4.13
380,19.34,50.41,137.34,3.18,2.30,4.21
390,19.91,47.11,139.99,2.96,2.08,4.31
400,20.04,43.12,143.79,2.75,1.90,4.37
410,17.89,42.98,140.65,2.56,1.73,4.37
420,19.21,35.03,137.48,2.29,1.68,4.37
430,19.56,29.92,140.87,1.88,1.58,4.37
440,18.25,24.88,139.14,1.44,1.43,4.37
450,20.50,16.71,136.08,1.11,1.35,4.37
460,20.43,2.89,142.18,0.82,1.23,4.37
470,11.14,-4.00,136.31,0.43,1.10,4.37
480,23.24,-27.63,138.19,0.09,1.07,4.37
490,17.60,-37.45,143.40,-0.14,0.76,4.08
500,20.42,-51.40,136.27,-0.26,0.65,3.69
510,16.52,-66.79,136.13,-0.36,0.45,3.10
520,25.87,-75.09,129.89,-0.54,0.27,2.52
530,26.20,-80.08,130.57,-0.60,0.02,1.99
540,25.06,-75.44,128.36,-0.62,-0.23,1.44
550,23.95,-72.22,124.96,-0.65,-0.42,0.94
560,24.07,-71.29,121.27,-0.70,-0.61,0.45
570,24.14,-70.17,116.79,-0.75,-0.77,-0.04
580,24.18,-66.75,111.44,-0.85,-0.88,-0.50
590,23.71,-63.62,106.42,-1.01,-0.94,-0.95
600,24.20,-63.83,103.38,-1.21,-0.93,-1.40
610,24.61,-64.70,107.18,-1.51,-0.91,-2.09
620,33.02,-73.16,110.27,-1.83,-0.94,-2.50
630,25.62,-71.35,113.39,-2.20,-1.05,-3.09
640,24.41,-69.03,112.99,-2.67,-1.17,-3.64
650,19.39,-58.06,111.89,-3.04,-1.27,-4.22
660,20.70,-43.69,111.34,-3.34,-1.28,-4.37
670,7.84,-35.01,113.52,-3.46,-1.29,-4.37
680,3.40,-22.54,111.76,-3.54,-1.39,-4.37
690,1.62,-17.84,112.38,-3.57,-1.37,-4.37
700,-0.07,-10.05,114.10,-3.53,-1.48,-4.37
710,-4.47,2.71,108.45,-3.44,-1.56,-4.37
720,-5.96,16.63,101.21,-3.24,-1.56,-4.37
730,-5.67,30.66,92.54,-2.97,-1.49,-4.37
740,-4.58,46.72,83.52,-2.66,-1.37,-4.37
750,-1.42,60.81,77.81,-2.37,-1.17,-4.37
760,6.20,70.13,77.39,-2.16,-1.01,-4.37
770,11.04,77.06,81.64,-2.05,-0.85,-4.37
780,20.02,82.19,82.80,-1.91,-0.77,-4.37
790,22.46,87.58,78.97,-1.69,-0.90,-4.05
800,23.57,102.05,65.12,-1.48,-0.76,-3.58
810,28.81,110.50,56.98,-1.25,-0.46,-2.98
820,34.53,114.16,56.78,-1.04,-0.23,-2.34
830,38.60,112.55,56.61,-0.83,-0.06,-1.72
840,40.65,106.23,56.13,-0.59,0.09,-1.14
850,40.82,98.65,52.08,-0.32,0.26,-0.63
860,38.99,93.25,45.20,-0.09,0.49,-0.18
870,37.65,90.38,38.83,0.13,0.79,0.25
880,35.84,89.34,34.07,0.34,1.15,0.67
890,34.19,89.30,34.36,0.51,1.53,1.06
900,33.60,93.63,40.76,0.74,1.85,1.47
910,33.33,98.03,49.19,1.12,2.13,1.93
920,33.12,98.26,61.10,1.55,2.33,2.40
