timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,32.39,-16.04,112.25,-0.23,0.26,0.61
10,30.18,-16.12,111.09,-0.32,0.16,0.48
20,28.66,-16.47,113.08,-0.43,-0.01,0.18
30,32.28,-16.59,110.90,-0.49,-0.03,0.09
40,28.98,-19.18,115.95,-0.54,-0.07,-0.05
50,29.69,-18.83,116.86,-0.65,-0.29,-0.23
60,29.67,-19.71,113.80,-0.74,-0.39,-0.39
70,29.54,-20.38,114.14,-0.80,-0.50,-0.56
80,29.74,-20.72,112.85,-0.84,-0.56,-0.76
90,30.39,-25.93,115.47,-0.87,-0.63,-0.98
100,33.76,-36.31,122.89,-0.95,-0.71,-1.30
110,34.20,-44.52,123.92,-1.16,-0.99,-1.70
120,33.31,-45.83,123.97,-1.44,-1.19,-2.01
130,31.31,-48.53,125.86,-1.82,-1.37,-2.41
140,30.59,-49.89,124.87,-2.17,-1.56,-2.79
150,24.45,-45.16,120.30,-2.40,-1.74,-3.22
160,19.98,-40.58,115.88,-2.59,-1.81,-3.61
170,17.12,-42.54,114.41,-2.75,-1.84,-4.02
180,14.01,-38.49,113.67,-2.89,-1.87,-4.37
190,8.72,-30.97,110.30,-2.99,-1.90,-4.37
200,4.14,-25.67,108.47,-3.04,-1.89,-4.37
210,0.83,-17.73,104.08,-3.07,-1.92,-4.37
220,-2.92,-5.53,99.57,-3.02,-1.92,-4.37
230,-5.60,7.65,90.18,-2.91,-1.85,-4.37
240,-5.17,18.78,82.26,-2.69,-1.72,-4.37
250,-3.93,33.72,74.37,-2.42,-1.56,-4.37
260,0.56,47.77,67.07,-2.08,-1.37,-4.37
270,5.86,60.36,60.65,-1.77,-1.13,-4.37
280,12.87,69.62,56.76,-1.54,-0.90,-4.37
290,17.87,77.57,55.20,-1.41,-0.68,-4.21
300,23.49,84.50,53.41,-1.35,-0.47,-3.68
310,28.96,89.20,55.15,-1.32,-0.23,-3.09
320,33.53,90.76,60.22,-1.30,-0.04,-2.53
330,37.39,90.57,63.45,-1.27,0.08,-2.01
340,39.79,89.36,64.36,-1.17,0.18,-1.53
350,41.46,87.32,63.98,-1.00,0.27,-1.09
360,42.63,84.87,62.90,-0.76,0.38,-0.70
370,43.74,83.91,61.15,-0.48,0.50,-0.34
380,44.76,84.76,59.11,-0.18,0.65,0.04
390,44.83,87.05,57.14,0.12,0.82,0.42
400,45.57,93.40,53.47,0.38,1.01,0.85
410,44.85,98.44,52.57,0.64,1.23,1.38
420,42.25,100.16,54.35,0.96,1.47,1.96
430,38.40,98.94,58.96,1.33,1.74,2.56
440,33.50,95.25,67.89,1.71,1.98,3.12
450,29.42,87.49,78.19,2.03,2.19,3.66
460,25.43,77.29,89.46,2.17,2.30,4.09
470,20.59,68.61,98.82,2.21,2.29,4.37
480,15.12,62.36,106.55,2.24,2.28,4.37
490,12.63,59.28,111.56,2.20,2.23,4.37
500,8.62,54.24,117.84,2.14,2.17,4.37
510,3.44,49.56,125.10,2.07,2.08,4.37
520,4.33,39.84,132.11,1.99,1.97,4.37
530,-0.39,29.77,140.98,1.95,1.78,4.37
540,-4.79,22.72,141.56,1.91,1.57,4.37
550,-3.04,11.97,142.03,1.90,1.48,4.37
560,-2.69,-2.30,142.07,1.83,1.30,4.37
570,-2.31,-13.14,144.41,1.64,1.13,4.37
580,0.66,-24.90,143.07,1.38,0.94,4.37
590,3.76,-35.50,139.16,1.17,0.74,4.37
600,5.12,-41.93,132.60,0.97,0.54,4.37
610,7.38,-45.87,125.72,0.79,0.43,3.99
620,9.60,-50.67,121.12,0.65,0.35,3.61
630,11.32,-54.98,117.77,0.55,0.27,3.22
640,13.14,-59.23,116.17,0.40,0.19,2.80
650,14.92,-62.89,114.25,0.22,0.08,2.34
660,16.83,-66.28,112.15,0.07,-0.02,1.89
670,17.30,-68.21,110.69,-0.04,-0.12,1.41
680,16.88,-67.51,109.58,-0.14,-0.22,0.91
690,18.64,-66.63,106.69,-0.28,-0.29,0.45
700,19.35,-69.78,106.44,-0.47,-0.33,0.03
710,21.51,-74.05,108.84,-0.71,-0.39,-0.45
720,22.94,-77.41,112.44,-0.97,-0.50,-0.97
730,24.20,-83.97,116.29,-1.28,-0.60,-1.54
740,25.70,-92.45,119.30,-1.66,-0.73,-2.19
750,27.48,-98.40,122.46,-2.01,-0.91,-2.92
760,20.54,-107.91,126.08,-2.43,-1.05,-3.68
770,15.25,-111.83,129.83,-2.90,-1.19,-4.37
780,1.57,-98.42,125.92,-3.25,-1.39,-4.37
790,-13.09,-70.25,118.73,-3.44,-1.47,-4.37
800,-22.88,-40.79,112.48,-3.45,-1.41,-4.37
810,-27.07,-11.21,107.90,-3.32,-1.25,-4.37
820,-27.47,11.80,107.95,-3.12,-1.08,-4.37
830,-21.96,23.06,109.82,-2.92,-0.92,-4.37
840,-15.68,28.57,111.46,-2.72,-0.88,-4.37
850,-11.13,36.91,104.92,-2.50,-0.92,-4.37
860,-7.83,51.71,94.60,-2.33,-0.89,-4.37
870,-2.83,66.41,87.10,-2.16,-0.76,-4.37
880,3.87,78.33,85.58,-2.02,-0.61,-4.37
890,13.30,87.42,87.20,-1.88,-0.50,-4.37
900,18.94,93.83,87.87,-1.73,-0.46,-4.04
910,26.60,97.10,84.17,-1.57,-0.41,-3.46
920,28.62,97.83,83.02,-1.36,-0.36,-2.88
930,31.73,98.68,79.55,-1.14,-0.28,-2.35
940,35.02,97.12,78.43,-0.87,-0.19,-1.83
950,37.36,94.91,76.31,-0.61,-0.12,-1.35
960,38.87,92.06,74.65,-0.34,-0.04,-0.90
970,40.07,88.41,71.86,-0.08,0.04,-0.49
980,41.26,84.96,68.82,0.16,0.13,-0.10
990,42.41,80.08,66.57,0.35,0.24,0.28
