timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,25.42,-49.82,119.05,-2.45,-1.33,-3.46
10,25.65,-47.19,113.38,-2.57,-1.40,-3.89
20,22.92,-42.79,110.48,-2.61,-1.44,-4.24
30,18.34,-34.40,105.08,-2.58,-1.57,-4.37
40,15.99,-26.04,98.45,-2.55,-1.58,-4.37
50,14.59,-14.33,91.02,-2.51,-1.54,-4.37
60,13.17,-3.93,84.44,-2.48,-1.42,-4.37
70,15.18,0.89,77.68,-2.53,-1.24,-4.37
80,17.29,7.20,78.24,-2.58,-1.04,-4.37
90,19.84,14.66,78.60,-2.64,-0.91,-4.37
100,22.46,19.46,76.10,-2.67,-0.76,-4.37
110,26.58,26.55,72.68,-2.66,-0.65,-4.22
120,28.71,36.01,66.88,-2.58,-0.47,-3.92
130,31.73,41.57,64.13,-2.42,-0.25,-3.58
140,36.98,44.69,61.66,-2.15,-0.03,-3.22
150,40.35,46.62,60.58,-1.83,0.14,-2.86
160,44.12,48.43,61.52,-1.50,0.31,-2.51
170,46.78,50.36,60.46,-1.17,0.42,-2.18
180,48.79,52.11,61.10,-0.83,0.55,-1.87
190,50.23,54.34,61.94,-0.54,0.65,-1.56
200,50.90,57.50,59.72,-0.28,0.76,-1.24
210,50.96,60.63,58.92,-0.07,0.92,-0.90
220,51.37,62.48,60.78,0.10,1.08,-0.54
230,51.92,63.41,63.85,0.24,1.21,-0.20
240,51.23,64.16,66.93,0.34,1.32,0.16
250,50.22,64.25,69.45,0.40,1.40,0.51
260,49.94,63.05,73.67,0.49,1.46,0.85
270,49.12,60.44,78.42,0.60,1.51,1.15
280,50.15,55.90,82.94,0.69,1.50,1.44
290,47.87,51.55,89.09,0.85,1.48,1.67
300,46.31,47.42,93.21,1.02,1.46,1.86
310,45.48,44.21,97.06,1.21,1.43,2.04
320,44.21,43.20,100.58,1.38,1.39,2.20
330,40.24,48.18,101.09,1.58,1.36,2.33
340,43.52,51.13,100.81,1.76,1.41,2.64
350,41.18,52.38,106.42,1.77,1.36,2.92
360,39.47,58.76,103.21,1.62,1.20,3.18
370,33.54,64.32,100.75,1.43,1.09,3.53
380,27.51,62.64,100.35,1.39,1.06,3.91
390,22.73,54.64,104.85,1.47,1.05,4.26
400,17.46,45.42,109.64,1.59,1.01,4.37
410,13.39,36.09,115.21,1.73,0.96,4.37
420,11.32,24.22,122.83,1.83,0.88,4.37
430,12.56,13.86,128.56,1.86,0.75,4.37
440,11.41,6.09,125.23,1.78,0.57,4.37
450,10.38,-0.56,121.57,1.63,0.49,4.37
460,10.79,-7.58,116.59,1.41,0.41,4.37
470,12.03,-13.78,111.64,1.16,0.38,4.37
480,10.33,-22.26,112.00,0.90,0.36,4.37
490,6.15,-28.05,110.82,0.69,0.32,4.18
500,10.73,-31.46,107.58,0.51,0.27,3.85
510,13.36,-40.04,108.90,0.40,0.30,3.70
520,12.55,-46.76,111.44,0.27,0.22,3.42
530,13.70,-49.73,111.07,0.09,0.16,3.14
540,14.02,-54.27,110.88,-0.04,0.11,2.85
550,15.31,-58.59,111.54,-0.17,0.08,2.52
560,17.57,-64.87,113.77,-0.30,0.03,2.18
570,19.49,-70.79,115.93,-0.45,-0.10,1.78
580,20.93,-75.10,115.14,-0.58,-0.25,1.34
590,21.86,-77.89,113.08,-0.64,-0.39,0.87
600,21.94,-78.56,108.41,-0.65,-0.50,0.37
610,21.93,-77.93,102.70,-0.62,-0.54,-0.11
620,22.14,-75.66,98.19,-0.62,-0.55,-0.58
630,22.81,-72.12,96.79,-0.67,-0.53,-1.02
640,24.74,-69.62,98.59,-0.78,-0.48,-1.43
650,27.45,-71.45,103.53,-0.97,-0.49,-1.83
660,28.60,-72.74,106.83,-1.24,-0.56,-2.28
670,28.06,-74.10,107.31,-1.59,-0.62,-2.73
680,28.69,-75.90,107.96,-1.97,-0.69,-3.26
690,23.81,-75.06,108.57,-2.34,-0.78,-3.77
700,19.63,-78.14,109.34,-2.56,-0.74,-4.17
710,13.34,-72.00,112.79,-2.76,-0.85,-4.37
720,6.83,-59.57,107.84,-2.84,-0.95,-4.37
730,-0.47,-45.22,101.17,-2.74,-0.92,-4.37
740,-3.46,-28.32,99.01,-2.58,-0.81,-4.37
750,-4.68,-15.52,97.58,-2.42,-0.72,-4.37
760,-3.20,-7.91,98.57,-2.28,-0.63,-4.37
770,-1.46,-1.23,97.50,-2.18,-0.60,-4.37
780,-0.35,5.42,96.48,-2.15,-0.57,-4.37
790,2.25,16.19,93.25,-2.16,-0.53,-4.37
800,6.19,30.05,88.86,-2.11,-0.48,-4.37
810,11.40,45.02,82.62,-2.06,-0.37,-4.37
820,16.18,55.76,79.68,-1.97,-0.23,-4.37
830,23.24,64.10,77.90,-1.86,-0.11,-4.22
840,28.90,66.63,79.22,-1.70,0.01,-3.70
850,33.94,65.58,81.48,-1.52,0.08,-3.23
860,37.13,62.88,82.45,-1.29,0.10,-2.83
870,38.85,60.74,81.79,-1.08,0.11,-2.49
880,42.11,56.26,77.86,-0.84,0.14,-2.13
890,38.58,64.06,71.54,-0.72,0.22,-1.89
900,41.62,67.66,66.47,-0.56,0.42,-1.54
910,43.85,70.28,64.17,-0.40,0.59,-1.19
920,46.07,71.69,63.26,-0.29,0.77,-0.81
930,47.77,72.64,66.84,-0.12,0.91,-0.45
940,49.79,73.03,71.98,0.12,0.98,-0.10
950,49.76,71.55,74.17,0.37,1.03,0.25
960,48.59,70.53,72.77,0.58,1.08,0.60
970,46.35,72.17,68.69,0.76,1.17,0.96
980,43.99,77.94,66.45,0.93,1.34,1.38
990,42.47,83.81,71.42,1.09,1.51,1.86
