timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,30.01,50.03,70.67,-1.69,-0.58,-3.95
10,31.94,51.78,71.42,-1.49,-0.47,-3.59
20,34.48,52.42,71.92,-1.34,-0.35,-3.27
30,41.37,53.04,70.40,-1.17,-0.24,-2.94
40,37.50,53.86,71.41,-1.02,-0.14,-2.67
50,40.28,59.20,68.43,-0.90,-0.03,-2.39
60,42.99,60.98,68.97,-0.78,0.13,-2.05
70,44.54,62.64,67.93,-0.66,0.23,-1.73
80,47.64,64.20,70.70,-0.53,0.32,-1.43
90,48.77,65.42,68.43,-0.42,0.39,-1.11
100,49.35,67.23,67.14,-0.30,0.48,-0.79
110,49.87,66.23,66.16,-0.17,0.58,-0.48
120,50.41,63.58,66.54,-0.01,0.70,-0.19
130,50.27,58.03,69.62,0.16,0.79,0.06
140,50.25,51.82,73.28,0.33,0.86,0.25
150,50.23,46.64,76.18,0.50,0.89,0.38
160,49.83,43.37,78.10,0.67,0.92,0.48
170,49.24,43.31,78.82,0.84,0.93,0.58
180,48.68,46.38,77.01,1.02,0.98,0.70
190,48.07,52.73,73.98,1.19,1.07,0.89
200,47.15,60.46,72.71,1.35,1.19,1.15
210,45.43,67.91,72.69,1.47,1.32,1.49
220,43.69,72.29,74.43,1.55,1.43,1.88
230,41.06,76.04,77.20,1.54,1.52,2.29
240,36.24,75.61,81.13,1.52,1.63,2.72
250,31.47,70.64,88.73,1.56,1.72,3.11
260,27.90,63.65,95.70,1.60,1.76,3.40
270,25.11,50.64,105.83,1.68,1.74,3.66
280,22.85,41.76,112.58,1.76,1.63,3.75
290,22.12,35.48,115.60,1.82,1.52,3.81
300,21.75,30.28,117.54,1.85,1.39,3.84
310,20.97,29.33,116.53,1.85,1.27,3.85
320,20.30,29.87,114.73,1.82,1.19,3.89
330,19.79,29.50,113.20,1.74,1.11,3.98
340,19.62,26.17,110.93,1.59,1.04,4.05
350,18.03,21.58,110.00,1.40,0.96,4.09
360,16.51,16.25,108.40,1.22,0.91,4.09
370,16.27,9.52,107.50,1.06,0.88,4.05
380,15.70,4.31,105.79,0.90,0.83,3.95
390,15.00,-0.58,100.55,0.69,0.81,3.85
400,18.14,-8.14,99.40,0.52,0.89,3.76
410,14.01,-11.88,107.90,0.39,0.95,3.73
420,14.39,-21.81,108.09,0.12,0.89,3.57
430,21.93,-35.49,114.43,-0.03,0.89,3.35
440,25.24,-49.27,121.95,-0.24,0.76,2.92
450,28.79,-61.01,125.58,-0.47,0.52,2.44
460,30.16,-69.36,123.70,-0.64,0.27,1.93
470,30.06,-70.95,120.26,-0.76,0.06,1.39
480,29.69,-69.66,116.03,-0.82,-0.10,0.86
490,28.54,-65.91,111.50,-0.78,-0.22,0.35
500,28.14,-61.69,110.33,-0.71,-0.29,-0.10
510,28.80,-59.12,112.17,-0.68,-0.36,-0.52
520,29.75,-57.34,114.40,-0.75,-0.46,-0.90
530,30.90,-55.79,116.70,-0.93,-0.58,-1.27
540,31.96,-52.48,119.32,-1.19,-0.69,-1.62
550,32.85,-51.90,122.77,-1.45,-0.82,-1.97
560,41.97,-55.35,124.84,-1.71,-0.99,-2.45
570,31.10,-53.16,120.31,-1.88,-1.26,-2.75
580,23.54,-54.04,121.39,-2.06,-1.35,-3.28
590,26.38,-54.19,116.71,-2.34,-1.48,-3.78
600,18.57,-51.29,107.53,-2.37,-1.58,-4.21
610,13.14,-44.62,104.89,-2.25,-1.60,-4.37
620,9.45,-32.46,100.77,-2.13,-1.61,-4.37
630,6.30,-18.58,93.42,-1.98,-1.58,-4.37
640,4.25,-2.01,85.31,-1.82,-1.47,-4.37
650,4.74,10.27,81.59,-1.67,-1.31,-4.37
660,8.71,20.59,81.71,-1.58,-1.18,-4.37
670,10.71,28.66,84.04,-1.61,-1.09,-4.37
680,14.57,34.98,86.14,-1.72,-1.01,-4.37
690,17.62,44.56,85.66,-1.86,-0.96,-4.37
700,21.84,55.49,81.33,-1.97,-0.92,-4.21
710,25.85,62.55,77.20,-2.00,-0.82,-3.78
720,28.71,58.50,78.80,-1.92,-0.71,-3.43
730,33.36,53.86,80.84,-1.76,-0.65,-3.13
740,33.67,53.50,77.92,-1.63,-0.61,-2.90
750,37.57,54.03,72.54,-1.41,-0.50,-2.67
760,36.57,56.40,70.45,-1.15,-0.36,-2.44
770,40.04,61.00,66.55,-0.92,-0.21,-2.20
780,42.11,62.25,66.33,-0.69,-0.04,-1.93
790,44.59,63.79,67.84,-0.50,0.09,-1.67
800,46.38,65.62,68.54,-0.35,0.18,-1.41
810,46.97,66.86,67.73,-0.22,0.25,-1.14
820,47.52,67.07,66.76,-0.07,0.36,-0.87
830,48.24,68.76,65.95,0.04,0.44,-0.64
840,48.06,71.38,63.90,0.16,0.54,-0.35
850,47.96,73.63,61.80,0.29,0.68,-0.04
860,47.39,74.63,60.74,0.44,0.82,0.29
870,46.52,75.76,59.79,0.60,0.98,0.62
880,45.09,77.52,60.63,0.80,1.16,0.98
890,43.13,81.24,61.96,1.12,1.33,1.40
900,41.86,81.92,67.14,1.44,1.51,1.84
910,39.06,79.48,70.72,1.64,1.63,2.18
920,36.98,76.21,79.05,1.84,1.77,2.48
930,34.57,70.17,85.72,1.96,1.82,2.72
940,30.85,65.30,91.59,2.01,1.79,2.91
950,28.84,62.50,94.74,1.96,1.74,3.06
960,26.41,55.39,100.62,1.90,1.70,3.25
970,24.20,51.97,104.94,1.78,1.60,3.36
980,23.21,48.63,107.11,1.60,1.50,3.46
990,22.63,44.88,108.77,1.43,1.42,3.57
