timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,18.65,-0.46,93.39,-2.56,-0.73,-4.37
10,21.66,10.31,86.32,-2.28,-0.74,-4.37
20,21.81,18.56,82.02,-1.93,-0.63,-4.29
30,26.21,30.45,72.35,-1.61,-0.54,-4.05
40,31.38,39.15,67.50,-1.34,-0.36,-3.71
50,32.86,42.94,69.79,-1.10,-0.22,-3.30
60,38.05,51.83,65.08,-0.91,-0.13,-2.95
70,40.91,54.21,65.05,-0.74,0.05,-2.54
80,43.81,54.86,66.96,-0.55,0.17,-2.14
90,46.12,54.14,68.21,-0.40,0.26,-1.78
100,47.74,54.01,69.11,-0.29,0.34,-1.45
110,49.26,55.27,68.14,-0.21,0.41,-1.14
120,50.02,57.09,66.49,-0.13,0.50,-0.81
130,51.00,58.42,66.12,-0.04,0.60,-0.48
140,51.49,58.96,64.81,0.06,0.70,-0.15
150,51.61,59.48,62.01,0.19,0.82,0.20
160,50.93,58.93,60.22,0.31,1.00,0.56
170,50.20,58.35,60.62,0.46,1.17,0.90
180,48.80,58.87,62.62,0.63,1.34,1.26
190,47.90,59.95,67.70,0.84,1.51,1.63
200,45.76,61.35,74.65,1.12,1.65,2.02
210,43.12,62.43,81.85,1.47,1.78,2.42
220,40.35,62.03,90.39,1.80,1.86,2.84
230,37.23,60.27,98.68,2.05,1.84,3.24
240,32.77,57.58,105.60,2.15,1.75,3.57
250,27.66,54.71,111.69,2.13,1.61,3.79
260,26.00,46.81,116.44,2.14,1.49,4.11
270,21.65,40.04,123.14,2.11,1.36,4.31
280,19.02,33.88,124.42,1.95,1.22,4.37
290,20.22,25.26,123.95,1.78,1.10,4.37
300,17.87,14.25,128.95,1.63,1.02,4.37
310,16.47,5.45,128.03,1.43,0.83,4.37
320,16.12,-3.33,127.89,1.30,0.70,4.37
330,13.99,-9.98,124.36,1.23,0.55,4.37
340,13.79,-10.86,120.22,1.15,0.41,4.01
350,17.50,-14.36,117.42,1.12,0.40,3.96
360,14.78,-19.21,117.79,1.03,0.29,3.85
370,13.32,-20.69,113.87,0.85,0.20,3.69
380,11.26,-27.87,110.30,0.65,0.22,3.55
390,12.47,-41.16,110.09,0.40,0.28,3.36
400,14.90,-56.19,112.08,0.12,0.23,3.04
410,15.54,-65.51,111.27,-0.08,0.13,2.60
420,15.80,-70.47,109.21,-0.16,0.05,2.12
430,16.01,-71.76,107.45,-0.18,-0.03,1.64
440,15.80,-70.25,105.59,-0.19,-0.11,1.16
450,15.82,-66.47,104.00,-0.18,-0.17,0.72
