timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,33.90,-54.61,114.80,-1.50,-0.69,-2.12
10,32.38,-60.13,116.53,-1.64,-0.83,-2.61
20,29.07,-59.79,118.10,-1.92,-0.94,-3.11
30,27.09,-55.46,120.89,-2.25,-1.09,-3.53
40,24.27,-48.64,122.17,-2.50,-1.23,-3.86
50,20.80,-42.18,119.09,-2.68,-1.35,-4.16
60,16.89,-36.66,119.14,-2.82,-1.43,-4.37
70,19.39,-33.34,114.66,-2.96,-1.52,-4.37
80,17.70,-29.13,105.74,-2.94,-1.53,-4.37
90,6.26,-14.86,106.20,-2.97,-1.51,-4.37
100,12.23,-1.43,95.91,-3.00,-1.42,-4.37
110,14.45,2.83,96.44,-2.82,-1.29,-4.37
120,18.43,10.19,93.42,-2.66,-1.26,-4.37
130,21.34,18.49,86.12,-2.47,-1.17,-4.37
140,24.58,23.19,82.86,-2.23,-1.05,-4.13
150,29.30,24.15,80.53,-2.08,-0.94,-3.89
160,32.58,25.11,81.45,-1.96,-0.83,-3.62
170,34.62,30.55,81.37,-1.88,-0.79,-3.40
180,38.06,34.23,76.89,-1.82,-0.69,-3.13
190,40.64,39.80,72.27,-1.72,-0.58,-2.84
200,44.50,40.87,69.40,-1.55,-0.45,-2.44
210,43.54,48.20,64.43,-1.39,-0.35,-2.18
220,46.96,48.55,60.41,-1.18,-0.13,-1.88
230,50.22,47.70,61.89,-0.92,0.03,-1.59
240,52.21,45.31,60.28,-0.68,0.13,-1.32
250,52.42,44.47,57.21,-0.43,0.26,-1.09
260,52.79,45.60,53.86,-0.17,0.42,-0.87
270,53.18,49.26,50.71,0.05,0.58,-0.62
280,53.06,53.63,48.88,0.21,0.78,-0.32
290,53.43,56.10,50.21,0.32,0.99,0.02
300,52.48,58.64,50.80,0.41,1.17,0.37
310,50.98,62.48,50.30,0.47,1.37,0.75
320,49.45,66.09,53.45,0.56,1.58,1.19
330,47.99,68.14,59.55,0.75,1.76,1.62
340,44.68,70.78,63.65,1.08,1.93,2.07
350,42.18,69.97,72.88,1.43,2.12,2.53
360,40.00,65.55,84.92,1.73,2.19,2.95
370,31.19,60.39,98.04,1.94,2.11,3.26
380,34.30,57.70,101.37,2.03,1.99,3.54
390,29.63,48.60,110.89,2.08,1.90,3.87
400,26.20,40.75,116.79,2.09,1.74,4.05
410,24.07,32.74,123.04,2.11,1.59,4.18
420,23.87,24.09,129.68,2.14,1.40,4.22
430,23.68,18.09,132.65,2.13,1.19,4.20
440,22.92,15.13,131.20,2.03,0.96,4.18
450,21.93,12.70,126.06,1.88,0.81,4.17
460,21.50,11.60,123.19,1.70,0.77,4.27
470,19.70,5.96,123.63,1.48,0.68,4.33
480,15.75,3.45,119.39,1.29,0.56,4.28
490,18.61,-5.74,113.30,1.19,0.51,4.24
500,13.30,-7.29,119.14,1.07,0.48,4.09
510,11.58,-13.98,116.34,0.92,0.46,4.01
520,2.78,-25.22,119.10,0.77,0.48,3.84
530,13.12,-32.18,114.54,0.54,0.39,3.53
540,15.45,-48.07,116.49,0.36,0.45,3.43
550,15.51,-62.78,117.87,0.15,0.33,3.06
560,16.44,-71.38,115.63,-0.09,0.22,2.63
570,16.42,-79.28,114.06,-0.27,0.13,2.13
580,17.60,-84.03,113.73,-0.42,0.02,1.57
590,18.02,-85.49,113.19,-0.53,-0.11,1.01
600,18.43,-84.96,112.49,-0.64,-0.24,0.44
610,18.60,-83.12,112.69,-0.76,-0.36,-0.10
620,19.63,-82.02,113.50,-0.92,-0.48,-0.61
630,20.91,-80.56,114.01,-1.11,-0.59,-1.11
640,21.41,-81.18,114.53,-1.35,-0.72,-1.60
650,21.51,-81.03,115.70,-1.62,-0.81,-2.12
660,22.06,-78.50,115.60,-1.91,-0.91,-2.62
670,20.37,-74.96,112.72,-2.18,-1.00,-3.11
680,18.00,-70.46,108.58,-2.40,-1.02,-3.61
690,16.45,-65.66,108.56,-2.59,-0.98,-4.08
700,13.04,-60.82,108.90,-2.64,-0.92,-4.32
710,7.45,-48.90,109.46,-2.68,-0.99,-4.37
720,6.39,-39.88,105.34,-2.70,-0.95,-4.37
730,5.20,-34.07,105.43,-2.63,-0.92,-4.37
740,5.61,-27.21,105.60,-2.58,-0.96,-4.37
750,3.91,-15.11,100.10,-2.49,-0.94,-4.37
760,4.63,0.01,95.21,-2.33,-0.87,-4.37
770,7.28,12.61,92.21,-2.18,-0.77,-4.37
780,12.85,24.49,87.98,-2.01,-0.74,-4.37
790,15.98,36.13,83.74,-1.85,-0.65,-4.37
800,21.78,42.43,79.37,-1.70,-0.58,-4.37
810,27.80,42.07,79.59,-1.51,-0.45,-3.98
820,30.11,43.37,80.32,-1.36,-0.41,-3.67
830,34.23,43.39,79.89,-1.25,-0.37,-3.36
840,34.90,42.44,79.64,-1.13,-0.36,-3.05
850,35.90,50.67,73.25,-1.09,-0.33,-2.80
860,38.36,51.63,69.84,-1.03,-0.18,-2.46
870,41.83,51.68,69.87,-0.92,-0.05,-2.17
880,43.44,54.10,68.47,-0.78,0.06,-1.88
890,46.70,55.01,69.42,-0.60,0.17,-1.61
900,48.33,57.24,67.58,-0.37,0.27,-1.35
910,49.18,59.95,65.82,-0.16,0.37,-1.08
920,50.00,62.85,62.38,0.02,0.50,-0.78
930,50.44,67.54,60.17,0.14,0.66,-0.43
940,50.59,72.13,58.50,0.22,0.81,-0.07
950,50.22,75.58,58.19,0.26,1.00,0.38
960,49.82,78.29,60.44,0.28,1.19,0.85
970,48.86,82.06,65.38,0.39,1.35,1.36
980,47.56,87.24,71.27,0.71,1.51,1.89
990,46.56,89.35,78.35,1.22,1.65,2.45
