timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,36.35,-46.39,111.29,-1.21,-0.28,-0.96
10,38.38,-54.27,115.36,-1.51,-0.39,-1.28
20,36.32,-63.62,116.40,-1.78,-0.53,-1.66
30,35.69,-75.41,115.79,-2.04,-0.63,-2.18
40,30.89,-82.67,115.72,-2.33,-0.75,-2.77
50,25.59,-80.82,115.16,-2.53,-0.84,-3.39
60,20.71,-70.26,115.00,-2.61,-0.95,-3.95
70,15.58,-54.32,112.03,-2.70,-1.02,-4.37
80,12.31,-39.07,109.27,-2.79,-1.04,-4.37
90,10.77,-25.74,107.93,-2.87,-1.04,-4.37
100,9.17,-20.32,106.48,-2.93,-1.03,-4.37
110,9.69,-20.97,105.63,-2.94,-1.03,-4.37
120,8.38,-19.61,104.05,-2.88,-1.03,-4.37
130,8.69,-19.07,103.05,-2.79,-1.02,-4.37
140,8.99,-16.47,99.47,-2.70,-1.02,-4.37
150,9.39,-7.50,94.30,-2.57,-1.00,-4.37
160,10.89,5.15,87.41,-2.42,-0.96,-4.37
170,14.32,19.30,79.14,-2.21,-0.87,-4.37
180,18.08,32.79,72.33,-1.99,-0.74,-4.37
190,24.09,40.49,71.68,-1.77,-0.54,-4.37
200,30.76,47.18,68.88,-1.63,-0.41,-4.08
210,31.88,49.82,68.36,-1.48,-0.27,-3.63
220,37.32,53.44,66.22,-1.35,-0.13,-3.23
230,40.76,55.23,65.22,-1.19,0.02,-2.82
240,42.60,58.18,63.56,-1.00,0.12,-2.43
250,45.54,59.36,65.08,-0.80,0.26,-2.04
260,47.32,59.04,64.04,-0.59,0.36,-1.69
270,48.70,60.06,64.11,-0.36,0.47,-1.37
280,49.58,62.30,61.64,-0.18,0.58,-1.04
290,49.56,65.49,57.32,-0.06,0.74,-0.67
300,49.53,69.65,54.18,0.04,0.95,-0.27
310,49.69,72.64,54.64,0.15,1.17,0.16
320,48.71,75.59,56.23,0.29,1.37,0.62
330,48.07,79.17,60.68,0.53,1.61,1.10
340,48.39,86.87,68.59,0.84,1.78,1.61
350,47.51,91.83,76.22,1.25,1.90,2.17
360,44.72,95.01,83.86,1.64,1.94,2.76
370,40.03,93.68,90.61,1.95,1.92,3.35
380,28.43,87.93,98.84,2.26,1.92,3.84
390,28.08,79.37,104.46,2.55,1.88,4.26
400,21.40,64.47,114.19,2.78,1.80,4.37
410,17.61,51.95,118.66,2.95,1.65,4.37
420,14.64,41.08,123.95,3.04,1.53,4.37
430,13.38,31.72,128.81,3.00,1.35,4.37
440,13.50,25.64,130.64,2.87,1.14,4.37
450,13.66,21.55,129.75,2.67,0.97,4.37
460,13.14,17.73,127.27,2.43,0.86,4.37
470,13.31,11.61,124.97,2.08,0.78,4.37
480,13.30,4.79,120.89,1.68,0.67,4.37
490,14.86,-0.72,115.74,1.36,0.61,4.37
500,11.70,-8.73,114.60,1.16,0.64,4.37
510,11.29,-12.95,113.87,0.98,0.60,4.37
520,10.62,-17.25,113.10,0.82,0.60,4.23
530,9.23,-22.68,114.28,0.64,0.54,3.95
540,12.87,-30.97,115.39,0.44,0.60,3.84
550,13.35,-47.76,121.76,0.15,0.58,3.62
560,15.26,-61.75,123.55,-0.20,0.43,3.25
570,15.95,-74.26,122.56,-0.48,0.28,2.80
580,16.96,-83.56,121.02,-0.63,0.12,2.25
590,17.13,-87.33,118.57,-0.69,-0.05,1.64
600,17.00,-86.74,114.88,-0.65,-0.20,1.03
610,16.80,-83.64,110.97,-0.59,-0.30,0.44
620,17.14,-80.20,108.60,-0.61,-0.37,-0.08
630,18.53,-77.41,107.84,-0.71,-0.42,-0.57
640,19.97,-75.84,108.05,-0.88,-0.46,-0.98
650,22.06,-75.95,111.03,-1.17,-0.51,-1.42
660,25.02,-77.61,115.78,-1.57,-0.58,-1.88
670,26.16,-76.69,117.90,-1.98,-0.70,-2.39
680,25.05,-73.85,116.05,-2.35,-0.86,-2.89
690,23.53,-69.17,112.82,-2.62,-0.93,-3.38
700,20.12,-64.50,110.39,-2.71,-0.86,-3.70
710,14.47,-57.55,111.85,-2.72,-0.93,-4.19
720,12.14,-49.66,106.27,-2.67,-0.96,-4.37
730,9.16,-49.15,108.04,-2.64,-0.91,-4.37
740,7.04,-46.44,110.28,-2.65,-0.96,-4.37
750,4.60,-38.94,111.17,-2.63,-1.00,-4.37
760,1.42,-29.08,111.06,-2.58,-1.07,-4.37
770,-1.44,-18.56,107.12,-2.53,-1.13,-4.37
780,-2.55,-7.15,101.39,-2.54,-1.10,-4.37
790,-2.72,8.86,96.29,-2.48,-1.08,-4.37
800,0.29,22.08,92.57,-2.39,-1.01,-4.37
810,4.24,31.69,90.28,-2.35,-0.92,-4.37
820,10.27,40.62,85.38,-2.29,-0.86,-4.37
830,13.74,53.06,78.58,-2.21,-0.78,-4.37
840,18.75,63.46,76.00,-2.13,-0.58,-4.37
850,26.53,68.28,74.73,-2.02,-0.42,-4.13
860,32.67,70.80,75.38,-1.88,-0.30,-3.65
870,43.61,70.77,73.74,-1.66,-0.23,-3.12
880,37.48,78.29,73.48,-1.38,-0.18,-2.72
890,42.38,82.18,66.14,-1.06,-0.03,-2.25
900,44.80,83.09,63.72,-0.70,0.13,-1.79
910,46.88,82.75,62.87,-0.37,0.28,-1.34
920,47.12,83.13,56.91,-0.14,0.44,-0.89
930,46.90,85.97,53.13,0.01,0.67,-0.43
940,47.38,88.33,51.99,0.13,0.90,0.07
950,47.11,87.66,53.32,0.27,1.12,0.57
960,46.84,87.44,57.34,0.48,1.33,1.04
970,45.43,87.91,60.65,0.74,1.51,1.52
980,43.48,85.37,65.27,1.03,1.68,1.99
990,41.21,80.29,72.86,1.35,1.80,2.40
