timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,41.51,-42.91,112.21,-1.40,-0.53,-1.58
10,40.70,-49.56,117.52,-1.62,-0.70,-1.98
20,38.42,-49.36,120.66,-1.83,-0.95,-2.42
30,35.55,-45.37,121.92,-2.02,-1.20,-2.83
40,33.58,-38.52,122.23,-2.18,-1.41,-3.17
50,32.51,-32.77,121.16,-2.24,-1.59,-3.47
60,34.64,-31.83,113.30,-2.31,-1.72,-3.55
70,22.18,-23.75,114.30,-2.37,-1.82,-3.82
80,24.96,-14.01,103.47,-2.50,-1.81,-3.92
90,25.83,-10.23,101.59,-2.59,-1.76,-3.95
100,28.32,-0.11,97.90,-2.57,-1.72,-3.95
110,30.06,8.58,93.81,-2.56,-1.64,-3.85
120,33.22,15.31,86.53,-2.49,-1.55,-3.70
130,33.93,17.79,79.38,-2.39,-1.41,-3.51
140,37.19,16.94,73.97,-2.27,-1.21,-3.32
150,38.06,14.64,70.66,-2.10,-1.05,-3.18
160,39.36,11.21,65.46,-1.87,-0.89,-3.08
170,39.91,11.60,62.21,-1.68,-0.71,-3.04
180,40.20,18.01,62.79,-1.56,-0.54,-2.96
190,41.36,22.18,65.30,-1.46,-0.40,-2.83
200,43.41,28.00,66.95,-1.36,-0.30,-2.68
210,45.03,29.42,67.67,-1.27,-0.22,-2.50
220,46.56,30.93,67.95,-1.20,-0.17,-2.33
230,54.03,31.73,66.33,-1.13,-0.14,-2.16
240,45.94,33.59,65.55,-1.07,-0.09,-2.02
250,47.44,38.87,56.42,-1.00,0.02,-1.85
260,50.16,37.54,59.57,-0.88,0.19,-1.66
270,51.96,37.13,57.84,-0.78,0.31,-1.51
280,52.82,38.80,58.65,-0.68,0.43,-1.36
290,53.33,40.71,58.66,-0.55,0.55,-1.21
300,53.78,42.39,59.59,-0.38,0.69,-1.04
310,54.17,44.15,60.06,-0.17,0.82,-0.87
320,54.07,47.22,59.87,0.04,0.95,-0.68
330,54.35,50.95,60.41,0.23,1.08,-0.47
340,54.38,55.72,61.37,0.39,1.21,-0.21
350,53.91,60.54,62.40,0.54,1.35,0.10
360,52.72,65.58,63.52,0.67,1.48,0.45
370,51.48,71.61,63.92,0.80,1.62,0.82
380,49.76,78.17,65.47,1.04,1.81,1.30
390,47.71,83.02,70.95,1.33,2.00,1.81
400,44.31,82.82,76.61,1.62,2.13,2.35
410,40.64,78.35,85.69,1.90,2.26,2.86
420,31.65,73.02,95.07,2.09,2.27,3.23
430,32.59,67.70,102.52,2.16,2.23,3.59
440,26.64,57.81,112.70,2.21,2.14,3.91
450,23.20,48.73,121.16,2.22,1.99,4.11
460,21.52,38.80,127.27,2.19,1.82,4.24
470,20.39,30.18,131.52,2.14,1.60,4.27
