timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,19.93,-9.13,72.34,-1.97,-1.24,-4.37
10,20.44,-2.83,68.54,-1.96,-1.04,-4.37
20,21.11,5.89,68.29,-2.05,-0.84,-4.37
30,22.11,13.31,68.36,-2.18,-0.64,-4.37
40,23.57,14.74,70.73,-2.29,-0.46,-4.35
50,26.85,11.72,74.65,-2.33,-0.32,-4.29
60,26.48,15.51,74.38,-2.30,-0.27,-4.26
70,27.62,27.47,67.58,-2.24,-0.17,-4.15
80,26.97,41.17,59.61,-2.10,0.00,-3.90
90,32.61,50.22,60.40,-1.94,0.27,-3.57
100,38.07,53.50,63.53,-1.75,0.43,-3.22
110,42.05,56.40,66.21,-1.54,0.53,-2.89
120,44.21,59.09,70.81,-1.33,0.58,-2.58
130,46.61,59.34,76.05,-1.12,0.60,-2.27
140,48.43,60.85,78.44,-0.93,0.58,-1.98
150,49.66,62.87,77.67,-0.67,0.58,-1.70
160,50.91,65.67,76.61,-0.42,0.61,-1.43
170,52.09,69.35,75.25,-0.21,0.65,-1.13
180,53.23,74.08,73.48,-0.06,0.70,-0.79
190,53.66,78.42,70.64,0.08,0.78,-0.41
200,53.54,81.11,68.49,0.20,0.88,0.01
210,52.76,82.86,66.47,0.35,1.00,0.45
220,51.74,87.01,64.14,0.52,1.14,0.91
230,51.40,90.07,66.54,0.78,1.33,1.44
240,49.46,92.20,68.02,1.13,1.50,1.97
250,46.02,91.22,72.20,1.54,1.70,2.53
260,40.88,84.17,78.70,1.86,1.83,3.03
270,35.49,74.53,86.05,2.03,1.92,3.44
280,30.35,65.04,93.53,2.14,1.95,3.74
290,22.89,59.88,101.30,2.21,1.93,3.94
300,23.46,52.58,109.64,2.28,1.89,4.19
310,20.44,44.22,118.43,2.28,1.80,4.35
320,18.85,38.31,122.75,2.17,1.64,4.37
330,16.08,33.35,122.84,2.01,1.46,4.37
340,14.36,29.00,122.23,1.86,1.31,4.37
350,13.17,22.46,121.30,1.70,1.18,4.37
360,13.28,15.11,119.47,1.57,1.05,4.37
370,12.48,8.93,117.45,1.46,0.94,4.37
380,12.83,2.65,114.55,1.39,0.86,4.37
390,13.70,-3.82,113.06,1.27,0.76,4.28
400,14.77,-7.98,110.74,1.19,0.68,4.08
410,15.32,-9.60,106.68,1.10,0.63,3.91
420,18.44,-13.91,107.65,0.99,0.61,3.73
430,19.49,-16.66,105.86,0.92,0.56,3.55
440,17.01,-19.84,107.12,0.86,0.56,3.35
450,20.78,-21.03,107.23,0.75,0.47,3.09
460,23.74,-26.01,107.64,0.67,0.45,2.93
470,24.78,-32.05,109.82,0.55,0.39,2.70
480,26.72,-37.37,110.59,0.37,0.29,2.42
490,25.74,-43.84,112.71,0.15,0.17,2.06
500,33.67,-51.01,109.20,-0.08,0.11,1.73
510,34.27,-58.37,113.26,-0.25,0.01,1.35
520,36.19,-59.74,112.59,-0.46,-0.13,0.90
530,36.28,-60.29,110.59,-0.64,-0.24,0.47
540,36.13,-58.71,108.32,-0.77,-0.33,0.02
550,35.71,-52.95,107.57,-0.87,-0.41,-0.39
560,35.61,-47.82,107.57,-0.99,-0.45,-0.72
570,36.44,-45.83,109.04,-1.09,-0.48,-1.02
580,37.79,-50.12,115.16,-1.31,-0.55,-1.32
