timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,38.48,-37.13,117.65,-1.45,-1.08,-1.30
10,35.11,-36.03,111.06,-1.37,-1.13,-1.61
20,33.72,-37.67,109.24,-1.31,-1.13,-1.92
30,32.61,-40.10,108.57,-1.32,-1.19,-2.25
40,34.73,-42.38,108.57,-1.44,-1.24,-2.70
50,29.43,-47.06,106.50,-1.43,-1.35,-2.96
60,25.43,-53.54,100.76,-1.55,-1.35,-3.29
70,33.35,-51.55,98.04,-1.75,-1.38,-3.59
80,14.52,-45.80,100.91,-2.00,-1.41,-3.97
90,14.33,-33.75,93.87,-2.30,-1.38,-4.31
100,12.62,-31.22,97.34,-2.48,-1.26,-4.37
110,10.60,-28.32,102.35,-2.66,-1.28,-4.37
120,8.25,-23.69,104.12,-2.80,-1.33,-4.37
130,6.30,-15.17,100.90,-2.84,-1.36,-4.37
140,2.64,-0.59,91.62,-2.77,-1.33,-4.37
150,5.11,6.77,92.16,-2.65,-1.18,-4.37
160,7.57,17.07,91.38,-2.60,-1.11,-4.37
170,10.81,33.12,89.92,-2.61,-1.04,-4.37
180,15.72,44.70,94.64,-2.57,-0.98,-4.37
190,22.36,53.32,92.30,-2.45,-0.97,-4.37
200,25.79,61.94,86.39,-2.25,-0.94,-4.15
210,27.71,65.46,78.90,-2.03,-0.85,-3.76
220,32.44,65.92,76.01,-1.82,-0.72,-3.39
230,33.89,66.57,75.81,-1.57,-0.60,-3.06
240,36.97,69.56,72.25,-1.33,-0.48,-2.73
250,44.89,71.32,68.91,-1.09,-0.36,-2.37
260,39.95,74.77,69.65,-0.87,-0.27,-2.07
270,42.18,79.16,65.69,-0.68,-0.13,-1.73
280,44.07,78.55,65.92,-0.46,0.01,-1.37
290,45.55,78.44,63.90,-0.27,0.12,-1.05
300,46.09,80.49,61.01,-0.10,0.23,-0.73
310,46.39,83.81,58.05,0.02,0.36,-0.39
320,46.34,85.46,56.50,0.12,0.49,-0.02
330,45.96,85.63,56.20,0.23,0.64,0.34
340,45.37,84.95,56.24,0.36,0.79,0.70
350,43.57,83.15,56.08,0.52,0.94,1.05
360,41.83,79.98,58.22,0.69,1.13,1.38
370,40.52,76.12,62.91,0.88,1.30,1.67
380,38.82,73.00,68.70,1.08,1.42,1.95
390,37.14,71.34,74.02,1.30,1.53,2.21
400,35.85,71.18,80.19,1.52,1.63,2.48
410,34.78,70.00,86.45,1.66,1.67,2.75
420,33.80,67.98,90.31,1.69,1.65,3.02
430,31.71,67.09,92.51,1.63,1.59,3.24
440,30.86,62.21,94.41,1.54,1.54,3.53
450,27.24,58.03,96.32,1.45,1.48,3.75
460,23.93,54.93,96.89,1.41,1.46,3.95
470,20.39,50.14,99.13,1.41,1.46,4.16
480,17.91,43.60,103.63,1.40,1.46,4.35
490,15.65,36.91,107.93,1.42,1.42,4.37
500,14.30,31.05,112.29,1.45,1.37,4.37
510,13.24,25.70,114.12,1.51,1.29,4.37
520,12.57,22.35,113.77,1.58,1.24,4.37
530,12.19,17.09,115.26,1.59,1.19,4.37
540,12.43,12.15,115.24,1.54,1.09,4.37
550,11.76,9.57,115.54,1.47,1.00,4.37
560,11.93,6.22,114.26,1.39,0.91,4.37
570,12.16,1.66,113.60,1.28,0.83,4.37
580,10.88,-1.01,110.28,1.14,0.74,4.37
590,12.88,-7.49,105.57,1.05,0.76,4.32
600,9.09,-14.30,109.93,1.02,0.89,4.23
610,9.34,-21.50,110.11,0.82,0.86,4.16
620,16.15,-34.62,115.47,0.62,0.78,4.04
630,17.52,-47.66,123.41,0.31,0.70,3.62
640,23.41,-62.49,126.52,-0.08,0.56,3.15
650,28.22,-79.65,129.95,-0.34,0.36,2.66
660,30.56,-90.97,130.66,-0.55,0.09,2.04
670,30.85,-95.82,125.31,-0.70,-0.18,1.35
680,29.38,-96.16,117.64,-0.77,-0.37,0.65
690,28.35,-93.52,112.37,-0.82,-0.49,-0.05
700,27.93,-88.93,109.92,-0.86,-0.57,-0.69
710,27.22,-83.94,108.88,-0.94,-0.65,-1.28
720,26.74,-78.33,109.48,-1.11,-0.70,-1.80
730,26.27,-75.17,112.27,-1.38,-0.76,-2.28
740,28.15,-77.52,118.62,-1.66,-0.84,-2.79
750,33.15,-74.71,119.19,-1.92,-1.00,-3.30
760,20.71,-72.43,118.43,-2.14,-1.17,-3.78
770,17.06,-69.69,115.12,-2.45,-1.21,-4.34
780,13.76,-69.26,117.44,-2.69,-1.21,-4.37
790,4.65,-56.96,112.64,-2.86,-1.41,-4.37
800,-3.98,-39.55,106.56,-2.96,-1.46,-4.37
810,-7.96,-21.96,100.40,-2.86,-1.39,-4.37
