timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,32.12,-15.95,110.88,-0.28,-0.04,0.17
10,32.95,-18.76,114.01,-0.40,-0.13,-0.01
20,33.38,-22.31,117.09,-0.53,-0.25,-0.22
30,17.14,-28.32,127.21,-0.68,-0.43,-0.68
40,43.06,-24.48,112.95,-1.00,-0.65,-1.06
50,37.33,-32.82,117.85,-0.85,-0.69,-1.12
60,34.29,-28.36,117.92,-0.83,-0.89,-1.38
70,32.62,-24.68,117.03,-0.93,-1.08,-1.65
80,32.08,-22.82,118.69,-1.08,-1.25,-1.91
90,32.77,-23.58,122.57,-1.27,-1.44,-2.15
100,32.48,-26.79,124.57,-1.47,-1.67,-2.41
110,32.05,-30.14,122.46,-1.71,-1.84,-2.72
120,28.95,-28.62,118.77,-2.03,-2.05,-3.00
130,31.24,-27.76,112.21,-2.26,-2.20,-3.17
140,19.11,-29.00,110.25,-2.46,-2.27,-3.46
150,19.57,-28.56,102.73,-2.57,-2.23,-3.83
160,14.38,-29.87,101.69,-2.59,-2.15,-4.16
170,11.49,-29.21,95.70,-2.66,-2.13,-4.37
180,9.20,-25.98,87.10,-2.68,-2.02,-4.37
190,5.09,-16.93,79.95,-2.60,-1.85,-4.37
200,3.32,-3.46,73.50,-2.56,-1.62,-4.37
210,2.38,11.80,67.60,-2.53,-1.34,-4.37
220,4.45,20.43,67.11,-2.54,-1.05,-4.37
230,6.60,25.91,69.66,-2.57,-0.82,-4.37
240,9.90,31.20,72.34,-2.60,-0.63,-4.37
250,12.67,38.71,75.79,-2.59,-0.48,-4.37
260,16.35,46.31,75.65,-2.55,-0.37,-4.30
270,19.38,53.17,74.78,-2.38,-0.27,-4.05
280,22.72,60.38,71.18,-2.10,-0.13,-3.75
290,27.01,66.96,70.75,-1.79,-0.02,-3.41
300,35.25,73.77,66.76,-1.45,0.09,-3.03
310,26.94,77.75,68.97,-1.07,0.13,-2.64
320,31.02,88.63,60.21,-0.77,0.30,-2.29
330,32.30,93.07,58.53,-0.52,0.56,-1.86
340,33.16,97.79,56.61,-0.35,0.74,-1.42
350,33.87,101.83,56.02,-0.21,0.95,-0.93
360,34.58,103.91,55.26,-0.10,1.16,-0.42
370,35.41,106.34,56.90,0.08,1.35,0.11
380,35.27,105.88,61.49,0.28,1.54,0.64
390,34.94,103.71,65.93,0.53,1.69,1.15
400,33.80,101.41,70.94,0.84,1.83,1.64
