timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,36.71,-45.87,125.47,-1.83,-0.79,-1.73
10,34.53,-47.51,124.81,-1.97,-1.00,-2.15
20,30.59,-44.69,119.12,-2.00,-1.18,-2.55
30,26.31,-44.01,113.24,-1.97,-1.24,-2.92
40,26.19,-46.34,109.17,-1.94,-1.22,-3.35
50,21.35,-41.76,107.70,-1.92,-1.30,-3.75
60,16.27,-37.14,107.21,-1.87,-1.35,-4.07
70,24.76,-35.15,99.39,-1.97,-1.38,-4.23
80,9.34,-37.75,105.69,-2.08,-1.35,-4.37
90,9.20,-30.79,105.44,-2.46,-1.47,-4.37
100,8.61,-32.58,107.01,-2.70,-1.47,-4.37
110,5.85,-24.44,108.09,-2.81,-1.55,-4.37
120,3.33,-8.39,101.19,-2.84,-1.59,-4.37
130,3.46,9.67,90.50,-2.76,-1.52,-4.37
140,6.57,28.40,78.28,-2.55,-1.36,-4.37
150,9.13,36.93,77.57,-2.35,-1.14,-4.37
160,19.72,32.74,86.19,-2.12,-0.96,-4.37
170,24.28,31.78,85.99,-1.91,-0.96,-4.37
180,24.57,37.34,81.58,-1.76,-0.94,-4.25
190,27.22,45.13,74.76,-1.64,-0.85,-3.98
200,29.57,58.56,68.78,-1.53,-0.72,-3.64
210,33.38,70.60,62.92,-1.42,-0.51,-3.19
220,36.76,76.04,61.02,-1.27,-0.27,-2.69
230,40.11,78.68,60.96,-1.08,-0.06,-2.22
240,43.05,76.61,64.67,-0.82,0.12,-1.78
250,44.47,72.48,65.69,-0.51,0.22,-1.42
260,43.84,71.56,62.29,-0.19,0.33,-1.12
270,43.53,74.79,56.39,0.10,0.49,-0.80
280,43.31,79.88,51.69,0.33,0.70,-0.45
290,43.01,85.14,48.92,0.54,0.92,-0.06
300,41.53,89.26,44.61,0.70,1.19,0.40
310,39.67,94.56,42.76,0.83,1.50,0.90
320,38.88,97.65,48.13,1.00,1.81,1.43
330,35.96,97.27,55.54,1.26,2.06,1.95
340,33.25,93.62,66.29,1.58,2.23,2.42
350,27.51,90.04,77.36,1.87,2.30,2.79
360,27.69,81.92,84.58,2.09,2.32,3.15
370,25.64,73.16,93.31,2.30,2.31,3.42
380,24.08,66.29,102.85,2.42,2.25,3.60
390,22.26,61.61,111.56,2.44,2.11,3.73
400,21.01,59.20,116.98,2.42,1.97,3.86
410,20.60,56.01,120.58,2.33,1.84,4.01
420,18.90,52.60,123.31,2.16,1.68,4.14
430,18.17,49.38,123.62,1.93,1.53,4.26
440,16.86,45.49,123.46,1.74,1.40,4.37
450,15.93,39.77,123.46,1.59,1.29,4.37
460,14.76,33.48,123.03,1.50,1.17,4.37
470,13.82,28.76,121.90,1.40,1.06,4.37
480,12.33,23.02,119.39,1.28,0.97,4.37
490,8.62,21.11,111.56,1.13,0.89,4.37
500,9.38,11.33,107.79,0.95,0.92,4.37
510,10.74,4.39,113.45,0.80,0.93,4.37
520,11.92,-1.83,112.43,0.64,0.82,4.36
530,10.91,-10.79,114.34,0.56,0.83,4.26
540,6.96,-19.53,118.73,0.51,0.74,4.02
550,13.96,-25.80,116.54,0.35,0.59,3.72
