timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,31.12,-34.78,103.98,-1.19,-0.50,-1.62
10,32.04,-40.68,108.00,-1.40,-0.51,-1.85
20,32.73,-46.96,113.54,-1.69,-0.58,-2.14
30,33.63,-51.45,118.48,-2.01,-0.71,-2.48
40,32.99,-51.64,120.24,-2.30,-0.87,-2.83
50,30.21,-46.38,119.20,-2.50,-0.99,-3.18
60,26.91,-40.79,116.55,-2.64,-1.13,-3.44
70,33.33,-38.32,112.91,-2.75,-1.18,-3.75
80,24.08,-34.07,106.22,-2.61,-1.29,-3.69
90,15.31,-31.60,105.74,-2.52,-1.34,-3.95
100,19.01,-29.42,101.07,-2.44,-1.35,-4.20
110,18.55,-31.05,101.76,-2.32,-1.34,-4.37
120,17.17,-24.98,96.14,-2.26,-1.41,-4.37
130,16.74,-13.51,87.69,-2.28,-1.38,-4.37
140,17.03,-1.09,79.78,-2.30,-1.26,-4.37
150,18.98,8.62,75.46,-2.30,-1.09,-4.37
160,24.27,17.83,71.88,-2.27,-0.90,-4.37
170,24.10,25.16,69.32,-2.23,-0.75,-4.12
180,30.44,29.02,68.70,-2.12,-0.52,-3.82
190,37.78,28.49,65.89,-1.94,-0.39,-3.51
200,33.94,30.78,68.02,-1.74,-0.26,-3.28
210,37.85,31.20,66.43,-1.58,-0.11,-3.05
220,39.53,31.63,65.71,-1.33,0.01,-2.83
230,42.86,33.23,66.29,-1.06,0.11,-2.64
240,45.28,37.71,64.44,-0.82,0.20,-2.42
250,47.38,44.32,62.29,-0.61,0.29,-2.18
260,49.29,51.07,59.75,-0.43,0.40,-1.89
270,50.57,56.02,56.83,-0.29,0.56,-1.55
280,51.85,59.12,55.53,-0.18,0.75,-1.20
290,52.99,62.00,55.21,-0.09,0.93,-0.82
300,53.02,66.30,55.87,0.05,1.12,-0.42
310,53.67,68.28,60.85,0.22,1.30,0.01
320,53.63,68.91,65.94,0.40,1.41,0.43
330,52.75,71.38,67.93,0.62,1.49,0.86
340,50.33,75.87,67.88,0.93,1.63,1.33
350,47.43,78.67,67.84,1.26,1.82,1.85
360,44.95,77.36,74.45,1.54,2.01,2.35
370,41.97,75.67,82.13,1.77,2.06,2.81
380,37.66,73.40,89.75,1.99,2.10,3.24
390,28.47,69.65,99.79,2.11,2.07,3.58
400,28.35,66.30,103.95,2.16,2.00,3.98
410,22.40,56.31,113.59,2.12,1.96,4.35
420,19.62,48.40,123.91,2.07,1.80,4.37
430,17.39,40.81,130.45,2.00,1.58,4.37
440,13.20,36.36,128.87,1.94,1.33,4.37
450,11.68,27.07,123.03,1.82,1.20,4.37
460,10.40,20.50,125.00,1.70,1.09,4.37
470,9.83,16.52,126.41,1.61,0.95,4.37
480,11.05,9.40,126.04,1.54,0.82,4.37
490,10.44,1.26,126.92,1.52,0.80,4.37
500,7.70,-7.62,126.27,1.42,0.65,4.37
510,2.18,-15.93,126.46,1.31,0.56,4.37
520,9.10,-24.17,121.43,1.13,0.43,4.30
530,9.30,-39.87,122.74,0.92,0.51,4.20
540,11.94,-59.84,125.65,0.61,0.40,3.81
550,14.55,-74.10,124.85,0.26,0.24,3.26
560,15.46,-83.93,122.14,-0.01,0.04,2.66
570,15.75,-86.63,117.74,-0.21,-0.14,2.03
580,14.73,-82.41,112.05,-0.36,-0.27,1.45
590,13.41,-76.79,108.02,-0.47,-0.33,0.94
600,13.49,-71.34,108.32,-0.57,-0.37,0.51
610,14.77,-67.40,109.55,-0.73,-0.42,0.14
620,16.69,-64.66,110.84,-0.86,-0.49,-0.20
630,18.38,-65.15,111.47,-0.96,-0.57,-0.55
640,20.58,-68.76,111.85,-1.13,-0.62,-0.92
650,23.01,-72.17,113.49,-1.38,-0.69,-1.35
660,25.33,-75.19,115.25,-1.72,-0.78,-1.82
670,26.90,-75.90,117.06,-2.07,-0.88,-2.34
680,26.09,-71.02,114.82,-2.43,-1.00,-2.86
690,25.47,-62.09,110.55,-2.67,-1.03,-3.29
700,20.25,-53.02,107.56,-2.74,-0.95,-3.48
710,16.22,-43.28,105.74,-2.83,-0.95,-3.88
720,17.96,-34.07,101.77,-2.79,-0.92,-4.15
730,15.48,-34.31,105.36,-2.67,-0.85,-4.37
740,16.05,-33.29,106.23,-2.56,-0.88,-4.37
750,14.85,-34.80,106.83,-2.45,-0.94,-4.37
760,12.06,-34.13,103.03,-2.31,-1.01,-4.37
770,8.65,-24.35,94.29,-2.20,-1.03,-4.37
780,6.52,-11.61,86.14,-2.12,-0.96,-4.37
790,7.38,2.85,79.83,-2.03,-0.83,-4.37
800,9.49,22.53,76.14,-1.93,-0.66,-4.37
810,16.01,39.46,73.87,-1.87,-0.50,-4.37
820,20.77,52.08,70.77,-1.80,-0.32,-4.37
830,26.31,61.13,67.83,-1.65,-0.16,-4.02
840,32.06,64.73,67.58,-1.49,0.01,-3.48
850,36.94,62.81,71.38,-1.32,0.14,-2.99
860,40.17,59.72,73.79,-1.15,0.19,-2.58
870,41.78,58.42,72.70,-0.93,0.24,-2.23
880,42.91,59.67,71.05,-0.70,0.32,-1.91
890,44.15,61.68,69.39,-0.49,0.43,-1.57
900,45.40,64.11,67.90,-0.30,0.56,-1.24
910,46.78,68.12,65.80,-0.13,0.69,-0.90
920,47.23,72.66,63.02,-0.03,0.86,-0.49
930,47.98,74.32,63.26,0.06,1.03,-0.06
940,49.07,76.62,69.31,0.26,1.15,0.36
950,49.54,80.38,73.14,0.53,1.24,0.82
960,48.79,83.39,75.80,0.82,1.35,1.31
970,46.76,88.62,78.42,1.24,1.47,1.86
